"aar","bydel_nr","innvkat_3","kjonn","enhet","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr","alder_grupper","tabellvariabel"
2014,"000301","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","25293"
2014,"000301","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","26584"
2014,"000301","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","51877"
2014,"000301","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","24282"
2014,"000301","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","25534"
2014,"000301","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","49816"
2014,"000301","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1011"
2014,"000301","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1050"
2014,"000301","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2061"
2014,"030101","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","2219"
2014,"030101","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2266"
2014,"030101","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4485"
2014,"030101","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","2129"
2014,"030101","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2166"
2014,"030101","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4295"
2014,"030101","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","90"
2014,"030101","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","100"
2014,"030101","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","190"
2014,"030102","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1970"
2014,"030102","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2075"
2014,"030102","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4045"
2014,"030102","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1871"
2014,"030102","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1972"
2014,"030102","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3843"
2014,"030102","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","99"
2014,"030102","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","103"
2014,"030102","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","202"
2014,"030103","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1579"
2014,"030103","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1608"
2014,"030103","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3187"
2014,"030103","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1530"
2014,"030103","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1559"
2014,"030103","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3089"
2014,"030103","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","49"
2014,"030103","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","49"
2014,"030103","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","98"
2014,"030104","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1053"
2014,"030104","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1155"
2014,"030104","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2208"
2014,"030104","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","999"
2014,"030104","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1085"
2014,"030104","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2084"
2014,"030104","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","54"
2014,"030104","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","70"
2014,"030104","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","124"
2014,"030105","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1447"
2014,"030105","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1464"
2014,"030105","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2911"
2014,"030105","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1319"
2014,"030105","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1318"
2014,"030105","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2637"
2014,"030105","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","128"
2014,"030105","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","146"
2014,"030105","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","274"
2014,"030106","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1224"
2014,"030106","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1355"
2014,"030106","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2579"
2014,"030106","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1175"
2014,"030106","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1313"
2014,"030106","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2488"
2014,"030106","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","49"
2014,"030106","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","42"
2014,"030106","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","91"
2014,"030107","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1981"
2014,"030107","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2066"
2014,"030107","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4047"
2014,"030107","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1904"
2014,"030107","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1999"
2014,"030107","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3903"
2014,"030107","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","77"
2014,"030107","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","67"
2014,"030107","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","144"
2014,"030108","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1967"
2014,"030108","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2144"
2014,"030108","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4111"
2014,"030108","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1897"
2014,"030108","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2075"
2014,"030108","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3972"
2014,"030108","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","70"
2014,"030108","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","69"
2014,"030108","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","139"
2014,"030109","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1548"
2014,"030109","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1570"
2014,"030109","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3118"
2014,"030109","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1478"
2014,"030109","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1522"
2014,"030109","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3000"
2014,"030109","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","70"
2014,"030109","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","48"
2014,"030109","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","118"
2014,"030110","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1155"
2014,"030110","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1136"
2014,"030110","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2291"
2014,"030110","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1109"
2014,"030110","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1091"
2014,"030110","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2200"
2014,"030110","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","46"
2014,"030110","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","45"
2014,"030110","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","91"
2014,"030111","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1150"
2014,"030111","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1356"
2014,"030111","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2506"
2014,"030111","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1104"
2014,"030111","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1297"
2014,"030111","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","2401"
2014,"030111","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","46"
2014,"030111","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","59"
2014,"030111","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","105"
2014,"030112","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","2058"
2014,"030112","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2156"
2014,"030112","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4214"
2014,"030112","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1981"
2014,"030112","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2081"
2014,"030112","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4062"
2014,"030112","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","77"
2014,"030112","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","75"
2014,"030112","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","152"
2014,"030113","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","2121"
2014,"030113","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2277"
2014,"030113","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4398"
2014,"030113","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","2076"
2014,"030113","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2219"
2014,"030113","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4295"
2014,"030113","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","45"
2014,"030113","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","58"
2014,"030113","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","103"
2014,"030114","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","2014"
2014,"030114","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","2034"
2014,"030114","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","4048"
2014,"030114","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1980"
2014,"030114","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1987"
2014,"030114","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3967"
2014,"030114","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","34"
2014,"030114","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","47"
2014,"030114","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","81"
2014,"030115","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1673"
2014,"030115","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1783"
2014,"030115","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3456"
2014,"030115","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","1607"
2014,"030115","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","1718"
2014,"030115","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3325"
2014,"030115","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","66"
2014,"030115","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","65"
2014,"030115","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","131"
2014,"030116","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","13"
2014,"030116","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","7"
2014,"030116","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","20"
2014,"030116","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","13"
2014,"030116","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","7"
2014,"030116","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","20"
2014,"030116","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","0"
2014,"030116","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","0"
2014,"030116","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","0"
2014,"030117","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","55"
2014,"030117","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","46"
2014,"030117","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","101"
2014,"030117","befolkningen_ellers","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","55"
2014,"030117","befolkningen_ellers","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","43"
2014,"030117","befolkningen_ellers","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","98"
2014,"030117","innvandrere","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","0"
2014,"030117","innvandrere","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","3"
2014,"030117","innvandrere","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","3"
2014,"030199","alle","0","personer","befolkning_alder","NULL","NULL","NULL","0_5","66"
2014,"030199","alle","1","personer","befolkning_alder","NULL","NULL","NULL","0_5","86"
2014,"030199","alle","alle","personer","befolkning_alder","NULL","NULL","NULL","0_5","152"
