"aar","fylke_nr","bosetting","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr","bydel_nr"
"2012","00","vedtak","personer","6084","bosatt_vedtak","NULL","NULL","NULL"
"2012","00","vedtak","prosent","100","bosatt_vedtak","NULL","NULL","NULL"
"2012","00","bosatt","personer","5757","bosatt_vedtak","NULL","NULL","NULL"
"2012","00","bosatt","prosent","94.63","bosatt_vedtak","NULL","NULL","NULL"
"2012","00","anmodning","personer","8801","bosatt_vedtak","NULL","NULL","NULL"
"2012","00","anmodning","prosent","144.66","bosatt_vedtak","NULL","NULL","NULL"
"2012","01","vedtak","personer","201","bosatt_vedtak","NULL","NULL","NULL"
"2012","01","vedtak","prosent","100","bosatt_vedtak","NULL","NULL","NULL"
"2012","01","bosatt","personer","197","bosatt_vedtak","NULL","NULL","NULL"
"2012","01","bosatt","prosent","98.01","bosatt_vedtak","NULL","NULL","NULL"
"2012","01","anmodning","personer","425","bosatt_vedtak","NULL","NULL","NULL"
"2012","01","anmodning","prosent","211.44","bosatt_vedtak","NULL","NULL","NULL"
"2012","02","vedtak","personer","525","bosatt_vedtak","NULL","NULL","NULL"
"2012","02","vedtak","prosent","100","bosatt_vedtak","NULL","NULL","NULL"
"2012","02","bosatt","personer","426","bosatt_vedtak","NULL","NULL","NULL"
"2012","02","bosatt","prosent","81.14","bosatt_vedtak","NULL","NULL","NULL"
"2012","02","anmodning","personer","764","bosatt_vedtak","NULL","NULL","NULL"
"2012","02","anmodning","prosent","145.52","bosatt_vedtak","NULL","NULL","NULL"
"2012","03","vedtak","personer","410","bosatt_vedtak","NULL","NULL","NULL"
"2012","03","vedtak","prosent","100","bosatt_vedtak","NULL","NULL","NULL"
"2012","03","bosatt","personer","459","bosatt_vedtak","NULL","NULL","NULL"
"2012","03","bosatt","prosent","111.95","bosatt_vedtak","NULL","NULL","NULL"
"2012","03","anmodning","personer","450","bosatt_vedtak","NULL","NULL","NULL"
