"aar","bydel_nr","innvkat_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","kommune_nr","naringsregion_nr"
"2013","000301","alle","alle","kroner","341500","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","000301","innvandrere","1","kroner","284800","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","000301","innvandrere","2","kroner","241800","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","kroner","368300","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030101","alle","alle","kroner","304200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030101","innvandrere","1","kroner","266700","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030101","innvandrere","2","kroner","218800","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","kroner","334100","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030102","alle","alle","kroner","316000","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030102","innvandrere","1","kroner","266400","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030102","innvandrere","2","kroner","225200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","alle","kroner","345000","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030103","alle","alle","kroner","337500","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030103","innvandrere","1","kroner","289200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030103","innvandrere","2","kroner","221300","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030103","befolkningen_ellers","alle","kroner","357300","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030104","alle","alle","kroner","333800","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030104","innvandrere","1","kroner","282300","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030104","innvandrere","2","kroner","225900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030104","befolkningen_ellers","alle","kroner","360100","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030105","alle","alle","kroner","364800","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030105","innvandrere","1","kroner","316600","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030105","innvandrere","2","kroner","258200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030105","befolkningen_ellers","alle","kroner","389400","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030106","alle","alle","kroner","444500","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030106","innvandrere","1","kroner","356700","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030106","innvandrere","2","kroner","265900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030106","befolkningen_ellers","alle","kroner","463900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030107","alle","alle","kroner","443200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030107","innvandrere","1","kroner","322200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030107","innvandrere","2","kroner","228200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030107","befolkningen_ellers","alle","kroner","467100","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030108","alle","alle","kroner","406900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030108","innvandrere","1","kroner","282200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030108","innvandrere","2","kroner","213900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030108","befolkningen_ellers","alle","kroner","427400","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030109","alle","alle","kroner","313100","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030109","innvandrere","1","kroner","257200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030109","innvandrere","2","kroner","240400","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030109","befolkningen_ellers","alle","kroner","341900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030110","alle","alle","kroner","292900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030110","innvandrere","1","kroner","257900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030110","innvandrere","2","kroner","253600","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030110","befolkningen_ellers","alle","kroner","312100","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030111","alle","alle","kroner","295700","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030111","innvandrere","1","kroner","267500","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030111","innvandrere","2","kroner","249000","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030111","befolkningen_ellers","alle","kroner","318600","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030112","alle","alle","kroner","297000","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030112","innvandrere","1","kroner","273700","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030112","innvandrere","2","kroner","254100","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030112","befolkningen_ellers","alle","kroner","317600","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030113","alle","alle","kroner","346900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030113","innvandrere","1","kroner","296400","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030113","innvandrere","2","kroner","258500","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030113","befolkningen_ellers","alle","kroner","360100","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030114","alle","alle","kroner","393900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030114","innvandrere","1","kroner","306900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030114","innvandrere","2","kroner","249200","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030114","befolkningen_ellers","alle","kroner","407900","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030115","alle","alle","kroner","301000","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030115","innvandrere","1","kroner","269500","gjennomsnittsinntekt","NULL","NULL","NULL"
"2013","030115","innvandrere","2","kroner","248200","gjennomsnittsinntekt","NULL","NULL","NULL"
