;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;26733;1527;25206;254;24952;100;5,712041297;94,2879587;0,950136535;93,33782217;13154;727;12427;132;12295;49,20510231;2,71948528;46,48561703;0,493771743;45,99184528;13579;800;12779;122;12657;50,79489769;2,992556017;47,80234168;0,456364793;47,34597688
0102 Sarpsborg (-1991);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0103 Fredrikstad (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0104 Moss;26633;1924;24709;554;24155;100;7,224120452;92,77587955;2,080126159;90,69575339;13031;959;12072;305;11767;48,92802163;3,600796005;45,32722562;1,14519581;44,18202981;13602;965;12637;249;12388;51,07197837;3,623324447;47,44865393;0,93493035;46,51372358
0105 Sarpsborg;47447;2034;45413;345;45068;100;4,286888528;95,71311147;0,72712711;94,98598436;23268;986;22282;188;22094;49,03998145;2,078108205;46,96187325;0,396231585;46,56564166;24179;1048;23131;157;22974;50,96001855;2,208780323;48,75123822;0,330895526;48,4203427
0106 Fredrikstad;67761;3173;64588;411;64177;100;4,682634554;95,31736545;0,606543587;94,71082186;32894;1542;31352;222;31130;48,54414781;2,275645283;46,26850253;0,327622083;45,94088045;34867;1631;33236;189;33047;51,45585219;2,406989271;49,04886292;0,278921504;48,76994141
0111 Hvaler;3494;72;3422;4;3418;100;2,060675444;97,93932456;0,114481969;97,82484259;1766;29;1737;1;1736;50,54378935;0,829994276;49,71379508;0,028620492;49,68517459;1728;43;1685;3;1682;49,45621065;1,230681168;48,22552948;0,085861477;48,139668
0113 Borge (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
