fylke_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2012
00;7,9;18,1;29,1;24,3;6,2
01;9,3;19,8;35,5;29,2;7,1
02;5,9;15,8;21,1;18,6;4,3
03;12,9;19,3;29,8;26,5;9,3
04;8,9;21,6;37,0;29,4;7,6
05;8,5;24,5;36,4;30,6;7,2
06;8,1;18,1;29,0;24,1;6,1
07;8,3;19,6;33,8;26,8;6,6
08;8,8;21,4;36,9;30,5;7,0
09;8,4;23,4;35,6;29,3;6,6
10;8,1;18,6;30,4;25,6;6,3
11;5,8;13,9;22,0;17,8;4,4
12;6,9;17,8;28,2;23,1;5,5
14;6,4;16,8;26,3;20,3;5,5
15;6,5;19,6;26,2;22,3;5,4
16;7,6;18,6;30,9;25,4;6,3
17;7,1;20,8;41,3;31,4;6,0
18;6,8;17,7;32,0;25,7;5,9
19;6,8;17,5;31,0;24,3;5,8
20;6,4;13,8;20,0;17,0;5,5
