kommune_nr;aar;bosetting.anmodning;bosetting.vedtak;bosetting.bosatt
101;2015;30;48;49
104;2015;40;43;35
105;2015;65;70;82
106;2015;90;105;108
111;2015;15;15;17
118;2015;15;15;15
119;2015;10;6;5
121;2015;10;0;0
122;2015;10;5;4
123;2015;15;15;20
124;2015;25;15;13
125;2015;25;10;1
127;2015;10;10;8
128;2015;15;15;15
135;2015;15;12;18
136;2015;20;20;16
137;2015;15;10;13
138;2015;10;;0
211;2015;18;18;19
213;2015;58;91;81
214;2015;18;21;19
215;2015;18;28;28
216;2015;20;32;27
217;2015;40;50;42
219;2015;155;192;165
220;2015;90;87;72
221;2015;15;23;25
226;2015;15;15;20
227;2015;15;20;10
228;2015;25;30;30
229;2015;15;10;10
230;2015;55;36;43
231;2015;75;118;102
233;2015;20;32;38
234;2015;10;17;7
235;2015;35;35;37
236;2015;30;15;20
237;2015;25;15;15
238;2015;15;15;12
239;2015;10;10;7
301;2015;720;811;684
402;2015;40;25;32
403;2015;60;55;43
412;2015;55;30;38
415;2015;15;8;8
417;2015;30;35;40
418;2015;10;6;7
419;2015;15;15;11
420;2015;10;5;14
423;2015;10;5;9
425;2015;15;11;5
426;2015;10;6;6
427;2015;50;50;38
428;2015;15;20;23
429;2015;10;14;11
430;2015;10;5;13
432;2015;10;7;11
434;2015;10;1;1
436;2015;15;11;11
437;2015;20;32;37
438;2015;15;20;16
439;2015;10;6;5
441;2015;10;10;12
501;2015;55;60;67
502;2015;55;86;67
511;2015;10;8;7
512;2015;10;5;1
513;2015;10;5;5
514;2015;10;17;19
515;2015;12;12;17
516;2015;20;32;24
517;2015;15;24;18
519;2015;10;8;5
520;2015;10;15;15
521;2015;15;24;24
522;2015;15;9;7
528;2015;25;20;24
529;2015;25;25;33
532;2015;15;15;12
533;2015;35;34;33
534;2015;35;40;41
536;2015;10;10;9
538;2015;15;24;15
540;2015;10;10;12
541;2015;10;10;12
542;2015;15;20;23
543;2015;10;5;0
544;2015;10;17;17
545;2015;10;11;7
602;2015;130;170;174
604;2015;50;48;45
605;2015;45;71;65
612;2015;15;10;14
615;2015;10;10;14
616;2015;10;4;6
617;2015;10;15;17
618;2015;10;8;7
619;2015;10;15;14
620;2015;10;10;10
621;2015;10;17;17
622;2015;10;14;14
623;2015;25;40;26
624;2015;35;30;28
625;2015;45;45;47
626;2015;45;40;32
627;2015;40;33;32
628;2015;20;32;27
631;2015;14;14;12
632;2015;10;10;10
633;2015;10;12;14
701;2015;40;60;54
702;2015;18;16;19
704;2015;55;86;92
706;2015;55;86;77
709;2015;55;86;88
711;2015;15;15;12
713;2015;15;24;25
714;2015;15;5;3
716;2015;25;40;19
719;2015;15;24;15
720;2015;25;40;28
722;2015;30;48;53
723;2015;15;15;15
728;2015;15;8;13
805;2015;90;50;60
806;2015;120;78;78
807;2015;45;60;61
811;2015;10;10;10
814;2015;50;50;43
815;2015;50;55;49
817;2015;15;24;23
819;2015;25;25;24
821;2015;25;26;27
822;2015;27;27;35
826;2015;20;15;29
827;2015;10;17;18
828;2015;15;12;12
829;2015;10;;0
830;2015;10;15;15
831;2015;10;10;19
833;2015;10;14;15
834;2015;10;12;11
901;2015;30;35;34
904;2015;45;71;69
906;2015;125;125;131
911;2015;15;15;3
912;2015;10;18;17
914;2015;20;10;10
919;2015;15;5;0
926;2015;40;35;34
928;2015;20;21;18
929;2015;15;15;14
935;2015;10;6;6
937;2015;20;15;6
938;2015;10;10;9
940;2015;10;10;7
941;2015;10;10;4
1001;2015;210;210;222
1002;2015;40;63;63
1003;2015;45;50;48
1004;2015;40;63;58
1014;2015;45;56;50
1017;2015;35;35;43
1018;2015;45;20;10
1021;2015;10;10;10
1026;2015;10;5;0
1027;2015;10;14;12
1029;2015;20;15;13
1032;2015;35;56;52
1034;2015;10;5;6
1037;2015;30;30;33
1046;2015;10;15;13
1101;2015;35;35;44
1102;2015;70;73;90
1103;2015;120;120;130
1106;2015;60;95;95
1111;2015;10;20;9
1112;2015;20;15;10
1114;2015;10;10;4
1119;2015;30;30;32
1120;2015;35;37;31
1121;2015;35;30;26
1122;2015;30;30;33
1124;2015;35;35;26
1127;2015;30;48;34
1129;2015;6;5;14
1130;2015;30;25;38
1133;2015;20;15;13
1134;2015;20;20;24
1135;2015;20;20;10
1141;2015;10;17;13
1142;2015;20;20;10
1144;2015;6;;2
1145;2015;6;;0
1146;2015;30;30;29
1149;2015;60;45;37
1151;2015;6;6;2
1160;2015;20;10;21
1201;2015;350;350;351
1211;2015;10;10;12
1216;2015;15;11;11
1219;2015;30;32;28
1221;2015;35;35;28
1222;2015;10;16;18
1223;2015;10;7;3
1224;2015;25;30;19
1227;2015;10;;2
1228;2015;20;15;22
1231;2015;20;15;9
1232;2015;10;10;0
1233;2015;10;10;6
1234;2015;10;;0
1235;2015;30;48;43
1238;2015;20;15;18
1241;2015;10;10;21
1242;2015;10;;0
1243;2015;20;15;16
1244;2015;10;;0
1245;2015;15;10;9
1246;2015;40;63;63
1247;2015;40;36;44
1251;2015;15;15;16
1252;2015;6;;0
1253;2015;15;15;17
1256;2015;20;30;29
1259;2015;20;15;12
1260;2015;15;6;10
1263;2015;20;20;13
1264;2015;10;13;8
1265;2015;6;10;7
1266;2015;10;10;12
1401;2015;35;56;55
1411;2015;10;17;4
1412;2015;6;12;2
1413;2015;10;7;0
1416;2015;15;10;12
1417;2015;10;17;21
1418;2015;10;13;14
1419;2015;10;18;18
1420;2015;30;35;33
1421;2015;10;;0
1422;2015;10;15;10
1424;2015;10;10;9
1426;2015;10;25;19
1428;2015;10;17;10
1429;2015;10;17;14
1430;2015;10;5;7
1431;2015;10;13;13
1432;2015;35;56;42
1433;2015;10;16;16
1438;2015;15;;9
1439;2015;10;15;12
1441;2015;10;10;14
1443;2015;30;34;35
1444;2015;6;0;0
1445;2015;15;24;40
1449;2015;20;32;36
1502;2015;60;95;74
1504;2015;90;90;92
1505;2015;50;60;48
1511;2015;15;11;15
1514;2015;10;10;5
1515;2015;30;20;18
1516;2015;20;32;33
1517;2015;15;13;16
1519;2015;30;40;41
1520;2015;30;15;22
1523;2015;10;5;8
1524;2015;10;5;5
1525;2015;17;0;0
1526;2015;10;0;0
1528;2015;20;10;21
1529;2015;10;5;13
1531;2015;25;12;3
1532;2015;15;20;21
1534;2015;30;22;17
1535;2015;15;10;13
1539;2015;15;10;0
1543;2015;10;10;10
1545;2015;10;0;0
1546;2015;10;0;0
1547;2015;15;24;40
1548;2015;30;15;7
1551;2015;10;;2
1554;2015;15;10;10
1557;2015;15;10;2
1560;2015;10;11;11
1563;2015;25;40;49
1566;2015;15;24;16
1567;2015;10;10;16
1571;2015;17;17;17
1573;2015;10;13;17
1576;2015;10;17;19
1601;2015;300;450;425
1612;2015;10;10;14
1613;2015;10;;0
1617;2015;15;10;10
1620;2015;15;10;17
1621;2015;15;4;7
1622;2015;10;0;0
1624;2015;20;18;12
1627;2015;15;10;14
1630;2015;10;12;12
1632;2015;10;0;0
1633;2015;10;10;5
1634;2015;20;32;29
1635;2015;10;17;17
1636;2015;10;13;19
1638;2015;30;40;40
1640;2015;15;15;16
1644;2015;10;14;14
1648;2015;15;15;15
1653;2015;35;51;56
1657;2015;20;11;15
1662;2015;15;18;8
1663;2015;30;48;44
1664;2015;10;14;14
1665;2015;10;10;11
1702;2015;45;50;51
1703;2015;40;53;48
1711;2015;15;17;13
1714;2015;45;60;54
1717;2015;10;10;11
1718;2015;10;17;19
1719;2015;45;60;62
1721;2015;35;35;45
1724;2015;10;17;19
1725;2015;10;;0
1736;2015;10;12;12
1738;2015;10;;1
1739;2015;10;0;0
1740;2015;10;13;12
1742;2015;10;12;12
1743;2015;10;10;11
1744;2015;10;17;18
1748;2015;10;0;0
1749;2015;10;0;0
1750;2015;15;10;17
1751;2015;20;32;27
1755;2015;10;;0
1756;2015;20;32;32
1804;2015;90;112;111
1805;2015;45;30;30
1811;2015;10;0;0
1812;2015;15;10;5
1813;2015;30;20;27
1815;2015;15;5;7
1816;2015;10;7;8
1818;2015;10;20;22
1820;2015;35;38;44
1822;2015;20;25;25
1824;2015;30;38;39
1825;2015;15;20;9
1826;2015;15;;0
1827;2015;10;17;17
1828;2015;20;20;21
1832;2015;10;10;10
1833;2015;50;50;30
1834;2015;15;;0
1835;2015;10;;0
1836;2015;15;0;0
1837;2015;15;19;19
1838;2015;15;15;22
1839;2015;10;10;10
1840;2015;20;20;20
1841;2015;30;48;47
1845;2015;10;;0
1848;2015;10;10;9
1849;2015;20;22;20
1850;2015;15;;0
1851;2015;15;10;9
1852;2015;15;;0
1853;2015;15;25;17
1854;2015;15;20;12
1856;2015;10;;0
1857;2015;10;;0
1859;2015;15;;0
1860;2015;40;40;44
1865;2015;40;63;64
1866;2015;25;15;17
1867;2015;15;25;26
1868;2015;15;24;20
1870;2015;35;35;47
1871;2015;30;48;48
1874;2015;15;0;0
1902;2015;195;195;168
1903;2015;70;83;59
1911;2015;20;15;18
1913;2015;15;15;10
1917;2015;15;5;4
1919;2015;10;10;4
1920;2015;15;20;55
