"kommune_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"0101","alle","1_5","personer","1466","2013","barnehagedeltakelse"
"0104","alle","1_5","personer","1552","2013","barnehagedeltakelse"
"0105","alle","1_5","personer","2745","2013","barnehagedeltakelse"
"0106","alle","1_5","personer","3886","2013","barnehagedeltakelse"
"0111","alle","1_5","personer","183","2013","barnehagedeltakelse"
"0118","alle","1_5","personer","58","2013","barnehagedeltakelse"
"0119","alle","1_5","personer","161","2013","barnehagedeltakelse"
"0121","alle","1_5","personer","33","2013","barnehagedeltakelse"
"0122","alle","1_5","personer","260","2013","barnehagedeltakelse"
"0123","alle","1_5","personer","300","2013","barnehagedeltakelse"
"0124","alle","1_5","personer","823","2013","barnehagedeltakelse"
"0125","alle","1_5","personer","546","2013","barnehagedeltakelse"
"0127","alle","1_5","personer","201","2013","barnehagedeltakelse"
"0128","alle","1_5","personer","403","2013","barnehagedeltakelse"
"0135","alle","1_5","personer","368","2013","barnehagedeltakelse"
"0136","alle","1_5","personer","705","2013","barnehagedeltakelse"
"0137","alle","1_5","personer","304","2013","barnehagedeltakelse"
"0138","alle","1_5","personer","279","2013","barnehagedeltakelse"
"0211","alle","1_5","personer","1044","2013","barnehagedeltakelse"
"0213","alle","1_5","personer","1857","2013","barnehagedeltakelse"
"0214","alle","1_5","personer","1188","2013","barnehagedeltakelse"
"0215","alle","1_5","personer","789","2013","barnehagedeltakelse"
"0216","alle","1_5","personer","1106","2013","barnehagedeltakelse"
"0217","alle","1_5","personer","1594","2013","barnehagedeltakelse"
"0219","alle","1_5","personer","7334","2013","barnehagedeltakelse"
"0220","alle","1_5","personer","3457","2013","barnehagedeltakelse"
"0221","alle","1_5","personer","788","2013","barnehagedeltakelse"
"0226","alle","1_5","personer","1110","2013","barnehagedeltakelse"
"0227","alle","1_5","personer","619","2013","barnehagedeltakelse"
"0228","alle","1_5","personer","1088","2013","barnehagedeltakelse"
"0229","alle","1_5","personer","669","2013","barnehagedeltakelse"
"0230","alle","1_5","personer","2027","2013","barnehagedeltakelse"
"0231","alle","1_5","personer","2841","2013","barnehagedeltakelse"
"0233","alle","1_5","personer","1467","2013","barnehagedeltakelse"
"0234","alle","1_5","personer","389","2013","barnehagedeltakelse"
"0235","alle","1_5","personer","2297","2013","barnehagedeltakelse"
"0236","alle","1_5","personer","1076","2013","barnehagedeltakelse"
"0237","alle","1_5","personer","1364","2013","barnehagedeltakelse"
"0238","alle","1_5","personer","661","2013","barnehagedeltakelse"
"0239","alle","1_5","personer","129","2013","barnehagedeltakelse"
"0301","alle","1_5","personer","36005","2013","barnehagedeltakelse"
"0402","alle","1_5","personer","820","2013","barnehagedeltakelse"
