"naringsregion_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"01","alle","1_5","personer","1499","2014","barnehagedeltakelse"
"02","alle","1_5","personer","3049","2014","barnehagedeltakelse"
"03","alle","1_5","personer","2951","2014","barnehagedeltakelse"
"04","alle","1_5","personer","6801","2014","barnehagedeltakelse"
"05","alle","1_5","personer","10972","2014","barnehagedeltakelse"
"06","alle","1_5","personer","8138","2014","barnehagedeltakelse"
"07","alle","1_5","personer","9895","2014","barnehagedeltakelse"
"08","alle","1_5","personer","5878","2014","barnehagedeltakelse"
"09","alle","1_5","personer","36345","2014","barnehagedeltakelse"
"10","alle","1_5","personer","748","2014","barnehagedeltakelse"
"11","alle","1_5","personer","2114","2014","barnehagedeltakelse"
"12","alle","1_5","personer","4547","2014","barnehagedeltakelse"
"13","alle","1_5","personer","1676","2014","barnehagedeltakelse"
"14","alle","1_5","personer","3292","2014","barnehagedeltakelse"
"15","alle","1_5","personer","1436","2014","barnehagedeltakelse"
"16","alle","1_5","personer","1776","2014","barnehagedeltakelse"
"17","alle","1_5","personer","601","2014","barnehagedeltakelse"
"18","alle","1_5","personer","783","2014","barnehagedeltakelse"
"19","alle","1_5","personer","764","2014","barnehagedeltakelse"
"20","alle","1_5","personer","9752","2014","barnehagedeltakelse"
"21","alle","1_5","personer","887","2014","barnehagedeltakelse"
"22","alle","1_5","personer","1803","2014","barnehagedeltakelse"
"23","alle","1_5","personer","898","2014","barnehagedeltakelse"
"24","alle","1_5","personer","1826","2014","barnehagedeltakelse"
"25","alle","1_5","personer","6869","2014","barnehagedeltakelse"
"26","alle","1_5","personer","4516","2014","barnehagedeltakelse"
"27","alle","1_5","personer","5874","2014","barnehagedeltakelse"
"28","alle","1_5","personer","819","2014","barnehagedeltakelse"
"29","alle","1_5","personer","986","2014","barnehagedeltakelse"
"30","alle","1_5","personer","685","2014","barnehagedeltakelse"
"31","alle","1_5","personer","342","2014","barnehagedeltakelse"
"32","alle","1_5","personer","4977","2014","barnehagedeltakelse"
"33","alle","1_5","personer","2013","2014","barnehagedeltakelse"
"34","alle","1_5","personer","1404","2014","barnehagedeltakelse"
"35","alle","1_5","personer","8141","2014","barnehagedeltakelse"
