"aar","innvkat_4","enhet","tabell_navn","kommune_nr","kjonn","tabellvariabel"
2013,"alle","gjennomsnitt","grunnskolepoeng","0101","0","41.4"
2013,"alle","gjennomsnitt","grunnskolepoeng","0104","0","42.2"
2013,"alle","gjennomsnitt","grunnskolepoeng","0105","0","39.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0106","0","43"
2013,"alle","gjennomsnitt","grunnskolepoeng","0111","0","42.4"
2013,"alle","gjennomsnitt","grunnskolepoeng","0118","0","40.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0119","0","44.6"
2013,"alle","gjennomsnitt","grunnskolepoeng","0121","0","47"
2013,"alle","gjennomsnitt","grunnskolepoeng","0122","0","41.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0123","0","41.7"
2013,"alle","gjennomsnitt","grunnskolepoeng","0124","0","43"
2013,"alle","gjennomsnitt","grunnskolepoeng","0125","0","41"
2013,"alle","gjennomsnitt","grunnskolepoeng","0127","0","40.8"
2013,"alle","gjennomsnitt","grunnskolepoeng","0128","0","42.8"
2013,"alle","gjennomsnitt","grunnskolepoeng","0135","0","41.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0136","0","41.7"
2013,"alle","gjennomsnitt","grunnskolepoeng","0137","0","38.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0138","0","40.6"
2013,"alle","gjennomsnitt","grunnskolepoeng","0211","0","42.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0213","0","43.4"
2013,"alle","gjennomsnitt","grunnskolepoeng","0214","0","42.7"
2013,"alle","gjennomsnitt","grunnskolepoeng","0215","0","44.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0216","0","44.1"
2013,"alle","gjennomsnitt","grunnskolepoeng","0217","0","44.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0219","0","45.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0220","0","44.1"
2013,"alle","gjennomsnitt","grunnskolepoeng","0221","0","40.4"
2013,"alle","gjennomsnitt","grunnskolepoeng","0226","0","43"
2013,"alle","gjennomsnitt","grunnskolepoeng","0227","0","45.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0228","0","44"
2013,"alle","gjennomsnitt","grunnskolepoeng","0229","0","40.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0230","0","42.6"
2013,"alle","gjennomsnitt","grunnskolepoeng","0231","0","42.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0233","0","43.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0234","0","43"
2013,"alle","gjennomsnitt","grunnskolepoeng","0235","0","41.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0236","0","41.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0237","0","41"
2013,"alle","gjennomsnitt","grunnskolepoeng","0238","0","41"
2013,"alle","gjennomsnitt","grunnskolepoeng","0239","0","41.7"
2013,"alle","gjennomsnitt","grunnskolepoeng","0301","0","43"
2013,"alle","gjennomsnitt","grunnskolepoeng","0402","0","41.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0403","0","43"
2013,"alle","gjennomsnitt","grunnskolepoeng","0412","0","41"
2013,"alle","gjennomsnitt","grunnskolepoeng","0415","0","39.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0417","0","41.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0418","0","39.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0419","0","42.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0420","0","39.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0423","0","36.7"
2013,"alle","gjennomsnitt","grunnskolepoeng","0425","0","41.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0426","0","41.8"
2013,"alle","gjennomsnitt","grunnskolepoeng","0427","0","41.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0428","0","42.8"
2013,"alle","gjennomsnitt","grunnskolepoeng","0429","0","40.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0430","0","37.7"
2013,"alle","gjennomsnitt","grunnskolepoeng","0432","0","41.7"
2013,"alle","gjennomsnitt","grunnskolepoeng","0434","0","43.4"
2013,"alle","gjennomsnitt","grunnskolepoeng","0436","0","44.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0437","0","41.8"
2013,"alle","gjennomsnitt","grunnskolepoeng","0438","0","43.4"
2013,"alle","gjennomsnitt","grunnskolepoeng","0439","0","44.8"
2013,"alle","gjennomsnitt","grunnskolepoeng","0441","0","40.1"
2013,"alle","gjennomsnitt","grunnskolepoeng","0501","0","43.7"
2013,"alle","gjennomsnitt","grunnskolepoeng","0502","0","43.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0511","0","42.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0512","0","45.8"
2013,"alle","gjennomsnitt","grunnskolepoeng","0513","0","41.2"
2013,"alle","gjennomsnitt","grunnskolepoeng","0514","0","42.9"
2013,"alle","gjennomsnitt","grunnskolepoeng","0515","0","41.3"
2013,"alle","gjennomsnitt","grunnskolepoeng","0516","0","44.5"
2013,"alle","gjennomsnitt","grunnskolepoeng","0517","0","39.8"
2013,"alle","gjennomsnitt","grunnskolepoeng","0519","0","42"
