"tabell_navn","aar","naringsregion_nr","kjonn","vreg_3","invalder_3","enhet","tabellvariabel"
"grunnskolepoeng_innvandrere","2015","01","alle","1","0_6","grunnskolepoeng","29,8"
"grunnskolepoeng_innvandrere","2015","01","alle","1","0_6","personer","3"
"grunnskolepoeng_innvandrere","2015","01","alle","1","7+","grunnskolepoeng","36,2"
"grunnskolepoeng_innvandrere","2015","01","alle","1","7+","personer","7"
"grunnskolepoeng_innvandrere","2015","01","alle","1","alle","grunnskolepoeng","34,8"
"grunnskolepoeng_innvandrere","2015","01","alle","1","alle","personer","9"
"grunnskolepoeng_innvandrere","2015","01","alle","2","0_6","grunnskolepoeng","38,6"
"grunnskolepoeng_innvandrere","2015","01","alle","2","0_6","personer","12"
"grunnskolepoeng_innvandrere","2015","01","alle","2","7+","grunnskolepoeng","30,2"
"grunnskolepoeng_innvandrere","2015","01","alle","2","7+","personer","14"
"grunnskolepoeng_innvandrere","2015","01","alle","2","alle","grunnskolepoeng","34"
"grunnskolepoeng_innvandrere","2015","01","alle","2","alle","personer","26"
"grunnskolepoeng_innvandrere","2015","01","alle","alle","0_6","grunnskolepoeng","37,2"
"grunnskolepoeng_innvandrere","2015","01","alle","alle","0_6","personer","14"
"grunnskolepoeng_innvandrere","2015","01","alle","alle","7+","grunnskolepoeng","32,2"
"grunnskolepoeng_innvandrere","2015","01","alle","alle","7+","personer","21"
"grunnskolepoeng_innvandrere","2015","01","alle","alle","alle","grunnskolepoeng","34,2"
"grunnskolepoeng_innvandrere","2015","01","alle","alle","alle","personer","35"
"grunnskolepoeng_innvandrere","2015","01","1","1","0_6","grunnskolepoeng","0"
"grunnskolepoeng_innvandrere","2015","01","1","1","0_6","personer","0"
"grunnskolepoeng_innvandrere","2015","01","1","1","7+","grunnskolepoeng","29,4"
"grunnskolepoeng_innvandrere","2015","01","1","1","7+","personer","3"
"grunnskolepoeng_innvandrere","2015","01","1","1","alle","grunnskolepoeng","29,6"
"grunnskolepoeng_innvandrere","2015","01","1","1","alle","personer","4"
"grunnskolepoeng_innvandrere","2015","01","1","2","0_6","grunnskolepoeng","34,8"
"grunnskolepoeng_innvandrere","2015","01","1","2","0_6","personer","6"
"grunnskolepoeng_innvandrere","2015","01","1","2","7+","grunnskolepoeng","31,2"
