"tabell_navn","aar","kommune_nr","vreg_3","enhet","tabellvariabel","flytting"
"befolkning_flytting_vreg","2014","0101","alle","personer","154","innvandring"
"befolkning_flytting_vreg","2014","0104","alle","personer","311","innvandring"
"befolkning_flytting_vreg","2014","0105","alle","personer","248","innvandring"
"befolkning_flytting_vreg","2014","0106","alle","personer","394","innvandring"
"befolkning_flytting_vreg","2014","0111","alle","personer","15","innvandring"
"befolkning_flytting_vreg","2014","0118","alle","personer","3","innvandring"
"befolkning_flytting_vreg","2014","0119","alle","personer","8","innvandring"
"befolkning_flytting_vreg","2014","0121","alle","personer","0","innvandring"
"befolkning_flytting_vreg","2014","0122","alle","personer","38","innvandring"
"befolkning_flytting_vreg","2014","0123","alle","personer","95","innvandring"
"befolkning_flytting_vreg","2014","0124","alle","personer","86","innvandring"
"befolkning_flytting_vreg","2014","0125","alle","personer","66","innvandring"
"befolkning_flytting_vreg","2014","0127","alle","personer","16","innvandring"
"befolkning_flytting_vreg","2014","0128","alle","personer","55","innvandring"
"befolkning_flytting_vreg","2014","0135","alle","personer","59","innvandring"
"befolkning_flytting_vreg","2014","0136","alle","personer","84","innvandring"
"befolkning_flytting_vreg","2014","0137","alle","personer","29","innvandring"
"befolkning_flytting_vreg","2014","0138","alle","personer","75","innvandring"
"befolkning_flytting_vreg","2014","0211","alle","personer","120","innvandring"
"befolkning_flytting_vreg","2014","0213","alle","personer","194","innvandring"
"befolkning_flytting_vreg","2014","0214","alle","personer","459","innvandring"
"befolkning_flytting_vreg","2014","0215","alle","personer","79","innvandring"
"befolkning_flytting_vreg","2014","0216","alle","personer","104","innvandring"
"befolkning_flytting_vreg","2014","0217","alle","personer","214","innvandring"
"befolkning_flytting_vreg","2014","0219","alle","personer","1526","innvandring"
"befolkning_flytting_vreg","2014","0220","alle","personer","786","innvandring"
"befolkning_flytting_vreg","2014","0221","alle","personer","102","innvandring"
"befolkning_flytting_vreg","2014","0226","alle","personer","187","innvandring"
"befolkning_flytting_vreg","2014","0227","alle","personer","89","innvandring"
"befolkning_flytting_vreg","2014","0228","alle","personer","154","innvandring"
"befolkning_flytting_vreg","2014","0229","alle","personer","73","innvandring"
"befolkning_flytting_vreg","2014","0230","alle","personer","362","innvandring"
"befolkning_flytting_vreg","2014","0231","alle","personer","514","innvandring"
"befolkning_flytting_vreg","2014","0233","alle","personer","158","innvandring"
"befolkning_flytting_vreg","2014","0234","alle","personer","54","innvandring"
"befolkning_flytting_vreg","2014","0235","alle","personer","429","innvandring"
"befolkning_flytting_vreg","2014","0236","alle","personer","97","innvandring"
"befolkning_flytting_vreg","2014","0237","alle","personer","154","innvandring"
"befolkning_flytting_vreg","2014","0238","alle","personer","123","innvandring"
"befolkning_flytting_vreg","2014","0239","alle","personer","14","innvandring"
"befolkning_flytting_vreg","2014","0301","alle","personer","13615","innvandring"
"befolkning_flytting_vreg","2014","0402","alle","personer","144","innvandring"
"befolkning_flytting_vreg","2014","0403","alle","personer","245","innvandring"
"befolkning_flytting_vreg","2014","0412","alle","personer","243","innvandring"
"befolkning_flytting_vreg","2014","0415","alle","personer","43","innvandring"
"befolkning_flytting_vreg","2014","0417","alle","personer","194","innvandring"
"befolkning_flytting_vreg","2014","0418","alle","personer","18","innvandring"
"befolkning_flytting_vreg","2014","0419","alle","personer","33","innvandring"
"befolkning_flytting_vreg","2014","0420","alle","personer","15","innvandring"
"befolkning_flytting_vreg","2014","0423","alle","personer","58","innvandring"
"befolkning_flytting_vreg","2014","0425","alle","personer","174","innvandring"
"befolkning_flytting_vreg","2014","0426","alle","personer","24","innvandring"
"befolkning_flytting_vreg","2014","0427","alle","personer","137","innvandring"
"befolkning_flytting_vreg","2014","0428","alle","personer","48","innvandring"
"befolkning_flytting_vreg","2014","0429","alle","personer","28","innvandring"
"befolkning_flytting_vreg","2014","0430","alle","personer","102","innvandring"
"befolkning_flytting_vreg","2014","0432","alle","personer","6","innvandring"
"befolkning_flytting_vreg","2014","0434","alle","personer","67","innvandring"
"befolkning_flytting_vreg","2014","0436","alle","personer","17","innvandring"
"befolkning_flytting_vreg","2014","0437","alle","personer","42","innvandring"
"befolkning_flytting_vreg","2014","0438","alle","personer","5","innvandring"
"befolkning_flytting_vreg","2014","0439","alle","personer","0","innvandring"
"befolkning_flytting_vreg","2014","0441","alle","personer","15","innvandring"
"befolkning_flytting_vreg","2014","0501","alle","personer","212","innvandring"
"befolkning_flytting_vreg","2014","0502","alle","personer","314","innvandring"
"befolkning_flytting_vreg","2014","0511","alle","personer","69","innvandring"
"befolkning_flytting_vreg","2014","0512","alle","personer","16","innvandring"
"befolkning_flytting_vreg","2014","0513","alle","personer","6","innvandring"
"befolkning_flytting_vreg","2014","0514","alle","personer","15","innvandring"
"befolkning_flytting_vreg","2014","0515","alle","personer","16","innvandring"
"befolkning_flytting_vreg","2014","0516","alle","personer","35","innvandring"
"befolkning_flytting_vreg","2014","0517","alle","personer","85","innvandring"
"befolkning_flytting_vreg","2014","0519","alle","personer","32","innvandring"
"befolkning_flytting_vreg","2014","0520","alle","personer","43","innvandring"
"befolkning_flytting_vreg","2014","0521","alle","personer","53","innvandring"
"befolkning_flytting_vreg","2014","0522","alle","personer","28","innvandring"
"befolkning_flytting_vreg","2014","0528","alle","personer","134","innvandring"
"befolkning_flytting_vreg","2014","0529","alle","personer","108","innvandring"
"befolkning_flytting_vreg","2014","0532","alle","personer","31","innvandring"
"befolkning_flytting_vreg","2014","0533","alle","personer","111","innvandring"
"befolkning_flytting_vreg","2014","0534","alle","personer","89","innvandring"
"befolkning_flytting_vreg","2014","0536","alle","personer","104","innvandring"
"befolkning_flytting_vreg","2014","0538","alle","personer","52","innvandring"
"befolkning_flytting_vreg","2014","0540","alle","personer","19","innvandring"
"befolkning_flytting_vreg","2014","0541","alle","personer","74","innvandring"
"befolkning_flytting_vreg","2014","0542","alle","personer","43","innvandring"
"befolkning_flytting_vreg","2014","0543","alle","personer","28","innvandring"
"befolkning_flytting_vreg","2014","0544","alle","personer","26","innvandring"
"befolkning_flytting_vreg","2014","0545","alle","personer","66","innvandring"
"befolkning_flytting_vreg","2014","0602","alle","personer","878","innvandring"
"befolkning_flytting_vreg","2014","0604","alle","personer","336","innvandring"
"befolkning_flytting_vreg","2014","0605","alle","personer","236","innvandring"
"befolkning_flytting_vreg","2014","0612","alle","personer","95","innvandring"
"befolkning_flytting_vreg","2014","0615","alle","personer","13","innvandring"
"befolkning_flytting_vreg","2014","0616","alle","personer","59","innvandring"
"befolkning_flytting_vreg","2014","0617","alle","personer","46","innvandring"
"befolkning_flytting_vreg","2014","0618","alle","personer","91","innvandring"
"befolkning_flytting_vreg","2014","0619","alle","personer","55","innvandring"
"befolkning_flytting_vreg","2014","0620","alle","personer","64","innvandring"
"befolkning_flytting_vreg","2014","0621","alle","personer","12","innvandring"
"befolkning_flytting_vreg","2014","0622","alle","personer","18","innvandring"
"befolkning_flytting_vreg","2014","0623","alle","personer","77","innvandring"
"befolkning_flytting_vreg","2014","0624","alle","personer","108","innvandring"
"befolkning_flytting_vreg","2014","0625","alle","personer","187","innvandring"
"befolkning_flytting_vreg","2014","0626","alle","personer","213","innvandring"
"befolkning_flytting_vreg","2014","0627","alle","personer","177","innvandring"
