"bydel_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"000301","alle","alle","prosent","2012","12.9","vedvarende_lavinntekt"
"030101","alle","alle","prosent","2012","19.9","vedvarende_lavinntekt"
"030102","alle","alle","prosent","2012","17.3","vedvarende_lavinntekt"
"030103","alle","alle","prosent","2012","14.8","vedvarende_lavinntekt"
"030104","alle","alle","prosent","2012","15.4","vedvarende_lavinntekt"
"030105","alle","alle","prosent","2012","13.1","vedvarende_lavinntekt"
"030106","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"030107","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"030108","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"030109","alle","alle","prosent","2012","15.0","vedvarende_lavinntekt"
"030110","alle","alle","prosent","2012","14.5","vedvarende_lavinntekt"
"030111","alle","alle","prosent","2012","16.0","vedvarende_lavinntekt"
"030112","alle","alle","prosent","2012","14.7","vedvarende_lavinntekt"
"030113","alle","alle","prosent","2012","8.3","vedvarende_lavinntekt"
"030114","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"030115","alle","alle","prosent","2012","16.4","vedvarende_lavinntekt"
"030116","alle","alle","prosent","2012","26.4","vedvarende_lavinntekt"
"030117","alle","alle","prosent","2012","9.0","vedvarende_lavinntekt"
"030199","alle","alle","prosent","2012","43.1","vedvarende_lavinntekt"
"000301","innvandrere","1","prosent","2012","19.3","vedvarende_lavinntekt"
"030101","innvandrere","1","prosent","2012","23.6","vedvarende_lavinntekt"
"030102","innvandrere","1","prosent","2012","24.8","vedvarende_lavinntekt"
"030103","innvandrere","1","prosent","2012","18.3","vedvarende_lavinntekt"
"030104","innvandrere","1","prosent","2012","21.2","vedvarende_lavinntekt"
"030105","innvandrere","1","prosent","2012","16.8","vedvarende_lavinntekt"
"030106","innvandrere","1","prosent","2012","14.5","vedvarende_lavinntekt"
"030107","innvandrere","1","prosent","2012","17.5","vedvarende_lavinntekt"
"030108","innvandrere","1","prosent","2012","21.9","vedvarende_lavinntekt"
"030109","innvandrere","1","prosent","2012","23.1","vedvarende_lavinntekt"
"030110","innvandrere","1","prosent","2012","20.4","vedvarende_lavinntekt"
"030111","innvandrere","1","prosent","2012","18.3","vedvarende_lavinntekt"
"030112","innvandrere","1","prosent","2012","16.9","vedvarende_lavinntekt"
"030113","innvandrere","1","prosent","2012","14.0","vedvarende_lavinntekt"
"030114","innvandrere","1","prosent","2012","16.2","vedvarende_lavinntekt"
"030115","innvandrere","1","prosent","2012","18.6","vedvarende_lavinntekt"
"030116","innvandrere","1","prosent","2012","25.8","vedvarende_lavinntekt"
"030117","innvandrere","1","prosent","2012","29.1","vedvarende_lavinntekt"
"030199","innvandrere","1","prosent","2012",":","vedvarende_lavinntekt"
"000301","innvandrere","2","prosent","2012","29.8","vedvarende_lavinntekt"
"030101","innvandrere","2","prosent","2012","39.5","vedvarende_lavinntekt"
"030102","innvandrere","2","prosent","2012","36.1","vedvarende_lavinntekt"
"030103","innvandrere","2","prosent","2012","36.6","vedvarende_lavinntekt"
"030104","innvandrere","2","prosent","2012","36.6","vedvarende_lavinntekt"
"030105","innvandrere","2","prosent","2012","28.8","vedvarende_lavinntekt"
"030106","innvandrere","2","prosent","2012","22.6","vedvarende_lavinntekt"
"030107","innvandrere","2","prosent","2012","29.2","vedvarende_lavinntekt"
"030108","innvandrere","2","prosent","2012","37.1","vedvarende_lavinntekt"
"030109","innvandrere","2","prosent","2012","30.2","vedvarende_lavinntekt"
"030110","innvandrere","2","prosent","2012","24.6","vedvarende_lavinntekt"
"030111","innvandrere","2","prosent","2012","27.6","vedvarende_lavinntekt"
"030112","innvandrere","2","prosent","2012","24.1","vedvarende_lavinntekt"
"030113","innvandrere","2","prosent","2012","25.7","vedvarende_lavinntekt"
"030114","innvandrere","2","prosent","2012","28.1","vedvarende_lavinntekt"
"030115","innvandrere","2","prosent","2012","26.8","vedvarende_lavinntekt"
"030116","innvandrere","2","prosent","2012","44.3","vedvarende_lavinntekt"
"030117","innvandrere","2","prosent","2012",":","vedvarende_lavinntekt"
"030199","innvandrere","2","prosent","2012","58.3","vedvarende_lavinntekt"
"000301","innvandrere","alle","prosent","2012","26.5","vedvarende_lavinntekt"
"030101","innvandrere","alle","prosent","2012","35.3","vedvarende_lavinntekt"
"030102","innvandrere","alle","prosent","2012","31.9","vedvarende_lavinntekt"
"030103","innvandrere","alle","prosent","2012","30.2","vedvarende_lavinntekt"
"030104","innvandrere","alle","prosent","2012","28.8","vedvarende_lavinntekt"
"030105","innvandrere","alle","prosent","2012","21.8","vedvarende_lavinntekt"
"030106","innvandrere","alle","prosent","2012","17.8","vedvarende_lavinntekt"
"030107","innvandrere","alle","prosent","2012","22.1","vedvarende_lavinntekt"
"030108","innvandrere","alle","prosent","2012","29.4","vedvarende_lavinntekt"
"030109","innvandrere","alle","prosent","2012","28.7","vedvarende_lavinntekt"
