"naringsregion_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"01","alle","1_5","personer","1674","2014","barnehagedeltakelse"
"02","alle","1_5","personer","3485","2014","barnehagedeltakelse"
"03","alle","1_5","personer","3346","2014","barnehagedeltakelse"
"04","alle","1_5","personer","7714","2014","barnehagedeltakelse"
"05","alle","1_5","personer","12105","2014","barnehagedeltakelse"
"06","alle","1_5","personer","8764","2014","barnehagedeltakelse"
"07","alle","1_5","personer","10799","2014","barnehagedeltakelse"
"08","alle","1_5","personer","6350","2014","barnehagedeltakelse"
"09","alle","1_5","personer","42409","2014","barnehagedeltakelse"
"10","alle","1_5","personer","800","2014","barnehagedeltakelse"
"11","alle","1_5","personer","2384","2014","barnehagedeltakelse"
"12","alle","1_5","personer","4933","2014","barnehagedeltakelse"
"13","alle","1_5","personer","1793","2014","barnehagedeltakelse"
"14","alle","1_5","personer","3617","2014","barnehagedeltakelse"
"15","alle","1_5","personer","1598","2014","barnehagedeltakelse"
"16","alle","1_5","personer","1890","2014","barnehagedeltakelse"
"17","alle","1_5","personer","664","2014","barnehagedeltakelse"
"18","alle","1_5","personer","867","2014","barnehagedeltakelse"
"19","alle","1_5","personer","862","2014","barnehagedeltakelse"
"20","alle","1_5","personer","10911","2014","barnehagedeltakelse"
"21","alle","1_5","personer","958","2014","barnehagedeltakelse"
"22","alle","1_5","personer","1929","2014","barnehagedeltakelse"
"23","alle","1_5","personer","1052","2014","barnehagedeltakelse"
"24","alle","1_5","personer","2003","2014","barnehagedeltakelse"
"25","alle","1_5","personer","7689","2014","barnehagedeltakelse"
"26","alle","1_5","personer","5023","2014","barnehagedeltakelse"
"27","alle","1_5","personer","6525","2014","barnehagedeltakelse"
"28","alle","1_5","personer","926","2014","barnehagedeltakelse"
"29","alle","1_5","personer","1036","2014","barnehagedeltakelse"
"30","alle","1_5","personer","758","2014","barnehagedeltakelse"
"31","alle","1_5","personer","393","2014","barnehagedeltakelse"
"32","alle","1_5","personer","5457","2014","barnehagedeltakelse"
"33","alle","1_5","personer","2306","2014","barnehagedeltakelse"
"34","alle","1_5","personer","1603","2014","barnehagedeltakelse"
"35","alle","1_5","personer","9154","2014","barnehagedeltakelse"
"36","alle","1_5","personer","1648","2014","barnehagedeltakelse"
"37","alle","1_5","personer","6795","2014","barnehagedeltakelse"
"38","alle","1_5","personer","1661","2014","barnehagedeltakelse"
