"tabell_navn","aar","bydel_nr","forste_bosettingskommune","enhet","botid_3","tabellvariabel"
"flyktning_botid_flytting","2015","030101","alle","personer","0_4","474"
"flyktning_botid_flytting","2015","030101","alle","prosent","0_4","9.0"
"flyktning_botid_flytting","2015","030101","ja","personer","0_4","220"
"flyktning_botid_flytting","2015","030101","ja","prosent","0_4","4.2"
"flyktning_botid_flytting","2015","030101","nei","personer","0_4","106"
"flyktning_botid_flytting","2015","030101","nei","prosent","0_4","2.0"
"flyktning_botid_flytting","2015","030101","uoppgitt","personer","0_4","148"
"flyktning_botid_flytting","2015","030101","uoppgitt","prosent","0_4","2.8"
"flyktning_botid_flytting","2015","030102","alle","personer","0_4","409"
"flyktning_botid_flytting","2015","030102","alle","prosent","0_4","10.0"
"flyktning_botid_flytting","2015","030102","ja","personer","0_4","214"
"flyktning_botid_flytting","2015","030102","ja","prosent","0_4","5.2"
"flyktning_botid_flytting","2015","030102","nei","personer","0_4","80"
"flyktning_botid_flytting","2015","030102","nei","prosent","0_4","2.0"
"flyktning_botid_flytting","2015","030102","uoppgitt","personer","0_4","115"
"flyktning_botid_flytting","2015","030102","uoppgitt","prosent","0_4","2.8"
"flyktning_botid_flytting","2015","030103","alle","personer","0_4","234"
"flyktning_botid_flytting","2015","030103","alle","prosent","0_4","10.2"
"flyktning_botid_flytting","2015","030103","ja","personer","0_4","158"
"flyktning_botid_flytting","2015","030103","ja","prosent","0_4","6.9"
"flyktning_botid_flytting","2015","030103","nei","personer","0_4","24"
"flyktning_botid_flytting","2015","030103","nei","prosent","0_4","1.0"
"flyktning_botid_flytting","2015","030103","uoppgitt","personer","0_4","52"
"flyktning_botid_flytting","2015","030103","uoppgitt","prosent","0_4","2.3"
"flyktning_botid_flytting","2015","030104","alle","personer","0_4","208"
"flyktning_botid_flytting","2015","030104","alle","prosent","0_4","13.6"
"flyktning_botid_flytting","2015","030104","ja","personer","0_4","150"
"flyktning_botid_flytting","2015","030104","ja","prosent","0_4","9.8"
"flyktning_botid_flytting","2015","030104","nei","personer","0_4","28"
"flyktning_botid_flytting","2015","030104","nei","prosent","0_4","1.8"
"flyktning_botid_flytting","2015","030104","uoppgitt","personer","0_4","30"
"flyktning_botid_flytting","2015","030104","uoppgitt","prosent","0_4","2.0"
"flyktning_botid_flytting","2015","030105","alle","personer","0_4","235"
"flyktning_botid_flytting","2015","030105","alle","prosent","0_4","13.7"
"flyktning_botid_flytting","2015","030105","ja","personer","0_4","163"
"flyktning_botid_flytting","2015","030105","ja","prosent","0_4","9.5"
"flyktning_botid_flytting","2015","030105","nei","personer","0_4","24"
"flyktning_botid_flytting","2015","030105","nei","prosent","0_4","1.4"
"flyktning_botid_flytting","2015","030105","uoppgitt","personer","0_4","48"
"flyktning_botid_flytting","2015","030105","uoppgitt","prosent","0_4","2.8"
"flyktning_botid_flytting","2015","030106","alle","personer","0_4","95"
"flyktning_botid_flytting","2015","030106","alle","prosent","0_4","14.8"
"flyktning_botid_flytting","2015","030106","ja","personer","0_4","71"
"flyktning_botid_flytting","2015","030106","ja","prosent","0_4","11.1"
"flyktning_botid_flytting","2015","030106","nei","personer","0_4","9"
"flyktning_botid_flytting","2015","030106","nei","prosent","0_4","1.4"
"flyktning_botid_flytting","2015","030106","uoppgitt","personer","0_4","15"
"flyktning_botid_flytting","2015","030106","uoppgitt","prosent","0_4","2.3"
"flyktning_botid_flytting","2015","030107","alle","personer","0_4","166"
"flyktning_botid_flytting","2015","030107","alle","prosent","0_4","19.2"
"flyktning_botid_flytting","2015","030107","ja","personer","0_4","134"
"flyktning_botid_flytting","2015","030107","ja","prosent","0_4","15.5"
"flyktning_botid_flytting","2015","030107","nei","personer","0_4","11"
"flyktning_botid_flytting","2015","030107","nei","prosent","0_4","1.3"
"flyktning_botid_flytting","2015","030107","uoppgitt","personer","0_4","21"
"flyktning_botid_flytting","2015","030107","uoppgitt","prosent","0_4","2.4"
"flyktning_botid_flytting","2015","030108","alle","personer","0_4","160"
"flyktning_botid_flytting","2015","030108","alle","prosent","0_4","13.4"
"flyktning_botid_flytting","2015","030108","ja","personer","0_4","98"
"flyktning_botid_flytting","2015","030108","ja","prosent","0_4","8.2"
"flyktning_botid_flytting","2015","030108","nei","personer","0_4","23"
"flyktning_botid_flytting","2015","030108","nei","prosent","0_4","1.9"
"flyktning_botid_flytting","2015","030108","uoppgitt","personer","0_4","39"
"flyktning_botid_flytting","2015","030108","uoppgitt","prosent","0_4","3.3"
"flyktning_botid_flytting","2015","030109","alle","personer","0_4","231"
"flyktning_botid_flytting","2015","030109","alle","prosent","0_4","7.0"
"flyktning_botid_flytting","2015","030109","ja","personer","0_4","118"
"flyktning_botid_flytting","2015","030109","ja","prosent","0_4","3.6"
"flyktning_botid_flytting","2015","030109","nei","personer","0_4","37"
"flyktning_botid_flytting","2015","030109","nei","prosent","0_4","1.1"
"flyktning_botid_flytting","2015","030109","uoppgitt","personer","0_4","76"
"flyktning_botid_flytting","2015","030109","uoppgitt","prosent","0_4","2.3"
"flyktning_botid_flytting","2015","030110","alle","personer","0_4","269"
"flyktning_botid_flytting","2015","030110","alle","prosent","0_4","7.0"
"flyktning_botid_flytting","2015","030110","ja","personer","0_4","119"
"flyktning_botid_flytting","2015","030110","ja","prosent","0_4","3.1"
"flyktning_botid_flytting","2015","030110","nei","personer","0_4","50"
"flyktning_botid_flytting","2015","030110","nei","prosent","0_4","1.3"
"flyktning_botid_flytting","2015","030110","uoppgitt","personer","0_4","100"
"flyktning_botid_flytting","2015","030110","uoppgitt","prosent","0_4","2.6"
"flyktning_botid_flytting","2015","030111","alle","personer","0_4","353"
"flyktning_botid_flytting","2015","030111","alle","prosent","0_4","7.9"
"flyktning_botid_flytting","2015","030111","ja","personer","0_4","187"
"flyktning_botid_flytting","2015","030111","ja","prosent","0_4","4.2"
"flyktning_botid_flytting","2015","030111","nei","personer","0_4","48"
"flyktning_botid_flytting","2015","030111","nei","prosent","0_4","1.1"
"flyktning_botid_flytting","2015","030111","uoppgitt","personer","0_4","118"
"flyktning_botid_flytting","2015","030111","uoppgitt","prosent","0_4","2.6"
"flyktning_botid_flytting","2015","030112","alle","personer","0_4","485"
"flyktning_botid_flytting","2015","030112","alle","prosent","0_4","7.3"
"flyktning_botid_flytting","2015","030112","ja","personer","0_4","227"
"flyktning_botid_flytting","2015","030112","ja","prosent","0_4","3.4"
"flyktning_botid_flytting","2015","030112","nei","personer","0_4","93"
"flyktning_botid_flytting","2015","030112","nei","prosent","0_4","1.4"
"flyktning_botid_flytting","2015","030112","uoppgitt","personer","0_4","165"
"flyktning_botid_flytting","2015","030112","uoppgitt","prosent","0_4","2.5"
"flyktning_botid_flytting","2015","030113","alle","personer","0_4","243"
"flyktning_botid_flytting","2015","030113","alle","prosent","0_4","8.8"
"flyktning_botid_flytting","2015","030113","ja","personer","0_4","157"
"flyktning_botid_flytting","2015","030113","ja","prosent","0_4","5.7"
"flyktning_botid_flytting","2015","030113","nei","personer","0_4","26"
"flyktning_botid_flytting","2015","030113","nei","prosent","0_4","0.9"
"flyktning_botid_flytting","2015","030113","uoppgitt","personer","0_4","60"
"flyktning_botid_flytting","2015","030113","uoppgitt","prosent","0_4","2.2"
"flyktning_botid_flytting","2015","030114","alle","personer","0_4","192"
"flyktning_botid_flytting","2015","030114","alle","prosent","0_4","13.9"
"flyktning_botid_flytting","2015","030114","ja","personer","0_4","137"
"flyktning_botid_flytting","2015","030114","ja","prosent","0_4","9.9"
"flyktning_botid_flytting","2015","030114","nei","personer","0_4","14"
"flyktning_botid_flytting","2015","030114","nei","prosent","0_4","1.0"
"flyktning_botid_flytting","2015","030114","uoppgitt","personer","0_4","41"
"flyktning_botid_flytting","2015","030114","uoppgitt","prosent","0_4","3.0"
"flyktning_botid_flytting","2015","030115","alle","personer","0_4","311"
"flyktning_botid_flytting","2015","030115","alle","prosent","0_4","6.8"
"flyktning_botid_flytting","2015","030115","ja","personer","0_4","155"
"flyktning_botid_flytting","2015","030115","ja","prosent","0_4","3.4"
"flyktning_botid_flytting","2015","030115","nei","personer","0_4","64"
"flyktning_botid_flytting","2015","030115","nei","prosent","0_4","1.4"
"flyktning_botid_flytting","2015","030115","uoppgitt","personer","0_4","92"
"flyktning_botid_flytting","2015","030115","uoppgitt","prosent","0_4","2.0"
"flyktning_botid_flytting","2015","030116","alle","personer","0_4","6"
"flyktning_botid_flytting","2015","030116","alle","prosent","0_4","5.9"
"flyktning_botid_flytting","2015","030116","ja","personer","0_4","3"
"flyktning_botid_flytting","2015","030116","ja","prosent","0_4","2.9"
"flyktning_botid_flytting","2015","030116","nei","personer","0_4","0"
"flyktning_botid_flytting","2015","030116","nei","prosent","0_4","0.0"
"flyktning_botid_flytting","2015","030116","uoppgitt","personer","0_4","3"
"flyktning_botid_flytting","2015","030116","uoppgitt","prosent","0_4","2.9"
"flyktning_botid_flytting","2015","030117","alle","personer","0_4","3"
"flyktning_botid_flytting","2015","030117","alle","prosent","0_4","50.0"
"flyktning_botid_flytting","2015","030117","ja","personer","0_4","0"
"flyktning_botid_flytting","2015","030117","ja","prosent","0_4","0.0"
"flyktning_botid_flytting","2015","030117","nei","personer","0_4","3"
"flyktning_botid_flytting","2015","030117","nei","prosent","0_4","50.0"
"flyktning_botid_flytting","2015","030117","uoppgitt","personer","0_4","0"
"flyktning_botid_flytting","2015","030117","uoppgitt","prosent","0_4","0.0"
"flyktning_botid_flytting","2015","030199","alle","personer","0_4","52"
"flyktning_botid_flytting","2015","030199","alle","prosent","0_4","5.5"
"flyktning_botid_flytting","2015","030199","ja","personer","0_4","22"
"flyktning_botid_flytting","2015","030199","ja","prosent","0_4","2.3"
"flyktning_botid_flytting","2015","030199","nei","personer","0_4","16"
"flyktning_botid_flytting","2015","030199","nei","prosent","0_4","1.7"
