"aar","naringsregion_nr","vreg_3","kjonn","tabellvariabel","tabell_navn","enhet"
"2006","01","1","0","206","sysselsatte_kjonn_land","personer"
"2006","01","1","1","238","sysselsatte_kjonn_land","personer"
"2006","01","1","alle","444","sysselsatte_kjonn_land","personer"
"2006","01","2","0","194","sysselsatte_kjonn_land","personer"
"2006","01","2","1","195","sysselsatte_kjonn_land","personer"
"2006","01","2","alle","389","sysselsatte_kjonn_land","personer"
"2006","01","alle","0","400","sysselsatte_kjonn_land","personer"
"2006","01","alle","1","433","sysselsatte_kjonn_land","personer"
"2006","01","alle","alle","833","sysselsatte_kjonn_land","personer"
"2006","02","1","0","347","sysselsatte_kjonn_land","personer"
"2006","02","1","1","468","sysselsatte_kjonn_land","personer"
"2006","02","1","alle","815","sysselsatte_kjonn_land","personer"
"2006","02","2","0","483","sysselsatte_kjonn_land","personer"
"2006","02","2","1","562","sysselsatte_kjonn_land","personer"
"2006","02","2","alle","1045","sysselsatte_kjonn_land","personer"
"2006","02","alle","0","830","sysselsatte_kjonn_land","personer"
"2006","02","alle","1","1030","sysselsatte_kjonn_land","personer"
"2006","02","alle","alle","1860","sysselsatte_kjonn_land","personer"
"2006","03","1","0","417","sysselsatte_kjonn_land","personer"
"2006","03","1","1","511","sysselsatte_kjonn_land","personer"
"2006","03","1","alle","928","sysselsatte_kjonn_land","personer"
"2006","03","2","0","513","sysselsatte_kjonn_land","personer"
"2006","03","2","1","579","sysselsatte_kjonn_land","personer"
"2006","03","2","alle","1092","sysselsatte_kjonn_land","personer"
"2006","03","alle","0","930","sysselsatte_kjonn_land","personer"
"2006","03","alle","1","1090","sysselsatte_kjonn_land","personer"
"2006","03","alle","alle","2020","sysselsatte_kjonn_land","personer"
"2006","04","1","0","725","sysselsatte_kjonn_land","personer"
"2006","04","1","1","1052","sysselsatte_kjonn_land","personer"
"2006","04","1","alle","1777","sysselsatte_kjonn_land","personer"
"2006","04","2","0","1123","sysselsatte_kjonn_land","personer"
"2006","04","2","1","1314","sysselsatte_kjonn_land","personer"
"2006","04","2","alle","2437","sysselsatte_kjonn_land","personer"
"2006","04","alle","0","1848","sysselsatte_kjonn_land","personer"
"2006","04","alle","1","2366","sysselsatte_kjonn_land","personer"
"2006","04","alle","alle","4214","sysselsatte_kjonn_land","personer"
"2006","05","1","0","2589","sysselsatte_kjonn_land","personer"
"2006","05","1","1","2819","sysselsatte_kjonn_land","personer"
"2006","05","1","alle","5408","sysselsatte_kjonn_land","personer"
"2006","05","2","0","1957","sysselsatte_kjonn_land","personer"
"2006","05","2","1","2076","sysselsatte_kjonn_land","personer"
"2006","05","2","alle","4033","sysselsatte_kjonn_land","personer"
"2006","05","alle","0","4546","sysselsatte_kjonn_land","personer"
"2006","05","alle","1","4895","sysselsatte_kjonn_land","personer"
"2006","05","alle","alle","9441","sysselsatte_kjonn_land","personer"
"2006","06","1","0","1428","sysselsatte_kjonn_land","personer"
"2006","06","1","1","1501","sysselsatte_kjonn_land","personer"
"2006","06","1","alle","2929","sysselsatte_kjonn_land","personer"
"2006","06","2","0","1222","sysselsatte_kjonn_land","personer"
"2006","06","2","1","1321","sysselsatte_kjonn_land","personer"
"2006","06","2","alle","2543","sysselsatte_kjonn_land","personer"
"2006","06","alle","0","2650","sysselsatte_kjonn_land","personer"
"2006","06","alle","1","2822","sysselsatte_kjonn_land","personer"
"2006","06","alle","alle","5472","sysselsatte_kjonn_land","personer"
"2006","07","1","0","1319","sysselsatte_kjonn_land","personer"
"2006","07","1","1","1540","sysselsatte_kjonn_land","personer"
"2006","07","1","alle","2859","sysselsatte_kjonn_land","personer"
"2006","07","2","0","2093","sysselsatte_kjonn_land","personer"
"2006","07","2","1","2466","sysselsatte_kjonn_land","personer"
"2006","07","2","alle","4559","sysselsatte_kjonn_land","personer"
"2006","07","alle","0","3412","sysselsatte_kjonn_land","personer"
"2006","07","alle","1","4006","sysselsatte_kjonn_land","personer"
"2006","07","alle","alle","7418","sysselsatte_kjonn_land","personer"
"2006","08","1","0","614","sysselsatte_kjonn_land","personer"
"2006","08","1","1","703","sysselsatte_kjonn_land","personer"
"2006","08","1","alle","1317","sysselsatte_kjonn_land","personer"
"2006","08","2","0","719","sysselsatte_kjonn_land","personer"
"2006","08","2","1","661","sysselsatte_kjonn_land","personer"
"2006","08","2","alle","1380","sysselsatte_kjonn_land","personer"
"2006","08","alle","0","1333","sysselsatte_kjonn_land","personer"
"2006","08","alle","1","1364","sysselsatte_kjonn_land","personer"
"2006","08","alle","alle","2697","sysselsatte_kjonn_land","personer"
"2006","09","1","0","8456","sysselsatte_kjonn_land","personer"
"2006","09","1","1","9684","sysselsatte_kjonn_land","personer"
"2006","09","1","alle","18140","sysselsatte_kjonn_land","personer"
"2006","09","2","0","14396","sysselsatte_kjonn_land","personer"
"2006","09","2","1","20091","sysselsatte_kjonn_land","personer"
"2006","09","2","alle","34487","sysselsatte_kjonn_land","personer"
"2006","09","alle","0","22852","sysselsatte_kjonn_land","personer"
"2006","09","alle","1","29775","sysselsatte_kjonn_land","personer"
"2006","09","alle","alle","52627","sysselsatte_kjonn_land","personer"
"2006","10","1","0","75","sysselsatte_kjonn_land","personer"
"2006","10","1","1","67","sysselsatte_kjonn_land","personer"
"2006","10","1","alle","142","sysselsatte_kjonn_land","personer"
"2006","10","2","0","104","sysselsatte_kjonn_land","personer"
"2006","10","2","1","63","sysselsatte_kjonn_land","personer"
"2006","10","2","alle","167","sysselsatte_kjonn_land","personer"
"2006","10","alle","0","179","sysselsatte_kjonn_land","personer"
"2006","10","alle","1","130","sysselsatte_kjonn_land","personer"
"2006","10","alle","alle","309","sysselsatte_kjonn_land","personer"
"2006","11","1","0","268","sysselsatte_kjonn_land","personer"
"2006","11","1","1","256","sysselsatte_kjonn_land","personer"
"2006","11","1","alle","524","sysselsatte_kjonn_land","personer"
"2006","11","2","0","267","sysselsatte_kjonn_land","personer"
"2006","11","2","1","263","sysselsatte_kjonn_land","personer"
