"aar","fylke_nr","innvkat_3","vreg_3","tabellvariabel","tabell_navn","enhet"
"2006","00","alle","alle","62252","arbledige_innvkat_land","personer"
"2006","00","befolkningen_ellers","alle","46540","arbledige_innvkat_land","personer"
"2006","00","innvandrere","1","2225","arbledige_innvkat_land","personer"
"2006","00","innvandrere","2","13487","arbledige_innvkat_land","personer"
"2006","00","innvandrere","alle","15712","arbledige_innvkat_land","personer"
"2006","01","alle","alle","3815","arbledige_innvkat_land","personer"
"2006","01","befolkningen_ellers","alle","2754","arbledige_innvkat_land","personer"
"2006","01","innvandrere","1","119","arbledige_innvkat_land","personer"
"2006","01","innvandrere","2","942","arbledige_innvkat_land","personer"
"2006","01","innvandrere","alle","1061","arbledige_innvkat_land","personer"
"2006","02","alle","alle","5302","arbledige_innvkat_land","personer"
"2006","02","befolkningen_ellers","alle","3767","arbledige_innvkat_land","personer"
"2006","02","innvandrere","1","254","arbledige_innvkat_land","personer"
"2006","02","innvandrere","2","1281","arbledige_innvkat_land","personer"
"2006","02","innvandrere","alle","1535","arbledige_innvkat_land","personer"
"2006","03","alle","alle","9838","arbledige_innvkat_land","personer"
"2006","03","befolkningen_ellers","alle","4924","arbledige_innvkat_land","personer"
"2006","03","innvandrere","1","492","arbledige_innvkat_land","personer"
"2006","03","innvandrere","2","4422","arbledige_innvkat_land","personer"
"2006","03","innvandrere","alle","4914","arbledige_innvkat_land","personer"
"2006","04","alle","alle","2479","arbledige_innvkat_land","personer"
"2006","04","befolkningen_ellers","alle","2144","arbledige_innvkat_land","personer"
"2006","04","innvandrere","1","69","arbledige_innvkat_land","personer"
"2006","04","innvandrere","2","266","arbledige_innvkat_land","personer"
"2006","04","innvandrere","alle","335","arbledige_innvkat_land","personer"
"2006","05","alle","alle","1796","arbledige_innvkat_land","personer"
"2006","05","befolkningen_ellers","alle","1504","arbledige_innvkat_land","personer"
"2006","05","innvandrere","1","57","arbledige_innvkat_land","personer"
"2006","05","innvandrere","2","235","arbledige_innvkat_land","personer"
"2006","05","innvandrere","alle","292","arbledige_innvkat_land","personer"
"2006","06","alle","alle","3293","arbledige_innvkat_land","personer"
"2006","06","befolkningen_ellers","alle","2296","arbledige_innvkat_land","personer"
"2006","06","innvandrere","1","140","arbledige_innvkat_land","personer"
"2006","06","innvandrere","2","857","arbledige_innvkat_land","personer"
"2006","06","innvandrere","alle","997","arbledige_innvkat_land","personer"
"2006","07","alle","alle","3059","arbledige_innvkat_land","personer"
"2006","07","befolkningen_ellers","alle","2416","arbledige_innvkat_land","personer"
"2006","07","innvandrere","1","86","arbledige_innvkat_land","personer"
"2006","07","innvandrere","2","557","arbledige_innvkat_land","personer"
"2006","07","innvandrere","alle","643","arbledige_innvkat_land","personer"
"2006","08","alle","alle","2415","arbledige_innvkat_land","personer"
