"tabell_navn","aar","bydel_nr","kjonn","innvkat_5","enhet","tabellvariabel"
"grunnskolepoeng","2015","030101","alle","alle","grunnskolepoeng","38,2"
"grunnskolepoeng","2015","030101","alle","alle","personer","227"
"grunnskolepoeng","2015","030101","alle","bef_u_innv_og_norskf","grunnskolepoeng","43"
"grunnskolepoeng","2015","030101","alle","bef_u_innv_og_norskf","personer","91"
"grunnskolepoeng","2015","030101","alle","befolkningen_ellers","grunnskolepoeng","39,4"
"grunnskolepoeng","2015","030101","alle","befolkningen_ellers","personer","179"
"grunnskolepoeng","2015","030101","alle","innvandrere","grunnskolepoeng","34"
"grunnskolepoeng","2015","030101","alle","innvandrere","personer","48"
"grunnskolepoeng","2015","030101","alle","norskfodte_m_innvf","grunnskolepoeng","35,8"
"grunnskolepoeng","2015","030101","alle","norskfodte_m_innvf","personer","88"
"grunnskolepoeng","2015","030101","1","alle","grunnskolepoeng","37,8"
"grunnskolepoeng","2015","030101","1","alle","personer","120"
"grunnskolepoeng","2015","030101","1","bef_u_innv_og_norskf","grunnskolepoeng","42,4"
"grunnskolepoeng","2015","030101","1","bef_u_innv_og_norskf","personer","53"
"grunnskolepoeng","2015","030101","1","befolkningen_ellers","grunnskolepoeng","38,8"
"grunnskolepoeng","2015","030101","1","befolkningen_ellers","personer","93"
"grunnskolepoeng","2015","030101","1","innvandrere","grunnskolepoeng","34,6"
"grunnskolepoeng","2015","030101","1","innvandrere","personer","27"
"grunnskolepoeng","2015","030101","1","norskfodte_m_innvf","grunnskolepoeng","33,8"
"grunnskolepoeng","2015","030101","1","norskfodte_m_innvf","personer","40"
"grunnskolepoeng","2015","030101","0","alle","grunnskolepoeng","38,8"
"grunnskolepoeng","2015","030101","0","alle","personer","107"
"grunnskolepoeng","2015","030101","0","bef_u_innv_og_norskf","grunnskolepoeng","43,8"
"grunnskolepoeng","2015","030101","0","bef_u_innv_og_norskf","personer","38"
"grunnskolepoeng","2015","030101","0","befolkningen_ellers","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030101","0","befolkningen_ellers","personer","86"
"grunnskolepoeng","2015","030101","0","innvandrere","grunnskolepoeng","33,2"
"grunnskolepoeng","2015","030101","0","innvandrere","personer","21"
"grunnskolepoeng","2015","030101","0","norskfodte_m_innvf","grunnskolepoeng","37,2"
"grunnskolepoeng","2015","030101","0","norskfodte_m_innvf","personer","48"
"grunnskolepoeng","2015","030102","alle","alle","grunnskolepoeng","39"
"grunnskolepoeng","2015","030102","alle","alle","personer","189"
"grunnskolepoeng","2015","030102","alle","bef_u_innv_og_norskf","grunnskolepoeng","42"
"grunnskolepoeng","2015","030102","alle","bef_u_innv_og_norskf","personer","112"
"grunnskolepoeng","2015","030102","alle","befolkningen_ellers","grunnskolepoeng","41,2"
"grunnskolepoeng","2015","030102","alle","befolkningen_ellers","personer","141"
"grunnskolepoeng","2015","030102","alle","innvandrere","grunnskolepoeng","32,6"
"grunnskolepoeng","2015","030102","alle","innvandrere","personer","48"
"grunnskolepoeng","2015","030102","alle","norskfodte_m_innvf","grunnskolepoeng","38,2"
"grunnskolepoeng","2015","030102","alle","norskfodte_m_innvf","personer","29"
"grunnskolepoeng","2015","030102","1","alle","grunnskolepoeng","38,6"
"grunnskolepoeng","2015","030102","1","alle","personer","102"
"grunnskolepoeng","2015","030102","1","bef_u_innv_og_norskf","grunnskolepoeng","42"
"grunnskolepoeng","2015","030102","1","bef_u_innv_og_norskf","personer","59"
"grunnskolepoeng","2015","030102","1","befolkningen_ellers","grunnskolepoeng","40,8"
"grunnskolepoeng","2015","030102","1","befolkningen_ellers","personer","72"
"grunnskolepoeng","2015","030102","1","innvandrere","grunnskolepoeng","33"
"grunnskolepoeng","2015","030102","1","innvandrere","personer","30"
"grunnskolepoeng","2015","030102","1","norskfodte_m_innvf","grunnskolepoeng","35,6"
"grunnskolepoeng","2015","030102","1","norskfodte_m_innvf","personer","13"
"grunnskolepoeng","2015","030102","0","alle","grunnskolepoeng","39,8"
