"naringsregion_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"01","alle","alle","prosent","2014","11.7","vedvarende_lavinntekt"
"02","alle","alle","prosent","2014","10.0","vedvarende_lavinntekt"
"03","alle","alle","prosent","2014","9.1","vedvarende_lavinntekt"
"04","alle","alle","prosent","2014","11.2","vedvarende_lavinntekt"
"05","alle","alle","prosent","2014","6.7","vedvarende_lavinntekt"
"06","alle","alle","prosent","2014","6.7","vedvarende_lavinntekt"
"07","alle","alle","prosent","2014","7.1","vedvarende_lavinntekt"
"08","alle","alle","prosent","2014","7.2","vedvarende_lavinntekt"
"09","alle","alle","prosent","2014","13.9","vedvarende_lavinntekt"
"10","alle","alle","prosent","2014","10.1","vedvarende_lavinntekt"
"11","alle","alle","prosent","2014","11.0","vedvarende_lavinntekt"
"12","alle","alle","prosent","2014","9.2","vedvarende_lavinntekt"
"13","alle","alle","prosent","2014","10.9","vedvarende_lavinntekt"
"14","alle","alle","prosent","2014","9.6","vedvarende_lavinntekt"
"15","alle","alle","prosent","2014","8.2","vedvarende_lavinntekt"
"16","alle","alle","prosent","2014","9.8","vedvarende_lavinntekt"
"17","alle","alle","prosent","2014","10.8","vedvarende_lavinntekt"
"18","alle","alle","prosent","2014","9.8","vedvarende_lavinntekt"
"19","alle","alle","prosent","2014","11.1","vedvarende_lavinntekt"
"20","alle","alle","prosent","2014","9.2","vedvarende_lavinntekt"
"21","alle","alle","prosent","2014","9.6","vedvarende_lavinntekt"
"22","alle","alle","prosent","2014","7.2","vedvarende_lavinntekt"
"23","alle","alle","prosent","2014","9.3","vedvarende_lavinntekt"
"24","alle","alle","prosent","2014","9.7","vedvarende_lavinntekt"
"25","alle","alle","prosent","2014","9.1","vedvarende_lavinntekt"
"26","alle","alle","prosent","2014","10.4","vedvarende_lavinntekt"
"27","alle","alle","prosent","2014","10.2","vedvarende_lavinntekt"
"28","alle","alle","prosent","2014","12.6","vedvarende_lavinntekt"
"29","alle","alle","prosent","2014","10.4","vedvarende_lavinntekt"
"30","alle","alle","prosent","2014","8.5","vedvarende_lavinntekt"
"31","alle","alle","prosent","2014","9.7","vedvarende_lavinntekt"
"32","alle","alle","prosent","2014","9.8","vedvarende_lavinntekt"
"33","alle","alle","prosent","2014","7.7","vedvarende_lavinntekt"
"34","alle","alle","prosent","2014","9.2","vedvarende_lavinntekt"
"35","alle","alle","prosent","2014","9.4","vedvarende_lavinntekt"
"36","alle","alle","prosent","2014","5.6","vedvarende_lavinntekt"
"37","alle","alle","prosent","2014","8.0","vedvarende_lavinntekt"
"38","alle","alle","prosent","2014","6.2","vedvarende_lavinntekt"
"39","alle","alle","prosent","2014","5.8","vedvarende_lavinntekt"
"40","alle","alle","prosent","2014","9.3","vedvarende_lavinntekt"
"41","alle","alle","prosent","2014","6.2","vedvarende_lavinntekt"
"42","alle","alle","prosent","2014","6.7","vedvarende_lavinntekt"
"43","alle","alle","prosent","2014","7.7","vedvarende_lavinntekt"
"44","alle","alle","prosent","2014","5.8","vedvarende_lavinntekt"
"45","alle","alle","prosent","2014","7.2","vedvarende_lavinntekt"
"46","alle","alle","prosent","2014","6.6","vedvarende_lavinntekt"
"47","alle","alle","prosent","2014","5.3","vedvarende_lavinntekt"
"48","alle","alle","prosent","2014","7.9","vedvarende_lavinntekt"
"49","alle","alle","prosent","2014","7.9","vedvarende_lavinntekt"
"50","alle","alle","prosent","2014","6.8","vedvarende_lavinntekt"
"51","alle","alle","prosent","2014","6.4","vedvarende_lavinntekt"
"52","alle","alle","prosent","2014","8.2","vedvarende_lavinntekt"
"53","alle","alle","prosent","2014","6.7","vedvarende_lavinntekt"
"54","alle","alle","prosent","2014","7.0","vedvarende_lavinntekt"
"55","alle","alle","prosent","2014","7.2","vedvarende_lavinntekt"
"56","alle","alle","prosent","2014","7.1","vedvarende_lavinntekt"
"57","alle","alle","prosent","2014","8.7","vedvarende_lavinntekt"
"58","alle","alle","prosent","2014","9.0","vedvarende_lavinntekt"
"59","alle","alle","prosent","2014","8.7","vedvarende_lavinntekt"
"60","alle","alle","prosent","2014","7.8","vedvarende_lavinntekt"
"61","alle","alle","prosent","2014","9.1","vedvarende_lavinntekt"
"62","alle","alle","prosent","2014","7.3","vedvarende_lavinntekt"
"63","alle","alle","prosent","2014","7.8","vedvarende_lavinntekt"
