"aar","bydel_nr","kjonn","enhet","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr","vreg_3","tabellvariabel"
2014,"000301","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","25087"
2014,"000301","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","32461"
2014,"000301","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","57548"
2014,"030101","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","2018"
2014,"030101","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","2859"
2014,"030101","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","4877"
2014,"030102","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","2727"
2014,"030102","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","3934"
2014,"030102","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","6661"
2014,"030103","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1491"
2014,"030103","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1842"
2014,"030103","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","3333"
2014,"030104","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","2053"
2014,"030104","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","2652"
2014,"030104","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","4705"
2014,"030105","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","3813"
2014,"030105","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","4366"
2014,"030105","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","8179"
2014,"030106","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1377"
2014,"030106","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1419"
2014,"030106","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","2796"
2014,"030107","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1931"
2014,"030107","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","2077"
2014,"030107","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","4008"
2014,"030108","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1771"
2014,"030108","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1871"
2014,"030108","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","3642"
2014,"030109","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1028"
2014,"030109","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1619"
2014,"030109","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","2647"
2014,"030110","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","719"
2014,"030110","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","926"
2014,"030110","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1645"
2014,"030111","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","680"
2014,"030111","1","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1149"
2014,"030111","alle","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1829"
2014,"030112","0","personer","befolkning_verdensregion_2","NULL","NULL","NULL","1","1171"
