"aar","naringsregion_nr","enhet","tabell_navn","bosetting","tabellvariabel"
"2012","01","promille","bosatt_befolkning","bosatt_per_1000","0.2"
"2012","02","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","03","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","04","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2012","05","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","06","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2012","07","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","08","promille","bosatt_befolkning","bosatt_per_1000","0.6"
"2012","09","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2012","10","promille","bosatt_befolkning","bosatt_per_1000","1.8"
"2012","11","promille","bosatt_befolkning","bosatt_per_1000","0.6"
"2012","12","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","13","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2012","14","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2012","15","promille","bosatt_befolkning","bosatt_per_1000","2.4"
"2012","16","promille","bosatt_befolkning","bosatt_per_1000","1.8"
"2012","17","promille","bosatt_befolkning","bosatt_per_1000","1.8"
"2012","18","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2012","19","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2012","20","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2012","21","promille","bosatt_befolkning","bosatt_per_1000","2"
"2012","22","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2012","23","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2012","24","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","25","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","26","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2012","27","promille","bosatt_befolkning","bosatt_per_1000","2"
"2012","28","promille","bosatt_befolkning","bosatt_per_1000","2.4"
"2012","29","promille","bosatt_befolkning","bosatt_per_1000","2.5"
"2012","30","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","31","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2012","32","promille","bosatt_befolkning","bosatt_per_1000","1.6"
"2012","33","promille","bosatt_befolkning","bosatt_per_1000","1.7"
"2012","34","promille","bosatt_befolkning","bosatt_per_1000","1.4"
"2012","35","promille","bosatt_befolkning","bosatt_per_1000","1.6"
"2012","36","promille","bosatt_befolkning","bosatt_per_1000","1.1"
"2012","37","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2012","38","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2012","39","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","40","promille","bosatt_befolkning","bosatt_per_1000","1.1"
