"aar","fylke_nr","enhet","tabell_navn","bosetting","tabellvariabel"
"2012","00","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2012","01","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2012","02","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","03","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2012","04","promille","bosatt_befolkning","bosatt_per_1000","1"
"2012","05","promille","bosatt_befolkning","bosatt_per_1000","1.6"
"2012","06","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2012","07","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2012","08","promille","bosatt_befolkning","bosatt_per_1000","2"
"2012","09","promille","bosatt_befolkning","bosatt_per_1000","1.6"
"2012","10","promille","bosatt_befolkning","bosatt_per_1000","1.6"
"2012","11","promille","bosatt_befolkning","bosatt_per_1000","1"
"2012","12","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2012","14","promille","bosatt_befolkning","bosatt_per_1000","1"
"2012","15","promille","bosatt_befolkning","bosatt_per_1000","1.1"
"2012","16","promille","bosatt_befolkning","bosatt_per_1000","1.1"
"2012","17","promille","bosatt_befolkning","bosatt_per_1000","2"
"2012","18","promille","bosatt_befolkning","bosatt_per_1000","2"
"2012","19","promille","bosatt_befolkning","bosatt_per_1000","1.8"
"2012","20","promille","bosatt_befolkning","bosatt_per_1000","2.3"
"2012","99","promille","bosatt_befolkning","bosatt_per_1000","."
"2013","00","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2013","01","promille","bosatt_befolkning","bosatt_per_1000","0.7"
"2013","02","promille","bosatt_befolkning","bosatt_per_1000","0.9"
"2013","03","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2013","04","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2013","05","promille","bosatt_befolkning","bosatt_per_1000","1.7"
"2013","06","promille","bosatt_befolkning","bosatt_per_1000","1.4"
"2013","07","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2013","08","promille","bosatt_befolkning","bosatt_per_1000","1.9"
"2013","09","promille","bosatt_befolkning","bosatt_per_1000","1.7"
"2013","10","promille","bosatt_befolkning","bosatt_per_1000","2"
"2013","11","promille","bosatt_befolkning","bosatt_per_1000","1"
"2013","12","promille","bosatt_befolkning","bosatt_per_1000","1.1"
"2013","14","promille","bosatt_befolkning","bosatt_per_1000","1.7"
"2013","15","promille","bosatt_befolkning","bosatt_per_1000","1.4"
"2013","16","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2013","17","promille","bosatt_befolkning","bosatt_per_1000","2.1"
"2013","18","promille","bosatt_befolkning","bosatt_per_1000","2.4"
"2013","19","promille","bosatt_befolkning","bosatt_per_1000","2.1"
"2013","20","promille","bosatt_befolkning","bosatt_per_1000","3"
"2013","99","promille","bosatt_befolkning","bosatt_per_1000","."
"2014","00","promille","bosatt_befolkning","bosatt_per_1000","1.5"
"2014","01","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2014","02","promille","bosatt_befolkning","bosatt_per_1000","1"
"2014","03","promille","bosatt_befolkning","bosatt_per_1000","0.8"
"2014","04","promille","bosatt_befolkning","bosatt_per_1000","1.5"
"2014","05","promille","bosatt_befolkning","bosatt_per_1000","2"
"2014","06","promille","bosatt_befolkning","bosatt_per_1000","1.5"
"2014","07","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2014","08","promille","bosatt_befolkning","bosatt_per_1000","2.3"
"2014","09","promille","bosatt_befolkning","bosatt_per_1000","2.4"
"2014","10","promille","bosatt_befolkning","bosatt_per_1000","2.6"
"2014","11","promille","bosatt_befolkning","bosatt_per_1000","1.2"
"2014","12","promille","bosatt_befolkning","bosatt_per_1000","1.3"
"2014","14","promille","bosatt_befolkning","bosatt_per_1000","2.1"
"2014","15","promille","bosatt_befolkning","bosatt_per_1000","1.7"
"2014","16","promille","bosatt_befolkning","bosatt_per_1000","1.6"
"2014","17","promille","bosatt_befolkning","bosatt_per_1000","2.5"
"2014","18","promille","bosatt_befolkning","bosatt_per_1000","2.5"
"2014","19","promille","bosatt_befolkning","bosatt_per_1000","2.1"
"2014","20","promille","bosatt_befolkning","bosatt_per_1000","3.3"
"2014","99","promille","bosatt_befolkning","bosatt_per_1000","."
