"aar","bydel_nr","enhet","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr","vreg_9","tabellvariabel"
2014,"000301","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","22739"
2014,"030101","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","3014"
2014,"030102","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","2278"
2014,"030103","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","1759"
2014,"030104","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","1022"
2014,"030105","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","797"
2014,"030106","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","306"
2014,"030107","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","471"
2014,"030108","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","1019"
2014,"030109","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","1481"
2014,"030110","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","1777"
2014,"030111","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","1684"
2014,"030112","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","2661"
2014,"030113","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","1298"
2014,"030114","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","734"
2014,"030115","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","1982"
2014,"030116","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","41"
2014,"030117","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","0"
2014,"030199","personer","befolkning_verdensregion_9","NULL","NULL","NULL","afrika","414"
2014,"NULL","personer","befolkning_verdensregion_9","00","NULL","NULL","afrika","74171"
2014,"NULL","personer","befolkning_verdensregion_9","01","NULL","NULL","afrika","3458"
2014,"NULL","personer","befolkning_verdensregion_9","02","NULL","NULL","afrika","6232"
2014,"NULL","personer","befolkning_verdensregion_9","03","NULL","NULL","afrika","22739"
2014,"NULL","personer","befolkning_verdensregion_9","04","NULL","NULL","afrika","2166"
2014,"NULL","personer","befolkning_verdensregion_9","05","NULL","NULL","afrika","2161"
2014,"NULL","personer","befolkning_verdensregion_9","06","NULL","NULL","afrika","3318"
2014,"NULL","personer","befolkning_verdensregion_9","07","NULL","NULL","afrika","2045"
2014,"NULL","personer","befolkning_verdensregion_9","08","NULL","NULL","afrika","2610"
2014,"NULL","personer","befolkning_verdensregion_9","09","NULL","NULL","afrika","1039"
2014,"NULL","personer","befolkning_verdensregion_9","10","NULL","NULL","afrika","2127"
2014,"NULL","personer","befolkning_verdensregion_9","11","NULL","NULL","afrika","5279"
2014,"NULL","personer","befolkning_verdensregion_9","12","NULL","NULL","afrika","6090"
2014,"NULL","personer","befolkning_verdensregion_9","14","NULL","NULL","afrika","1273"
2014,"NULL","personer","befolkning_verdensregion_9","15","NULL","NULL","afrika","2239"
2014,"NULL","personer","befolkning_verdensregion_9","16","NULL","NULL","afrika","3170"
2014,"NULL","personer","befolkning_verdensregion_9","17","NULL","NULL","afrika","1618"
2014,"NULL","personer","befolkning_verdensregion_9","18","NULL","NULL","afrika","3327"
2014,"NULL","personer","befolkning_verdensregion_9","19","NULL","NULL","afrika","2402"
2014,"NULL","personer","befolkning_verdensregion_9","20","NULL","NULL","afrika","878"
2014,"NULL","personer","befolkning_verdensregion_9","99","NULL","NULL","afrika","."
2014,"NULL","personer","befolkning_verdensregion_9","NULL","01","NULL","afrika","397"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","02","NULL","afrika","513"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","03","NULL","afrika","713"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","04","NULL","afrika","1835"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","05","NULL","afrika","2220"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","06","NULL","afrika","1685"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","07","NULL","afrika","1711"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","08","NULL","afrika","616"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","09","NULL","afrika","22739"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","10","NULL","afrika","162"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","11","NULL","afrika","381"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","12","NULL","afrika","1061"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","13","NULL","afrika","562"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","14","NULL","afrika","788"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","15","NULL","afrika","366"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","16","NULL","afrika","446"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","17","NULL","afrika","96"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","18","NULL","afrika","249"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","19","NULL","afrika","216"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","20","NULL","afrika","2396"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","21","NULL","afrika","264"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","22","NULL","afrika","414"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","23","NULL","afrika","123"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","24","NULL","afrika","213"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","25","NULL","afrika","1103"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","26","NULL","afrika","850"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","27","NULL","afrika","1950"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","28","NULL","afrika","249"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","29","NULL","afrika","290"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","30","NULL","afrika","121"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","31","NULL","afrika","49"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","32","NULL","afrika","878"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","33","NULL","afrika","258"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","34","NULL","afrika","245"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","35","NULL","afrika","1736"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","36","NULL","afrika","128"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","37","NULL","afrika","787"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","38","NULL","afrika","301"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","39","NULL","afrika","4063"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","40","NULL","afrika","4385"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","41","NULL","afrika","90"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","42","NULL","afrika","299"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","43","NULL","afrika","151"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","44","NULL","afrika","192"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","45","NULL","afrika","76"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","46","NULL","afrika","410"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","47","NULL","afrika","487"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","48","NULL","afrika","47"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","49","NULL","afrika","334"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","50","NULL","afrika","464"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","51","NULL","afrika","428"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","52","NULL","afrika","659"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","53","NULL","afrika","525"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","54","NULL","afrika","94"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","55","NULL","afrika","520"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","56","NULL","afrika","441"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","57","NULL","afrika","61"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","58","NULL","afrika","83"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","59","NULL","afrika","84"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","60","NULL","afrika","181"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","61","NULL","afrika","2742"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","62","NULL","afrika","38"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","63","NULL","afrika","304"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","64","NULL","afrika","732"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","65","NULL","afrika","97"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","66","NULL","afrika","148"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","67","NULL","afrika","318"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","68","NULL","afrika","109"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","69","NULL","afrika","267"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","70","NULL","afrika","5"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","71","NULL","afrika","188"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","72","NULL","afrika","377"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","73","NULL","afrika","1069"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","74","NULL","afrika","397"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","75","NULL","afrika","347"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","76","NULL","afrika","568"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","77","NULL","afrika","591"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","78","NULL","afrika","493"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","79","NULL","afrika","1165"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","80","NULL","afrika","153"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","81","NULL","afrika","393"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","82","NULL","afrika","43"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","83","NULL","afrika","442"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0101","afrika","397"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0104","afrika","594"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0105","afrika","631"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0106","afrika","1179"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0111","afrika","25"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0118","afrika","0"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0119","afrika","25"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0121","afrika","0"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0122","afrika","31"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0123","afrika","53"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0124","afrika","132"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0125","afrika","130"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0127","afrika","11"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0128","afrika","91"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0135","afrika","42"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0136","afrika","57"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0137","afrika","20"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0138","afrika","39"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0211","afrika","221"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0213","afrika","371"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0214","afrika","435"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0215","afrika","105"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0216","afrika","150"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0217","afrika","321"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0219","afrika","1428"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0220","afrika","792"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0221","afrika","64"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0226","afrika","82"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0227","afrika","84"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0228","afrika","228"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0229","afrika","82"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0230","afrika","492"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0231","afrika","656"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0233","afrika","105"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0234","afrika","31"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0235","afrika","220"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0236","afrika","134"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0237","afrika","144"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0238","afrika","76"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0239","afrika","11"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0301","afrika","22739"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0402","afrika","204"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0403","afrika","529"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0412","afrika","196"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0415","afrika","65"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0417","afrika","271"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0418","afrika","6"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0419","afrika","37"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0420","afrika","29"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0423","afrika","26"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0425","afrika","77"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0426","afrika","3"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0427","afrika","312"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0428","afrika","53"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0429","afrika","16"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0430","afrika","164"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0432","afrika","0"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0434","afrika","17"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0436","afrika","43"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0437","afrika","70"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0438","afrika","32"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0439","afrika","11"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0441","afrika","5"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0501","afrika","337"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0502","afrika","388"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0511","afrika","37"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0512","afrika","7"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0513","afrika","27"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0514","afrika","22"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0515","afrika","32"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0516","afrika","43"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0517","afrika","124"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0519","afrika","7"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0520","afrika","46"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0521","afrika","70"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0522","afrika","39"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0528","afrika","120"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0529","afrika","131"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0532","afrika","29"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0533","afrika","147"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0534","afrika","190"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0536","afrika","99"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0538","afrika","50"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0540","afrika","11"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0541","afrika","85"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0542","afrika","49"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0543","afrika","23"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0544","afrika","10"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0545","afrika","38"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0602","afrika","1403"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0604","afrika","295"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0605","afrika","204"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0612","afrika","9"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0615","afrika","0"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0616","afrika","77"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0617","afrika","73"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0618","afrika","24"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0619","afrika","57"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0620","afrika","32"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0621","afrika","0"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0622","afrika","3"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0623","afrika","120"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0624","afrika","149"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0625","afrika","216"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0626","afrika","334"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0627","afrika","103"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0628","afrika","99"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0631","afrika","55"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0632","afrika","26"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0633","afrika","38"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0701","afrika","384"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0702","afrika","61"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0704","afrika","382"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0706","afrika","366"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0709","afrika","472"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0711","afrika","21"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0713","afrika","71"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0714","afrika","6"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0716","afrika","30"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0719","afrika","13"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0720","afrika","103"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0722","afrika","106"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0723","afrika","18"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0728","afrika","12"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0805","afrika","428"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0806","afrika","1121"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0807","afrika","179"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0811","afrika","35"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0814","afrika","175"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0815","afrika","146"
2014,"NULL","personer","befolkning_verdensregion_9","NULL","NULL","0817","afrika","45"
