"tabell_navn","aar","bydel_nr","innvgrunn_6","kjonn","enhet","tabellvariabel"
"befolkning_innvandringsgrunn",2015,"030101","alle","alle","person",14923
"befolkning_innvandringsgrunn",2015,"030101","arbeid","alle","person",2779
"befolkning_innvandringsgrunn",2015,"030101","flukt","alle","person",4118
"befolkning_innvandringsgrunn",2015,"030101","familie","alle","person",2876
"befolkning_innvandringsgrunn",2015,"030101","annet","alle","person",669
"befolkning_innvandringsgrunn",2015,"030101","uoppgitt","alle","person",4481
"befolkning_innvandringsgrunn",2015,"030101","alle","1","person",8197
"befolkning_innvandringsgrunn",2015,"030101","arbeid","1","person",2008
"befolkning_innvandringsgrunn",2015,"030101","flukt","1","person",2139
"befolkning_innvandringsgrunn",2015,"030101","familie","1","person",1158
"befolkning_innvandringsgrunn",2015,"030101","annet","1","person",284
"befolkning_innvandringsgrunn",2015,"030101","uoppgitt","1","person",2608
"befolkning_innvandringsgrunn",2015,"030101","alle","0","person",6726
"befolkning_innvandringsgrunn",2015,"030101","arbeid","0","person",771
"befolkning_innvandringsgrunn",2015,"030101","flukt","0","person",1979
"befolkning_innvandringsgrunn",2015,"030101","familie","0","person",1718
"befolkning_innvandringsgrunn",2015,"030101","annet","0","person",385
"befolkning_innvandringsgrunn",2015,"030101","uoppgitt","0","person",1873
"befolkning_innvandringsgrunn",2015,"030102","alle","alle","person",15741
"befolkning_innvandringsgrunn",2015,"030102","arbeid","alle","person",3845
"befolkning_innvandringsgrunn",2015,"030102","flukt","alle","person",3158
"befolkning_innvandringsgrunn",2015,"030102","familie","alle","person",2989
"befolkning_innvandringsgrunn",2015,"030102","annet","alle","person",931
"befolkning_innvandringsgrunn",2015,"030102","uoppgitt","alle","person",4818
"befolkning_innvandringsgrunn",2015,"030102","alle","1","person",8810
"befolkning_innvandringsgrunn",2015,"030102","arbeid","1","person",2744
"befolkning_innvandringsgrunn",2015,"030102","flukt","1","person",1723
"befolkning_innvandringsgrunn",2015,"030102","familie","1","person",1228
"befolkning_innvandringsgrunn",2015,"030102","annet","1","person",395
"befolkning_innvandringsgrunn",2015,"030102","uoppgitt","1","person",2720
"befolkning_innvandringsgrunn",2015,"030102","alle","0","person",6931
"befolkning_innvandringsgrunn",2015,"030102","arbeid","0","person",1101
"befolkning_innvandringsgrunn",2015,"030102","flukt","0","person",1435
"befolkning_innvandringsgrunn",2015,"030102","familie","0","person",1761
"befolkning_innvandringsgrunn",2015,"030102","annet","0","person",536
"befolkning_innvandringsgrunn",2015,"030102","uoppgitt","0","person",2098
"befolkning_innvandringsgrunn",2015,"030103","alle","alle","person",8159
"befolkning_innvandringsgrunn",2015,"030103","arbeid","alle","person",1644
"befolkning_innvandringsgrunn",2015,"030103","flukt","alle","person",1817
"befolkning_innvandringsgrunn",2015,"030103","familie","alle","person",1468
"befolkning_innvandringsgrunn",2015,"030103","annet","alle","person",530
"befolkning_innvandringsgrunn",2015,"030103","uoppgitt","alle","person",2700
"befolkning_innvandringsgrunn",2015,"030103","alle","1","person",4326
"befolkning_innvandringsgrunn",2015,"030103","arbeid","1","person",1127
"befolkning_innvandringsgrunn",2015,"030103","flukt","1","person",908
"befolkning_innvandringsgrunn",2015,"030103","familie","1","person",566
"befolkning_innvandringsgrunn",2015,"030103","annet","1","person",214
"befolkning_innvandringsgrunn",2015,"030103","uoppgitt","1","person",1511
"befolkning_innvandringsgrunn",2015,"030103","alle","0","person",3833
"befolkning_innvandringsgrunn",2015,"030103","arbeid","0","person",517
"befolkning_innvandringsgrunn",2015,"030103","flukt","0","person",909
"befolkning_innvandringsgrunn",2015,"030103","familie","0","person",902
"befolkning_innvandringsgrunn",2015,"030103","annet","0","person",316
"befolkning_innvandringsgrunn",2015,"030103","uoppgitt","0","person",1189
"befolkning_innvandringsgrunn",2015,"030104","alle","alle","person",8594
"befolkning_innvandringsgrunn",2015,"030104","arbeid","alle","person",2421
"befolkning_innvandringsgrunn",2015,"030104","flukt","alle","person",1145
"befolkning_innvandringsgrunn",2015,"030104","familie","alle","person",1397
"befolkning_innvandringsgrunn",2015,"030104","annet","alle","person",682
"befolkning_innvandringsgrunn",2015,"030104","uoppgitt","alle","person",2949
"befolkning_innvandringsgrunn",2015,"030104","alle","1","person",4738
"befolkning_innvandringsgrunn",2015,"030104","arbeid","1","person",1711
"befolkning_innvandringsgrunn",2015,"030104","flukt","1","person",647
"befolkning_innvandringsgrunn",2015,"030104","familie","1","person",561
"befolkning_innvandringsgrunn",2015,"030104","annet","1","person",268
"befolkning_innvandringsgrunn",2015,"030104","uoppgitt","1","person",1551
"befolkning_innvandringsgrunn",2015,"030104","alle","0","person",3856
"befolkning_innvandringsgrunn",2015,"030104","arbeid","0","person",710
"befolkning_innvandringsgrunn",2015,"030104","flukt","0","person",498
"befolkning_innvandringsgrunn",2015,"030104","familie","0","person",836
"befolkning_innvandringsgrunn",2015,"030104","annet","0","person",414
"befolkning_innvandringsgrunn",2015,"030104","uoppgitt","0","person",1398
"befolkning_innvandringsgrunn",2015,"030105","alle","alle","person",14010
"befolkning_innvandringsgrunn",2015,"030105","arbeid","alle","person",4012
"befolkning_innvandringsgrunn",2015,"030105","flukt","alle","person",1204
"befolkning_innvandringsgrunn",2015,"030105","familie","alle","person",2584
"befolkning_innvandringsgrunn",2015,"030105","annet","alle","person",923
"befolkning_innvandringsgrunn",2015,"030105","uoppgitt","alle","person",5287
"befolkning_innvandringsgrunn",2015,"030105","alle","1","person",7142
"befolkning_innvandringsgrunn",2015,"030105","arbeid","1","person",2767
"befolkning_innvandringsgrunn",2015,"030105","flukt","1","person",615
"befolkning_innvandringsgrunn",2015,"030105","familie","1","person",861
