"fylke_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"00","alle","alle","prosent","2012","7.9","vedvarende_lavinntekt"
"01","alle","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"02","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"03","alle","alle","prosent","2012","12.9","vedvarende_lavinntekt"
"04","alle","alle","prosent","2012","8.9","vedvarende_lavinntekt"
"05","alle","alle","prosent","2012","8.5","vedvarende_lavinntekt"
"06","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"07","alle","alle","prosent","2012","8.3","vedvarende_lavinntekt"
"08","alle","alle","prosent","2012","8.8","vedvarende_lavinntekt"
"09","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"10","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"11","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"12","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"14","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"15","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"16","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"17","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"18","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"19","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"20","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"00","innvandrere","1","prosent","2012","18.1","vedvarende_lavinntekt"
"01","innvandrere","1","prosent","2012","19.8","vedvarende_lavinntekt"
"02","innvandrere","1","prosent","2012","15.8","vedvarende_lavinntekt"
"03","innvandrere","1","prosent","2012","19.3","vedvarende_lavinntekt"
"04","innvandrere","1","prosent","2012","21.6","vedvarende_lavinntekt"
"05","innvandrere","1","prosent","2012","24.5","vedvarende_lavinntekt"
"06","innvandrere","1","prosent","2012","18.1","vedvarende_lavinntekt"
"07","innvandrere","1","prosent","2012","19.6","vedvarende_lavinntekt"
"08","innvandrere","1","prosent","2012","21.4","vedvarende_lavinntekt"
"09","innvandrere","1","prosent","2012","23.4","vedvarende_lavinntekt"
"10","innvandrere","1","prosent","2012","18.6","vedvarende_lavinntekt"
"11","innvandrere","1","prosent","2012","13.9","vedvarende_lavinntekt"
"12","innvandrere","1","prosent","2012","17.8","vedvarende_lavinntekt"
"14","innvandrere","1","prosent","2012","16.8","vedvarende_lavinntekt"
"15","innvandrere","1","prosent","2012","19.6","vedvarende_lavinntekt"
"16","innvandrere","1","prosent","2012","18.6","vedvarende_lavinntekt"
"17","innvandrere","1","prosent","2012","20.8","vedvarende_lavinntekt"
"18","innvandrere","1","prosent","2012","17.7","vedvarende_lavinntekt"
"19","innvandrere","1","prosent","2012","17.5","vedvarende_lavinntekt"
"20","innvandrere","1","prosent","2012","13.8","vedvarende_lavinntekt"
"00","innvandrere","2","prosent","2012","29.1","vedvarende_lavinntekt"
"01","innvandrere","2","prosent","2012","35.5","vedvarende_lavinntekt"
"02","innvandrere","2","prosent","2012","21.1","vedvarende_lavinntekt"
"03","innvandrere","2","prosent","2012","29.8","vedvarende_lavinntekt"
"04","innvandrere","2","prosent","2012","37.0","vedvarende_lavinntekt"
"05","innvandrere","2","prosent","2012","36.4","vedvarende_lavinntekt"
"06","innvandrere","2","prosent","2012","29.0","vedvarende_lavinntekt"
"07","innvandrere","2","prosent","2012","33.8","vedvarende_lavinntekt"
"08","innvandrere","2","prosent","2012","36.9","vedvarende_lavinntekt"
"09","innvandrere","2","prosent","2012","35.6","vedvarende_lavinntekt"
"10","innvandrere","2","prosent","2012","30.4","vedvarende_lavinntekt"
"11","innvandrere","2","prosent","2012","22.0","vedvarende_lavinntekt"
"12","innvandrere","2","prosent","2012","28.2","vedvarende_lavinntekt"
"14","innvandrere","2","prosent","2012","26.3","vedvarende_lavinntekt"
"15","innvandrere","2","prosent","2012","26.2","vedvarende_lavinntekt"
"16","innvandrere","2","prosent","2012","30.9","vedvarende_lavinntekt"
"17","innvandrere","2","prosent","2012","41.3","vedvarende_lavinntekt"
"18","innvandrere","2","prosent","2012","32.0","vedvarende_lavinntekt"
"19","innvandrere","2","prosent","2012","31.0","vedvarende_lavinntekt"
"20","innvandrere","2","prosent","2012","20.0","vedvarende_lavinntekt"
"00","innvandrere","alle","prosent","2012","24.3","vedvarende_lavinntekt"
"01","innvandrere","alle","prosent","2012","29.2","vedvarende_lavinntekt"
"02","innvandrere","alle","prosent","2012","18.6","vedvarende_lavinntekt"
"03","innvandrere","alle","prosent","2012","26.5","vedvarende_lavinntekt"
"04","innvandrere","alle","prosent","2012","29.4","vedvarende_lavinntekt"
"05","innvandrere","alle","prosent","2012","30.6","vedvarende_lavinntekt"
"06","innvandrere","alle","prosent","2012","24.1","vedvarende_lavinntekt"
"07","innvandrere","alle","prosent","2012","26.8","vedvarende_lavinntekt"
"08","innvandrere","alle","prosent","2012","30.5","vedvarende_lavinntekt"
"09","innvandrere","alle","prosent","2012","29.3","vedvarende_lavinntekt"
"10","innvandrere","alle","prosent","2012","25.6","vedvarende_lavinntekt"
"11","innvandrere","alle","prosent","2012","17.8","vedvarende_lavinntekt"
"12","innvandrere","alle","prosent","2012","23.1","vedvarende_lavinntekt"
"14","innvandrere","alle","prosent","2012","20.3","vedvarende_lavinntekt"
"15","innvandrere","alle","prosent","2012","22.3","vedvarende_lavinntekt"
"16","innvandrere","alle","prosent","2012","25.4","vedvarende_lavinntekt"
"17","innvandrere","alle","prosent","2012","31.4","vedvarende_lavinntekt"
"18","innvandrere","alle","prosent","2012","25.7","vedvarende_lavinntekt"
"19","innvandrere","alle","prosent","2012","24.3","vedvarende_lavinntekt"
"20","innvandrere","alle","prosent","2012","17.0","vedvarende_lavinntekt"
"00","befolkningen_ellers","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"01","befolkningen_ellers","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"02","befolkningen_ellers","alle","prosent","2012","4.3","vedvarende_lavinntekt"
"03","befolkningen_ellers","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"04","befolkningen_ellers","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"05","befolkningen_ellers","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"06","befolkningen_ellers","alle","prosent","2012","6.1","vedvarende_lavinntekt"
"07","befolkningen_ellers","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"08","befolkningen_ellers","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"09","befolkningen_ellers","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"10","befolkningen_ellers","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"11","befolkningen_ellers","alle","prosent","2012","4.4","vedvarende_lavinntekt"
"12","befolkningen_ellers","alle","prosent","2012","5.5","vedvarende_lavinntekt"
"14","befolkningen_ellers","alle","prosent","2012","5.5","vedvarende_lavinntekt"
"15","befolkningen_ellers","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"16","befolkningen_ellers","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"17","befolkningen_ellers","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"18","befolkningen_ellers","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"19","befolkningen_ellers","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"20","befolkningen_ellers","alle","prosent","2012","5.5","vedvarende_lavinntekt"
