"fylke_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"01","anmodning","personer","2016","780","bosatt_anmodede"
"02","anmodning","personer","2016","1410","bosatt_anmodede"
"03","anmodning","personer","2016","1000","bosatt_anmodede"
"04","anmodning","personer","2016","760","bosatt_anmodede"
"05","anmodning","personer","2016","775","bosatt_anmodede"
"06","anmodning","personer","2016","1037","bosatt_anmodede"
"07","anmodning","personer","2016","740","bosatt_anmodede"
"08","anmodning","personer","2016","755","bosatt_anmodede"
"09","anmodning","personer","2016","580","bosatt_anmodede"
"10","anmodning","personer","2016","855","bosatt_anmodede"
"11","anmodning","personer","2016","1546","bosatt_anmodede"
"12","anmodning","personer","2016","1792","bosatt_anmodede"
"14","anmodning","personer","2016","685","bosatt_anmodede"
"15","anmodning","personer","2016","1078","bosatt_anmodede"
"16","anmodning","personer","2016","1193","bosatt_anmodede"
"17","anmodning","personer","2016","656","bosatt_anmodede"
"18","anmodning","personer","2016","1531","bosatt_anmodede"
"19","anmodning","personer","2016","741","bosatt_anmodede"
"20","anmodning","personer","2016","612","bosatt_anmodede"
"99","anmodning","personer","2016","0","bosatt_anmodede"
"00","anmodning","personer","2016","18526","bosatt_anmodede"
"01","vedtak","personer","2016","704","bosatt_anmodede"
"02","vedtak","personer","2016","1330","bosatt_anmodede"
"03","vedtak","personer","2016","1000","bosatt_anmodede"
"04","vedtak","personer","2016","596","bosatt_anmodede"
"05","vedtak","personer","2016","700","bosatt_anmodede"
"06","vedtak","personer","2016","819","bosatt_anmodede"
"07","vedtak","personer","2016","689","bosatt_anmodede"
"08","vedtak","personer","2016","717","bosatt_anmodede"
"09","vedtak","personer","2016","530","bosatt_anmodede"
"10","vedtak","personer","2016","768","bosatt_anmodede"
"11","vedtak","personer","2016","1321","bosatt_anmodede"
"12","vedtak","personer","2016","1554","bosatt_anmodede"
"14","vedtak","personer","2016","566","bosatt_anmodede"
"15","vedtak","personer","2016","833","bosatt_anmodede"
"16","vedtak","personer","2016","1107","bosatt_anmodede"
"17","vedtak","personer","2016","536","bosatt_anmodede"
"18","vedtak","personer","2016","976","bosatt_anmodede"
"19","vedtak","personer","2016","658","bosatt_anmodede"
"20","vedtak","personer","2016","449","bosatt_anmodede"
"99","vedtak","personer","2016","0","bosatt_anmodede"
"00","vedtak","personer","2016","15853","bosatt_anmodede"
"01","bosatt","personer","2016",".","bosatt_anmodede"
"02","bosatt","personer","2016",".","bosatt_anmodede"
"03","bosatt","personer","2016",".","bosatt_anmodede"
"04","bosatt","personer","2016",".","bosatt_anmodede"
"05","bosatt","personer","2016",".","bosatt_anmodede"
"06","bosatt","personer","2016",".","bosatt_anmodede"
"07","bosatt","personer","2016",".","bosatt_anmodede"
"08","bosatt","personer","2016",".","bosatt_anmodede"
"09","bosatt","personer","2016",".","bosatt_anmodede"
"10","bosatt","personer","2016",".","bosatt_anmodede"
"11","bosatt","personer","2016",".","bosatt_anmodede"
"12","bosatt","personer","2016",".","bosatt_anmodede"
"14","bosatt","personer","2016",".","bosatt_anmodede"
"15","bosatt","personer","2016",".","bosatt_anmodede"
"16","bosatt","personer","2016",".","bosatt_anmodede"
"17","bosatt","personer","2016",".","bosatt_anmodede"
"18","bosatt","personer","2016",".","bosatt_anmodede"
"19","bosatt","personer","2016",".","bosatt_anmodede"
"20","bosatt","personer","2016",".","bosatt_anmodede"
"99","bosatt","personer","2016",".","bosatt_anmodede"
"00","bosatt","personer","2016",".","bosatt_anmodede"
"01","anmodning","prosent","2016","100","bosatt_anmodede"
"02","anmodning","prosent","2016","100","bosatt_anmodede"
"03","anmodning","prosent","2016","100","bosatt_anmodede"
"04","anmodning","prosent","2016","100","bosatt_anmodede"
"05","anmodning","prosent","2016","100","bosatt_anmodede"
"06","anmodning","prosent","2016","100","bosatt_anmodede"
"07","anmodning","prosent","2016","100","bosatt_anmodede"
"08","anmodning","prosent","2016","100","bosatt_anmodede"
"09","anmodning","prosent","2016","100","bosatt_anmodede"
"10","anmodning","prosent","2016","100","bosatt_anmodede"
"11","anmodning","prosent","2016","100","bosatt_anmodede"
"12","anmodning","prosent","2016","100","bosatt_anmodede"
"14","anmodning","prosent","2016","100","bosatt_anmodede"
"15","anmodning","prosent","2016","100","bosatt_anmodede"
"16","anmodning","prosent","2016","100","bosatt_anmodede"
"17","anmodning","prosent","2016","100","bosatt_anmodede"
"18","anmodning","prosent","2016","100","bosatt_anmodede"
"19","anmodning","prosent","2016","100","bosatt_anmodede"
"20","anmodning","prosent","2016","100","bosatt_anmodede"
"99","anmodning","prosent","2016",".","bosatt_anmodede"
"00","anmodning","prosent","2016","100","bosatt_anmodede"
"01","vedtak","prosent","2016","90.2564102564103","bosatt_anmodede"
