"aar","fylke_nr","innvkat_5","kjonn","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr","bydel_nr"
"2011","00","alle","0","personer","22683","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","alle","0","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","alle","1","personer","20803","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","alle","1","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","alle","alle","personer","43486","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","alle","alle","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","innvandrere","0","personer","921","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","innvandrere","0","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","innvandrere","1","personer","691","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","innvandrere","1","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","innvandrere","alle","personer","1612","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","innvandrere","alle","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","befolkningen_ellers","0","personer","21762","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","befolkningen_ellers","0","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","befolkningen_ellers","1","personer","20112","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","befolkningen_ellers","1","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","befolkningen_ellers","alle","personer","41874","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","befolkningen_ellers","alle","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","norskfodte_m_innvf","0","personer","645","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","norskfodte_m_innvf","0","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","norskfodte_m_innvf","1","personer","530","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","norskfodte_m_innvf","1","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","norskfodte_m_innvf","alle","personer","1175","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","norskfodte_m_innvf","alle","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","bef_u_innv_og_norskf","0","personer","21117","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","bef_u_innv_og_norskf","0","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","bef_u_innv_og_norskf","1","personer","19582","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","bef_u_innv_og_norskf","1","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","bef_u_innv_og_norskf","alle","personer","40699","videregaende_fullfort","NULL","NULL","NULL"
"2011","00","bef_u_innv_og_norskf","alle","prosent",".","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","alle","0","personer","1226","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","alle","0","prosent","71.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","alle","1","personer","1055","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","alle","1","prosent","61.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","alle","alle","personer","2281","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","alle","alle","prosent","66.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","innvandrere","0","personer","71","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","innvandrere","0","prosent","68.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","innvandrere","1","personer","39","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","innvandrere","1","prosent","39","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","innvandrere","alle","personer","110","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","innvandrere","alle","prosent","53.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","befolkningen_ellers","0","personer","1155","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","befolkningen_ellers","0","prosent","71.4","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","befolkningen_ellers","1","personer","1016","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","befolkningen_ellers","1","prosent","62.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","befolkningen_ellers","alle","personer","2171","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","befolkningen_ellers","alle","prosent","67","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","norskfodte_m_innvf","0","personer","28","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","norskfodte_m_innvf","0","prosent","70","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","norskfodte_m_innvf","1","personer","26","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","norskfodte_m_innvf","1","prosent","59.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","norskfodte_m_innvf","alle","personer","54","videregaende_fullfort","NULL","NULL","NULL"
