"tabell_navn","aar","naringsregion_nr","kjonn","innvkat_5","enhet","tabellvariabel"
"grunnskolepoeng","2015","01","alle","alle","grunnskolepoeng","39"
"grunnskolepoeng","2015","01","alle","alle","personer","350"
"grunnskolepoeng","2015","01","alle","bef_u_innv_og_norskf","grunnskolepoeng","39,8"
"grunnskolepoeng","2015","01","alle","bef_u_innv_og_norskf","personer","294"
"grunnskolepoeng","2015","01","alle","befolkningen_ellers","grunnskolepoeng","39,4"
"grunnskolepoeng","2015","01","alle","befolkningen_ellers","personer","315"
"grunnskolepoeng","2015","01","alle","innvandrere","grunnskolepoeng","34,2"
"grunnskolepoeng","2015","01","alle","innvandrere","personer","35"
"grunnskolepoeng","2015","01","alle","norskfodte_m_innvf","grunnskolepoeng","35,8"
"grunnskolepoeng","2015","01","alle","norskfodte_m_innvf","personer","21"
"grunnskolepoeng","2015","01","1","alle","grunnskolepoeng","36,6"
"grunnskolepoeng","2015","01","1","alle","personer","183"
"grunnskolepoeng","2015","01","1","bef_u_innv_og_norskf","grunnskolepoeng","37,4"
"grunnskolepoeng","2015","01","1","bef_u_innv_og_norskf","personer","155"
"grunnskolepoeng","2015","01","1","befolkningen_ellers","grunnskolepoeng","37,2"
"grunnskolepoeng","2015","01","1","befolkningen_ellers","personer","163"
"grunnskolepoeng","2015","01","1","innvandrere","grunnskolepoeng","32"
"grunnskolepoeng","2015","01","1","innvandrere","personer","20"
"grunnskolepoeng","2015","01","1","norskfodte_m_innvf","grunnskolepoeng","32,4"
"grunnskolepoeng","2015","01","1","norskfodte_m_innvf","personer","8"
"grunnskolepoeng","2015","01","0","alle","grunnskolepoeng","41,6"
"grunnskolepoeng","2015","01","0","alle","personer","167"
"grunnskolepoeng","2015","01","0","bef_u_innv_og_norskf","grunnskolepoeng","42,4"
"grunnskolepoeng","2015","01","0","bef_u_innv_og_norskf","personer","139"
"grunnskolepoeng","2015","01","0","befolkningen_ellers","grunnskolepoeng","42"
"grunnskolepoeng","2015","01","0","befolkningen_ellers","personer","152"
"grunnskolepoeng","2015","01","0","innvandrere","grunnskolepoeng","37,4"
