"fylke_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"00","alle","1_5","personer",284783,"2013","barnehagedeltakelse"
"01","alle","1_5","personer",14273,"2013","barnehagedeltakelse"
"02","alle","1_5","personer",34894,"2013","barnehagedeltakelse"
"03","alle","1_5","personer",36005,"2013","barnehagedeltakelse"
"04","alle","1_5","personer",9164,"2013","barnehagedeltakelse"
"05","alle","1_5","personer",8852,"2013","barnehagedeltakelse"
"06","alle","1_5","personer",14567,"2013","barnehagedeltakelse"
"07","alle","1_5","personer",12285,"2013","barnehagedeltakelse"
"08","alle","1_5","personer",8365,"2013","barnehagedeltakelse"
"09","alle","1_5","personer",6423,"2013","barnehagedeltakelse"
"10","alle","1_5","personer",10385,"2013","barnehagedeltakelse"
"11","alle","1_5","personer",29271,"2013","barnehagedeltakelse"
"12","alle","1_5","personer",29640,"2013","barnehagedeltakelse"
"14","alle","1_5","personer",5928,"2013","barnehagedeltakelse"
"15","alle","1_5","personer",14396,"2013","barnehagedeltakelse"
"16","alle","1_5","personer",17641,"2013","barnehagedeltakelse"
"17","alle","1_5","personer",7567,"2013","barnehagedeltakelse"
"18","alle","1_5","personer",12355,"2013","barnehagedeltakelse"
"19","alle","1_5","personer",8898,"2013","barnehagedeltakelse"
"20","alle","1_5","personer",3874,"2013","barnehagedeltakelse"
"00","alle","1","personer",42324,"2013","barnehagedeltakelse"
"01","alle","1","personer",1905,"2013","barnehagedeltakelse"
"02","alle","1","personer",5161,"2013","barnehagedeltakelse"
"03","alle","1","personer",5871,"2013","barnehagedeltakelse"
"04","alle","1","personer",1348,"2013","barnehagedeltakelse"
"05","alle","1","personer",1273,"2013","barnehagedeltakelse"
"06","alle","1","personer",2101,"2013","barnehagedeltakelse"
"07","alle","1","personer",1681,"2013","barnehagedeltakelse"
"08","alle","1","personer",1217,"2013","barnehagedeltakelse"
"09","alle","1","personer",900,"2013","barnehagedeltakelse"
"10","alle","1","personer",1363,"2013","barnehagedeltakelse"
"11","alle","1","personer",4184,"2013","barnehagedeltakelse"
"12","alle","1","personer",4483,"2013","barnehagedeltakelse"
"14","alle","1","personer",833,"2013","barnehagedeltakelse"
"15","alle","1","personer",2176,"2013","barnehagedeltakelse"
"16","alle","1","personer",2788,"2013","barnehagedeltakelse"
"17","alle","1","personer",1144,"2013","barnehagedeltakelse"
"18","alle","1","personer",1916,"2013","barnehagedeltakelse"
"19","alle","1","personer",1374,"2013","barnehagedeltakelse"
"20","alle","1","personer",606,"2013","barnehagedeltakelse"
"00","alle","2","personer",56334,"2013","barnehagedeltakelse"
"01","alle","2","personer",2724,"2013","barnehagedeltakelse"
"02","alle","2","personer",6667,"2013","barnehagedeltakelse"
"03","alle","2","personer",7487,"2013","barnehagedeltakelse"
"04","alle","2","personer",1747,"2013","barnehagedeltakelse"
"05","alle","2","personer",1669,"2013","barnehagedeltakelse"
"06","alle","2","personer",2847,"2013","barnehagedeltakelse"
"07","alle","2","personer",2405,"2013","barnehagedeltakelse"
"08","alle","2","personer",1657,"2013","barnehagedeltakelse"
"09","alle","2","personer",1264,"2013","barnehagedeltakelse"
"10","alle","2","personer",2012,"2013","barnehagedeltakelse"
"11","alle","2","personer",5874,"2013","barnehagedeltakelse"
"12","alle","2","personer",5886,"2013","barnehagedeltakelse"
"14","alle","2","personer",1236,"2013","barnehagedeltakelse"
"15","alle","2","personer",2889,"2013","barnehagedeltakelse"
"16","alle","2","personer",3578,"2013","barnehagedeltakelse"
"17","alle","2","personer",1494,"2013","barnehagedeltakelse"
"18","alle","2","personer",2430,"2013","barnehagedeltakelse"
"19","alle","2","personer",1715,"2013","barnehagedeltakelse"
"20","alle","2","personer",753,"2013","barnehagedeltakelse"
"00","alle","3","personer",60921,"2013","barnehagedeltakelse"
"01","alle","3","personer",3029,"2013","barnehagedeltakelse"
"02","alle","3","personer",7444,"2013","barnehagedeltakelse"
"03","alle","3","personer",7587,"2013","barnehagedeltakelse"
"04","alle","3","personer",1932,"2013","barnehagedeltakelse"
"05","alle","3","personer",1936,"2013","barnehagedeltakelse"
"06","alle","3","personer",3083,"2013","barnehagedeltakelse"
"07","alle","3","personer",2679,"2013","barnehagedeltakelse"
"08","alle","3","personer",1826,"2013","barnehagedeltakelse"
"09","alle","3","personer",1390,"2013","barnehagedeltakelse"
"10","alle","3","personer",2227,"2013","barnehagedeltakelse"
"11","alle","3","personer",6507,"2013","barnehagedeltakelse"
"12","alle","3","personer",6341,"2013","barnehagedeltakelse"
"14","alle","3","personer",1278,"2013","barnehagedeltakelse"
"15","alle","3","personer",2975,"2013","barnehagedeltakelse"
"16","alle","3","personer",3813,"2013","barnehagedeltakelse"
"17","alle","3","personer",1585,"2013","barnehagedeltakelse"
"18","alle","3","personer",2566,"2013","barnehagedeltakelse"
"19","alle","3","personer",1925,"2013","barnehagedeltakelse"
"20","alle","3","personer",798,"2013","barnehagedeltakelse"
"00","alle","4","personer",62958,"2013","barnehagedeltakelse"
"01","alle","4","personer",3393,"2013","barnehagedeltakelse"
"02","alle","4","personer",7805,"2013","barnehagedeltakelse"
"03","alle","4","personer",7693,"2013","barnehagedeltakelse"
"04","alle","4","personer",2100,"2013","barnehagedeltakelse"
"05","alle","4","personer",1934,"2013","barnehagedeltakelse"
"06","alle","4","personer",3201,"2013","barnehagedeltakelse"
"07","alle","4","personer",2730,"2013","barnehagedeltakelse"
"08","alle","4","personer",1794,"2013","barnehagedeltakelse"
"09","alle","4","personer",1452,"2013","barnehagedeltakelse"
"10","alle","4","personer",2436,"2013","barnehagedeltakelse"
"11","alle","4","personer",6423,"2013","barnehagedeltakelse"
"12","alle","4","personer",6525,"2013","barnehagedeltakelse"
"14","alle","4","personer",1274,"2013","barnehagedeltakelse"
"15","alle","4","personer",3263,"2013","barnehagedeltakelse"
"16","alle","4","personer",3754,"2013","barnehagedeltakelse"
"17","alle","4","personer",1670,"2013","barnehagedeltakelse"
"18","alle","4","personer",2712,"2013","barnehagedeltakelse"
