"aar","naringsregion_nr","innvkat_3","vreg_3","tabellvariabel","tabell_navn","enhet"
"2006","01","alle","alle","433","arbledige_innvkat_land","personer"
"2006","01","befolkningen_ellers","alle","307","arbledige_innvkat_land","personer"
"2006","01","innvandrere","1","18","arbledige_innvkat_land","personer"
"2006","01","innvandrere","2","108","arbledige_innvkat_land","personer"
"2006","01","innvandrere","alle","126","arbledige_innvkat_land","personer"
"2006","02","alle","alle","700","arbledige_innvkat_land","personer"
"2006","02","befolkningen_ellers","alle","511","arbledige_innvkat_land","personer"
"2006","02","innvandrere","1","32","arbledige_innvkat_land","personer"
"2006","02","innvandrere","2","157","arbledige_innvkat_land","personer"
"2006","02","innvandrere","alle","189","arbledige_innvkat_land","personer"
"2006","03","alle","alle","659","arbledige_innvkat_land","personer"
"2006","03","befolkningen_ellers","alle","498","arbledige_innvkat_land","personer"
"2006","03","innvandrere","1","17","arbledige_innvkat_land","personer"
"2006","03","innvandrere","2","144","arbledige_innvkat_land","personer"
"2006","03","innvandrere","alle","161","arbledige_innvkat_land","personer"
"2006","04","alle","alle","2023","arbledige_innvkat_land","personer"
"2006","04","befolkningen_ellers","alle","1438","arbledige_innvkat_land","personer"
"2006","04","innvandrere","1","52","arbledige_innvkat_land","personer"
"2006","04","innvandrere","2","533","arbledige_innvkat_land","personer"
"2006","04","innvandrere","alle","585","arbledige_innvkat_land","personer"
"2006","05","alle","alle","1255","arbledige_innvkat_land","personer"
"2006","05","befolkningen_ellers","alle","847","arbledige_innvkat_land","personer"
"2006","05","innvandrere","1","84","arbledige_innvkat_land","personer"
"2006","05","innvandrere","2","324","arbledige_innvkat_land","personer"
"2006","05","innvandrere","alle","408","arbledige_innvkat_land","personer"
"2006","06","alle","alle","1255","arbledige_innvkat_land","personer"
"2006","06","befolkningen_ellers","alle","898","arbledige_innvkat_land","personer"
"2006","06","innvandrere","1","69","arbledige_innvkat_land","personer"
"2006","06","innvandrere","2","288","arbledige_innvkat_land","personer"
"2006","06","innvandrere","alle","357","arbledige_innvkat_land","personer"
"2006","07","alle","alle","1926","arbledige_innvkat_land","personer"
"2006","07","befolkningen_ellers","alle","1335","arbledige_innvkat_land","personer"
"2006","07","innvandrere","1","64","arbledige_innvkat_land","personer"
"2006","07","innvandrere","2","527","arbledige_innvkat_land","personer"
"2006","07","innvandrere","alle","591","arbledige_innvkat_land","personer"
"2006","08","alle","alle","866","arbledige_innvkat_land","personer"
"2006","08","befolkningen_ellers","alle","687","arbledige_innvkat_land","personer"
"2006","08","innvandrere","1","37","arbledige_innvkat_land","personer"
"2006","08","innvandrere","2","142","arbledige_innvkat_land","personer"
"2006","08","innvandrere","alle","179","arbledige_innvkat_land","personer"
"2006","09","alle","alle","9838","arbledige_innvkat_land","personer"
"2006","09","befolkningen_ellers","alle","4924","arbledige_innvkat_land","personer"
"2006","09","innvandrere","1","492","arbledige_innvkat_land","personer"
"2006","09","innvandrere","2","4422","arbledige_innvkat_land","personer"
"2006","09","innvandrere","alle","4914","arbledige_innvkat_land","personer"
"2006","10","alle","alle","114","arbledige_innvkat_land","personer"
"2006","10","befolkningen_ellers","alle","98","arbledige_innvkat_land","personer"
"2006","10","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","10","innvandrere","2","14","arbledige_innvkat_land","personer"
"2006","10","innvandrere","alle","16","arbledige_innvkat_land","personer"
"2006","11","alle","alle","875","arbledige_innvkat_land","personer"
"2006","11","befolkningen_ellers","alle","768","arbledige_innvkat_land","personer"
"2006","11","innvandrere","1","26","arbledige_innvkat_land","personer"
"2006","11","innvandrere","2","81","arbledige_innvkat_land","personer"
"2006","11","innvandrere","alle","107","arbledige_innvkat_land","personer"
"2006","12","alle","alle","1029","arbledige_innvkat_land","personer"
"2006","12","befolkningen_ellers","alle","891","arbledige_innvkat_land","personer"
"2006","12","innvandrere","1","32","arbledige_innvkat_land","personer"
"2006","12","innvandrere","2","106","arbledige_innvkat_land","personer"
"2006","12","innvandrere","alle","138","arbledige_innvkat_land","personer"
"2006","13","alle","alle","461","arbledige_innvkat_land","personer"
"2006","13","befolkningen_ellers","alle","387","arbledige_innvkat_land","personer"
"2006","13","innvandrere","1","9","arbledige_innvkat_land","personer"
"2006","13","innvandrere","2","65","arbledige_innvkat_land","personer"
"2006","13","innvandrere","alle","74","arbledige_innvkat_land","personer"
"2006","14","alle","alle","671","arbledige_innvkat_land","personer"
"2006","14","befolkningen_ellers","alle","547","arbledige_innvkat_land","personer"
"2006","14","innvandrere","1","19","arbledige_innvkat_land","personer"
"2006","14","innvandrere","2","105","arbledige_innvkat_land","personer"
"2006","14","innvandrere","alle","124","arbledige_innvkat_land","personer"
"2006","15","alle","alle","253","arbledige_innvkat_land","personer"
"2006","15","befolkningen_ellers","alle","210","arbledige_innvkat_land","personer"
"2006","15","innvandrere","1","10","arbledige_innvkat_land","personer"
"2006","15","innvandrere","2","33","arbledige_innvkat_land","personer"
"2006","15","innvandrere","alle","43","arbledige_innvkat_land","personer"
"2006","16","alle","alle","411","arbledige_innvkat_land","personer"
"2006","16","befolkningen_ellers","alle","338","arbledige_innvkat_land","personer"
"2006","16","innvandrere","1","16","arbledige_innvkat_land","personer"
"2006","16","innvandrere","2","57","arbledige_innvkat_land","personer"
"2006","16","innvandrere","alle","73","arbledige_innvkat_land","personer"
"2006","17","alle","alle","146","arbledige_innvkat_land","personer"
"2006","17","befolkningen_ellers","alle","130","arbledige_innvkat_land","personer"
"2006","17","innvandrere","1","5","arbledige_innvkat_land","personer"
"2006","17","innvandrere","2","11","arbledige_innvkat_land","personer"
"2006","17","innvandrere","alle","16","arbledige_innvkat_land","personer"
"2006","18","alle","alle","207","arbledige_innvkat_land","personer"
"2006","18","befolkningen_ellers","alle","190","arbledige_innvkat_land","personer"
"2006","18","innvandrere","1","3","arbledige_innvkat_land","personer"
"2006","18","innvandrere","2","14","arbledige_innvkat_land","personer"
"2006","18","innvandrere","alle","17","arbledige_innvkat_land","personer"
"2006","19","alle","alle","132","arbledige_innvkat_land","personer"
"2006","19","befolkningen_ellers","alle","111","arbledige_innvkat_land","personer"
"2006","19","innvandrere","1","5","arbledige_innvkat_land","personer"
"2006","19","innvandrere","2","16","arbledige_innvkat_land","personer"
"2006","19","innvandrere","alle","21","arbledige_innvkat_land","personer"
"2006","20","alle","alle","2384","arbledige_innvkat_land","personer"
"2006","20","befolkningen_ellers","alle","1602","arbledige_innvkat_land","personer"
"2006","20","innvandrere","1","101","arbledige_innvkat_land","personer"
"2006","20","innvandrere","2","681","arbledige_innvkat_land","personer"
"2006","20","innvandrere","alle","782","arbledige_innvkat_land","personer"
"2006","21","alle","alle","128","arbledige_innvkat_land","personer"
"2006","21","befolkningen_ellers","alle","95","arbledige_innvkat_land","personer"
"2006","21","innvandrere","1","7","arbledige_innvkat_land","personer"
"2006","21","innvandrere","2","26","arbledige_innvkat_land","personer"
"2006","21","innvandrere","alle","33","arbledige_innvkat_land","personer"
"2006","22","alle","alle","306","arbledige_innvkat_land","personer"
"2006","22","befolkningen_ellers","alle","227","arbledige_innvkat_land","personer"
"2006","22","innvandrere","1","19","arbledige_innvkat_land","personer"
"2006","22","innvandrere","2","60","arbledige_innvkat_land","personer"
"2006","22","innvandrere","alle","79","arbledige_innvkat_land","personer"
"2006","23","alle","alle","187","arbledige_innvkat_land","personer"
"2006","23","befolkningen_ellers","alle","153","arbledige_innvkat_land","personer"
"2006","23","innvandrere","1","4","arbledige_innvkat_land","personer"
"2006","23","innvandrere","2","30","arbledige_innvkat_land","personer"
"2006","23","innvandrere","alle","34","arbledige_innvkat_land","personer"
"2006","24","alle","alle","436","arbledige_innvkat_land","personer"
"2006","24","befolkningen_ellers","alle","343","arbledige_innvkat_land","personer"
"2006","24","innvandrere","1","15","arbledige_innvkat_land","personer"
"2006","24","innvandrere","2","78","arbledige_innvkat_land","personer"
"2006","24","innvandrere","alle","93","arbledige_innvkat_land","personer"
"2006","25","alle","alle","1619","arbledige_innvkat_land","personer"
"2006","25","befolkningen_ellers","alle","1297","arbledige_innvkat_land","personer"
"2006","25","innvandrere","1","37","arbledige_innvkat_land","personer"
"2006","25","innvandrere","2","285","arbledige_innvkat_land","personer"
"2006","25","innvandrere","alle","322","arbledige_innvkat_land","personer"
"2006","26","alle","alle","1292","arbledige_innvkat_land","personer"
"2006","26","befolkningen_ellers","alle","995","arbledige_innvkat_land","personer"
"2006","26","innvandrere","1","43","arbledige_innvkat_land","personer"
"2006","26","innvandrere","2","254","arbledige_innvkat_land","personer"
"2006","26","innvandrere","alle","297","arbledige_innvkat_land","personer"
"2006","27","alle","alle","1859","arbledige_innvkat_land","personer"
"2006","27","befolkningen_ellers","alle","1420","arbledige_innvkat_land","personer"
"2006","27","innvandrere","1","44","arbledige_innvkat_land","personer"
"2006","27","innvandrere","2","395","arbledige_innvkat_land","personer"
"2006","27","innvandrere","alle","439","arbledige_innvkat_land","personer"
"2006","28","alle","alle","220","arbledige_innvkat_land","personer"
"2006","28","befolkningen_ellers","alle","178","arbledige_innvkat_land","personer"
"2006","28","innvandrere","1","6","arbledige_innvkat_land","personer"
"2006","28","innvandrere","2","36","arbledige_innvkat_land","personer"
"2006","28","innvandrere","alle","42","arbledige_innvkat_land","personer"
"2006","29","alle","alle","228","arbledige_innvkat_land","personer"
"2006","29","befolkningen_ellers","alle","182","arbledige_innvkat_land","personer"
"2006","29","innvandrere","1","10","arbledige_innvkat_land","personer"
"2006","29","innvandrere","2","36","arbledige_innvkat_land","personer"
"2006","29","innvandrere","alle","46","arbledige_innvkat_land","personer"
"2006","30","alle","alle","108","arbledige_innvkat_land","personer"
"2006","30","befolkningen_ellers","alle","83","arbledige_innvkat_land","personer"
"2006","30","innvandrere","1","6","arbledige_innvkat_land","personer"
"2006","30","innvandrere","2","19","arbledige_innvkat_land","personer"
"2006","30","innvandrere","alle","25","arbledige_innvkat_land","personer"
