"tabell_navn","aar","fylke_nr","landbakgrunn","enhet","tabellvariabel"
"befolkning_opprinnelsesland",2006,"01",101,"personer","1185"
"befolkning_opprinnelsesland",2006,"01",102,"personer","6"
"befolkning_opprinnelsesland",2006,"01",103,"personer","235"
"befolkning_opprinnelsesland",2006,"01",104,"personer","27"
"befolkning_opprinnelsesland",2006,"01",105,"personer","222"
"befolkning_opprinnelsesland",2006,"01",106,"personer","1705"
"befolkning_opprinnelsesland",2006,"01",111,"personer","36"
"befolkning_opprinnelsesland",2006,"01",112,"personer","30"
"befolkning_opprinnelsesland",2006,"01",113,"personer","68"
"befolkning_opprinnelsesland",2006,"01",114,"personer","."
"befolkning_opprinnelsesland",2006,"01",115,"personer","43"
"befolkning_opprinnelsesland",2006,"01",117,"personer","60"
"befolkning_opprinnelsesland",2006,"01",118,"personer","."
"befolkning_opprinnelsesland",2006,"01",119,"personer","29"
"befolkning_opprinnelsesland",2006,"01",120,"personer","27"
"befolkning_opprinnelsesland",2006,"01",121,"personer","20"
"befolkning_opprinnelsesland",2006,"01",122,"personer","180"
"befolkning_opprinnelsesland",2006,"01",123,"personer","52"
"befolkning_opprinnelsesland",2006,"01",124,"personer","36"
"befolkning_opprinnelsesland",2006,"01",126,"personer","."
"befolkning_opprinnelsesland",2006,"01",127,"personer","205"
"befolkning_opprinnelsesland",2006,"01",128,"personer","."
"befolkning_opprinnelsesland",2006,"01",129,"personer","."
"befolkning_opprinnelsesland",2006,"01",130,"personer","."
"befolkning_opprinnelsesland",2006,"01",131,"personer","867"
"befolkning_opprinnelsesland",2006,"01",132,"personer","27"
"befolkning_opprinnelsesland",2006,"01",133,"personer","92"
"befolkning_opprinnelsesland",2006,"01",134,"personer","."
"befolkning_opprinnelsesland",2006,"01",136,"personer","81"
"befolkning_opprinnelsesland",2006,"01",137,"personer","69"
"befolkning_opprinnelsesland",2006,"01",138,"personer","5"
"befolkning_opprinnelsesland",2006,"01",139,"personer","350"
"befolkning_opprinnelsesland",2006,"01",140,"personer","357"
"befolkning_opprinnelsesland",2006,"01",141,"personer","51"
"befolkning_opprinnelsesland",2006,"01",143,"personer","388"
"befolkning_opprinnelsesland",2006,"01",144,"personer","445"
"befolkning_opprinnelsesland",2006,"01",146,"personer",":"
"befolkning_opprinnelsesland",2006,"01",148,"personer","54"
"befolkning_opprinnelsesland",2006,"01",152,"personer","107"
"befolkning_opprinnelsesland",2006,"01",153,"personer","48"
"befolkning_opprinnelsesland",2006,"01",154,"personer","."
"befolkning_opprinnelsesland",2006,"01",155,"personer","1428"
"befolkning_opprinnelsesland",2006,"01",156,"personer","154"
"befolkning_opprinnelsesland",2006,"01",157,"personer","21"
"befolkning_opprinnelsesland",2006,"01",158,"personer","52"
"befolkning_opprinnelsesland",2006,"01",159,"personer","."
"befolkning_opprinnelsesland",2006,"01",160,"personer","."
"befolkning_opprinnelsesland",2006,"01",161,"personer","."
"befolkning_opprinnelsesland",2006,"01",162,"personer","."
"befolkning_opprinnelsesland",2006,"01",163,"personer","."
"befolkning_opprinnelsesland",2006,"01",164,"personer","."
"befolkning_opprinnelsesland",2006,"01",203,"personer","46"
"befolkning_opprinnelsesland",2006,"01",204,"personer","14"
"befolkning_opprinnelsesland",2006,"01",205,"personer","."
"befolkning_opprinnelsesland",2006,"01",209,"personer","."
"befolkning_opprinnelsesland",2006,"01",213,"personer","."
"befolkning_opprinnelsesland",2006,"01",216,"personer","8"
