"tabell_navn","aar","kommune_nr","enhet","flytting","innvkat_3","tabellvariabel"
"befolkning_flytting","2014","0101","personer","innflytting","alle","1213"
"befolkning_flytting","2014","0101","personer","innvandring","alle","207"
"befolkning_flytting","2014","0101","personer","innvandring_og_innflytting","alle","1420"
"befolkning_flytting","2014","0101","personer","nettoinnflytting","alle","170"
"befolkning_flytting","2014","0101","personer","nettoinnvandring","alle","51"
"befolkning_flytting","2014","0101","personer","nettoinnvandring_og_nettoinnflytting","alle","221"
"befolkning_flytting","2014","0101","personer","utflytting","alle","1043"
"befolkning_flytting","2014","0101","personer","utvandring","alle","156"
"befolkning_flytting","2014","0101","personer","utvandring_og_utflytting","alle","1199"
"befolkning_flytting","2014","0104","personer","innflytting","alle","2052"
"befolkning_flytting","2014","0104","personer","innvandring","alle","365"
"befolkning_flytting","2014","0104","personer","innvandring_og_innflytting","alle","2417"
"befolkning_flytting","2014","0104","personer","nettoinnflytting","alle","260"
"befolkning_flytting","2014","0104","personer","nettoinnvandring","alle","190"
"befolkning_flytting","2014","0104","personer","nettoinnvandring_og_nettoinnflytting","alle","450"
"befolkning_flytting","2014","0104","personer","utflytting","alle","1792"
"befolkning_flytting","2014","0104","personer","utvandring","alle","175"
"befolkning_flytting","2014","0104","personer","utvandring_og_utflytting","alle","1967"
"befolkning_flytting","2014","0105","personer","innflytting","alle","2178"
"befolkning_flytting","2014","0105","personer","innvandring","alle","354"
"befolkning_flytting","2014","0105","personer","innvandring_og_innflytting","alle","2532"
"befolkning_flytting","2014","0105","personer","nettoinnflytting","alle","27"
"befolkning_flytting","2014","0105","personer","nettoinnvandring","alle","77"
"befolkning_flytting","2014","0105","personer","nettoinnvandring_og_nettoinnflytting","alle","104"
"befolkning_flytting","2014","0105","personer","utflytting","alle","2151"
"befolkning_flytting","2014","0105","personer","utvandring","alle","277"
"befolkning_flytting","2014","0105","personer","utvandring_og_utflytting","alle","2428"
"befolkning_flytting","2014","0106","personer","innflytting","alle","3321"
"befolkning_flytting","2014","0106","personer","innvandring","alle","565"
"befolkning_flytting","2014","0106","personer","innvandring_og_innflytting","alle","3886"
"befolkning_flytting","2014","0106","personer","nettoinnflytting","alle","347"
"befolkning_flytting","2014","0106","personer","nettoinnvandring","alle","164"
"befolkning_flytting","2014","0106","personer","nettoinnvandring_og_nettoinnflytting","alle","511"
"befolkning_flytting","2014","0106","personer","utflytting","alle","2974"
"befolkning_flytting","2014","0106","personer","utvandring","alle","401"
"befolkning_flytting","2014","0106","personer","utvandring_og_utflytting","alle","3375"
"befolkning_flytting","2014","0111","personer","innflytting","alle","337"
"befolkning_flytting","2014","0111","personer","innvandring","alle","31"
"befolkning_flytting","2014","0111","personer","innvandring_og_innflytting","alle","368"
"befolkning_flytting","2014","0111","personer","nettoinnflytting","alle","76"
"befolkning_flytting","2014","0111","personer","nettoinnvandring","alle","13"
"befolkning_flytting","2014","0111","personer","nettoinnvandring_og_nettoinnflytting","alle","89"
"befolkning_flytting","2014","0111","personer","utflytting","alle","261"
"befolkning_flytting","2014","0111","personer","utvandring","alle","18"
"befolkning_flytting","2014","0111","personer","utvandring_og_utflytting","alle","279"
"befolkning_flytting","2014","0118","personer","innflytting","alle","60"
"befolkning_flytting","2014","0118","personer","innvandring","alle","3"
"befolkning_flytting","2014","0118","personer","innvandring_og_innflytting","alle","63"
"befolkning_flytting","2014","0118","personer","nettoinnflytting","alle","7"
"befolkning_flytting","2014","0118","personer","nettoinnvandring","alle","0"
"befolkning_flytting","2014","0118","personer","nettoinnvandring_og_nettoinnflytting","alle","7"
"befolkning_flytting","2014","0118","personer","utflytting","alle","53"
"befolkning_flytting","2014","0118","personer","utvandring","alle","3"
"befolkning_flytting","2014","0118","personer","utvandring_og_utflytting","alle","56"
"befolkning_flytting","2014","0119","personer","innflytting","alle","163"
"befolkning_flytting","2014","0119","personer","innvandring","alle","12"
"befolkning_flytting","2014","0119","personer","innvandring_og_innflytting","alle","175"
