"tabell_navn","aar","fylke_nr","innvkat_5","kjonn","enhet","tabellvariabel"
"befolkning_hovedgruppe",2015,"01","alle","alle","person",287198
"befolkning_hovedgruppe",2015,"01","innvandrere","alle","person",35027
"befolkning_hovedgruppe",2015,"01","befolkningen_ellers","alle","person",252171
"befolkning_hovedgruppe",2015,"01","norskfodte_m_innvf","alle","person",8498
"befolkning_hovedgruppe",2015,"01","bef_u_innv_og_norskf","alle","person",243673
"befolkning_hovedgruppe",2015,"01","alle","1","person",143462
"befolkning_hovedgruppe",2015,"01","innvandrere","1","person",18173
"befolkning_hovedgruppe",2015,"01","befolkningen_ellers","1","person",125289
"befolkning_hovedgruppe",2015,"01","norskfodte_m_innvf","1","person",4480
"befolkning_hovedgruppe",2015,"01","bef_u_innv_og_norskf","1","person",120809
"befolkning_hovedgruppe",2015,"01","alle","0","person",143736
"befolkning_hovedgruppe",2015,"01","innvandrere","0","person",16854
"befolkning_hovedgruppe",2015,"01","befolkningen_ellers","0","person",126882
"befolkning_hovedgruppe",2015,"01","norskfodte_m_innvf","0","person",4018
"befolkning_hovedgruppe",2015,"01","bef_u_innv_og_norskf","0","person",122864
"befolkning_hovedgruppe",2015,"02","alle","alle","person",584899
"befolkning_hovedgruppe",2015,"02","innvandrere","alle","person",85511
"befolkning_hovedgruppe",2015,"02","befolkningen_ellers","alle","person",499388
"befolkning_hovedgruppe",2015,"02","norskfodte_m_innvf","alle","person",19188
"befolkning_hovedgruppe",2015,"02","bef_u_innv_og_norskf","alle","person",480200
"befolkning_hovedgruppe",2015,"02","alle","1","person",292536
"befolkning_hovedgruppe",2015,"02","innvandrere","1","person",44348
"befolkning_hovedgruppe",2015,"02","befolkningen_ellers","1","person",248188
"befolkning_hovedgruppe",2015,"02","norskfodte_m_innvf","1","person",9864
"befolkning_hovedgruppe",2015,"02","bef_u_innv_og_norskf","1","person",238324
"befolkning_hovedgruppe",2015,"02","alle","0","person",292363
"befolkning_hovedgruppe",2015,"02","innvandrere","0","person",41163
"befolkning_hovedgruppe",2015,"02","befolkningen_ellers","0","person",251200
"befolkning_hovedgruppe",2015,"02","norskfodte_m_innvf","0","person",9324
"befolkning_hovedgruppe",2015,"02","bef_u_innv_og_norskf","0","person",241876
"befolkning_hovedgruppe",2015,"03","alle","alle","person",647676
"befolkning_hovedgruppe",2015,"03","innvandrere","alle","person",158835
"befolkning_hovedgruppe",2015,"03","befolkningen_ellers","alle","person",488841
"befolkning_hovedgruppe",2015,"03","norskfodte_m_innvf","alle","person",47857
"befolkning_hovedgruppe",2015,"03","bef_u_innv_og_norskf","alle","person",440984
"befolkning_hovedgruppe",2015,"03","alle","1","person",322892
"befolkning_hovedgruppe",2015,"03","innvandrere","1","person",83130
"befolkning_hovedgruppe",2015,"03","befolkningen_ellers","1","person",239762
"befolkning_hovedgruppe",2015,"03","norskfodte_m_innvf","1","person",24427
"befolkning_hovedgruppe",2015,"03","bef_u_innv_og_norskf","1","person",215335
"befolkning_hovedgruppe",2015,"03","alle","0","person",324784
"befolkning_hovedgruppe",2015,"03","innvandrere","0","person",75705
"befolkning_hovedgruppe",2015,"03","befolkningen_ellers","0","person",249079
"befolkning_hovedgruppe",2015,"03","norskfodte_m_innvf","0","person",23430
"befolkning_hovedgruppe",2015,"03","bef_u_innv_og_norskf","0","person",225649
"befolkning_hovedgruppe",2015,"04","alle","alle","person",195153
"befolkning_hovedgruppe",2015,"04","innvandrere","alle","person",15780
"befolkning_hovedgruppe",2015,"04","befolkningen_ellers","alle","person",179373
"befolkning_hovedgruppe",2015,"04","norskfodte_m_innvf","alle","person",2307
"befolkning_hovedgruppe",2015,"04","bef_u_innv_og_norskf","alle","person",177066
"befolkning_hovedgruppe",2015,"04","alle","1","person",97312
"befolkning_hovedgruppe",2015,"04","innvandrere","1","person",8072
"befolkning_hovedgruppe",2015,"04","befolkningen_ellers","1","person",89240
"befolkning_hovedgruppe",2015,"04","norskfodte_m_innvf","1","person",1157
