"aar","bydel_nr","vreg_9","tabellvariabel","tabell_navn","enhet"
"2006","00","afrika","15027","sysselsatte_land","personer"
"2006","00","alle","181411","sysselsatte_land","personer"
"2006","00","asia","57736","sysselsatte_land","personer"
"2006","00","eu_ost_europa","19452","sysselsatte_land","personer"
"2006","00","nord_amerika_oseania","4516","sysselsatte_land","personer"
"2006","00","norden","33489","sysselsatte_land","personer"
"2006","00","ost_europa_ellers","19576","sysselsatte_land","personer"
"2006","00","sor_og_mellom_amerika","7651","sysselsatte_land","personer"
"2006","00","vest_europa","23964","sysselsatte_land","personer"
"2006","030101","afrika","586","sysselsatte_land","personer"
"2006","030101","alle","4658","sysselsatte_land","personer"
"2006","030101","asia","1441","sysselsatte_land","personer"
"2006","030101","eu_ost_europa","451","sysselsatte_land","personer"
"2006","030101","nord_amerika_oseania","141","sysselsatte_land","personer"
"2006","030101","norden","1006","sysselsatte_land","personer"
"2006","030101","ost_europa_ellers","262","sysselsatte_land","personer"
"2006","030101","sor_og_mellom_amerika","248","sysselsatte_land","personer"
"2006","030101","vest_europa","523","sysselsatte_land","personer"
"2006","030102","afrika","495","sysselsatte_land","personer"
"2006","030102","alle","3926","sysselsatte_land","personer"
"2006","030102","asia","1173","sysselsatte_land","personer"
"2006","030102","eu_ost_europa","322","sysselsatte_land","personer"
"2006","030102","nord_amerika_oseania","114","sysselsatte_land","personer"
"2006","030102","norden","886","sysselsatte_land","personer"
"2006","030102","ost_europa_ellers","273","sysselsatte_land","personer"
"2006","030102","sor_og_mellom_amerika","223","sysselsatte_land","personer"
"2006","030102","vest_europa","440","sysselsatte_land","personer"
"2006","030103","afrika","537","sysselsatte_land","personer"
"2006","030103","alle","5092","sysselsatte_land","personer"
"2006","030103","asia","1704","sysselsatte_land","personer"
"2006","030103","eu_ost_europa","462","sysselsatte_land","personer"
"2006","030103","nord_amerika_oseania","143","sysselsatte_land","personer"
"2006","030103","norden","1034","sysselsatte_land","personer"
"2006","030103","ost_europa_ellers","354","sysselsatte_land","personer"
"2006","030103","sor_og_mellom_amerika","231","sysselsatte_land","personer"
"2006","030103","vest_europa","627","sysselsatte_land","personer"
"2006","030104","afrika","632","sysselsatte_land","personer"
"2006","030104","alle","4772","sysselsatte_land","personer"
"2006","030104","asia","1676","sysselsatte_land","personer"
"2006","030104","eu_ost_europa","408","sysselsatte_land","personer"
"2006","030104","nord_amerika_oseania","106","sysselsatte_land","personer"
"2006","030104","norden","949","sysselsatte_land","personer"
"2006","030104","ost_europa_ellers","320","sysselsatte_land","personer"
"2006","030104","sor_og_mellom_amerika","207","sysselsatte_land","personer"
"2006","030104","vest_europa","474","sysselsatte_land","personer"
"2006","030105","afrika","444","sysselsatte_land","personer"
"2006","030105","alle","3678","sysselsatte_land","personer"
"2006","030105","asia","1185","sysselsatte_land","personer"
"2006","030105","eu_ost_europa","330","sysselsatte_land","personer"
"2006","030105","nord_amerika_oseania","106","sysselsatte_land","personer"
"2006","030105","norden","778","sysselsatte_land","personer"
"2006","030105","ost_europa_ellers","258","sysselsatte_land","personer"
"2006","030105","sor_og_mellom_amerika","190","sysselsatte_land","personer"
"2006","030105","vest_europa","387","sysselsatte_land","personer"
"2006","030106","afrika","469","sysselsatte_land","personer"
"2006","030106","alle","3860","sysselsatte_land","personer"
"2006","030106","asia","1498","sysselsatte_land","personer"
"2006","030106","eu_ost_europa","310","sysselsatte_land","personer"
