"aar","bydel_nr","kjonn","enhet","tabellvariabel","tabell_navn","avslutning_arsak_3","fylke_nr","naringsregion_nr","kommune_nr"
2014,"000301","0","personer","154","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"000301","1","personer","155","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"000301","alle","personer","309","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"000301","0","personer","42","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"000301","0","prosent","27.27272727","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"000301","1","personer","89","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"000301","1","prosent","57.41935484","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"000301","alle","personer","131","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"000301","alle","prosent","42.39482201","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"000301","0","personer","112","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"000301","0","prosent","72.72727273","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"000301","1","personer","66","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"000301","1","prosent","42.58064516","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"000301","alle","personer","178","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"000301","alle","prosent","57.60517799","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"030101","0","personer","17","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"030101","1","personer","12","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"030101","alle","personer","29","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"030101","0","personer",":","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030101","0","prosent",".","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030101","1","personer","9","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030101","1","prosent","75","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030101","alle","personer","13","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030101","alle","prosent","44.82758621","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030101","0","personer","13","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"030101","0","prosent","76.47058824","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"030101","1","personer",":","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"030101","1","prosent",".","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"030101","alle","personer","16","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"030101","alle","prosent","55.17241379","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"030102","0","personer","12","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"030102","1","personer","21","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"030102","alle","personer","33","intro_avslutning_direkte_3","alle","NULL","NULL","NULL"
2014,"030102","0","personer","6","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030102","0","prosent","50","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030102","1","personer","15","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030102","1","prosent","71.42857143","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030102","alle","personer","21","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030102","alle","prosent","63.63636364","intro_avslutning_direkte_3","arbutd","NULL","NULL","NULL"
2014,"030102","0","personer","6","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
2014,"030102","0","prosent","50","intro_avslutning_direkte_3","annet","NULL","NULL","NULL"
