"tabell_navn","aar","fylke_nr","kjonn","innvkat_5","enhet","tabellvariabel"
"grunnskolepoeng","2015","00","alle","alle","grunnskolepoeng","40,8"
"grunnskolepoeng","2015","00","alle","alle","personer","60679"
"grunnskolepoeng","2015","00","alle","bef_u_innv_og_norskf","grunnskolepoeng","41,2"
"grunnskolepoeng","2015","00","alle","bef_u_innv_og_norskf","personer","53262"
"grunnskolepoeng","2015","00","alle","befolkningen_ellers","grunnskolepoeng","41,2"
"grunnskolepoeng","2015","00","alle","befolkningen_ellers","personer","56305"
"grunnskolepoeng","2015","00","alle","innvandrere","grunnskolepoeng","36,2"
"grunnskolepoeng","2015","00","alle","innvandrere","personer","4375"
"grunnskolepoeng","2015","00","alle","norskfodte_m_innvf","grunnskolepoeng","39"
"grunnskolepoeng","2015","00","alle","norskfodte_m_innvf","personer","3019"
"grunnskolepoeng","2015","00","1","alle","grunnskolepoeng","38,6"
"grunnskolepoeng","2015","00","1","alle","personer","31033"
"grunnskolepoeng","2015","00","1","bef_u_innv_og_norskf","grunnskolepoeng","39"
"grunnskolepoeng","2015","00","1","bef_u_innv_og_norskf","personer","27170"
"grunnskolepoeng","2015","00","1","befolkningen_ellers","grunnskolepoeng","39"
"grunnskolepoeng","2015","00","1","befolkningen_ellers","personer","28732"
"grunnskolepoeng","2015","00","1","innvandrere","grunnskolepoeng","34,4"
"grunnskolepoeng","2015","00","1","innvandrere","personer","2258"
"grunnskolepoeng","2015","00","1","norskfodte_m_innvf","grunnskolepoeng","37,2"
"grunnskolepoeng","2015","00","1","norskfodte_m_innvf","personer","1506"
"grunnskolepoeng","2015","00","0","alle","grunnskolepoeng","43"
"grunnskolepoeng","2015","00","0","alle","personer","29645"
"grunnskolepoeng","2015","00","0","bef_u_innv_og_norskf","grunnskolepoeng","43,4"
"grunnskolepoeng","2015","00","0","bef_u_innv_og_norskf","personer","26092"
"grunnskolepoeng","2015","00","0","befolkningen_ellers","grunnskolepoeng","43,4"
"grunnskolepoeng","2015","00","0","befolkningen_ellers","personer","27573"
"grunnskolepoeng","2015","00","0","innvandrere","grunnskolepoeng","38,2"
"grunnskolepoeng","2015","00","0","innvandrere","personer","2114"
"grunnskolepoeng","2015","00","0","norskfodte_m_innvf","grunnskolepoeng","41"
"grunnskolepoeng","2015","00","0","norskfodte_m_innvf","personer","1508"
"grunnskolepoeng","2015","01","alle","alle","grunnskolepoeng","39,8"
"grunnskolepoeng","2015","01","alle","alle","personer","3442"
"grunnskolepoeng","2015","01","alle","bef_u_innv_og_norskf","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","01","alle","bef_u_innv_og_norskf","personer","2932"
"grunnskolepoeng","2015","01","alle","befolkningen_ellers","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","01","alle","befolkningen_ellers","personer","3131"
"grunnskolepoeng","2015","01","alle","innvandrere","grunnskolepoeng","36,4"
"grunnskolepoeng","2015","01","alle","innvandrere","personer","312"
"grunnskolepoeng","2015","01","alle","norskfodte_m_innvf","grunnskolepoeng","39"
"grunnskolepoeng","2015","01","alle","norskfodte_m_innvf","personer","199"
"grunnskolepoeng","2015","01","1","alle","grunnskolepoeng","37,6"
"grunnskolepoeng","2015","01","1","alle","personer","1761"
