"aar","fylke_nr","innvkat_3","tabellvariabel","tabell_navn","enhet"
"2006","00","alle","2388660","sysselsatte_innvkat","personer"
"2006","00","befolkningen_ellers","2207249","sysselsatte_innvkat","personer"
"2006","00","innvandrere","181411","sysselsatte_innvkat","personer"
"2006","01","alle","128095","sysselsatte_innvkat","personer"
"2006","01","befolkningen_ellers","119168","sysselsatte_innvkat","personer"
"2006","01","innvandrere","8927","sysselsatte_innvkat","personer"
"2006","02","alle","266713","sysselsatte_innvkat","personer"
"2006","02","befolkningen_ellers","241685","sysselsatte_innvkat","personer"
"2006","02","innvandrere","25028","sysselsatte_innvkat","personer"
"2006","03","alle","293422","sysselsatte_innvkat","personer"
"2006","03","befolkningen_ellers","240795","sysselsatte_innvkat","personer"
"2006","03","innvandrere","52627","sysselsatte_innvkat","personer"
"2006","04","alle","91809","sysselsatte_innvkat","personer"
"2006","04","befolkningen_ellers","87914","sysselsatte_innvkat","personer"
"2006","04","innvandrere","3895","sysselsatte_innvkat","personer"
"2006","05","alle","93253","sysselsatte_innvkat","personer"
"2006","05","befolkningen_ellers","89425","sysselsatte_innvkat","personer"
"2006","05","innvandrere","3828","sysselsatte_innvkat","personer"
"2006","06","alle","127944","sysselsatte_innvkat","personer"
"2006","06","befolkningen_ellers","117518","sysselsatte_innvkat","personer"
"2006","06","innvandrere","10426","sysselsatte_innvkat","personer"
"2006","07","alle","110169","sysselsatte_innvkat","personer"
"2006","07","befolkningen_ellers","103174","sysselsatte_innvkat","personer"
"2006","07","innvandrere","6995","sysselsatte_innvkat","personer"
"2006","08","alle","81098","sysselsatte_innvkat","personer"
"2006","08","befolkningen_ellers","76761","sysselsatte_innvkat","personer"
"2006","08","innvandrere","4337","sysselsatte_innvkat","personer"
"2006","09","alle","50806","sysselsatte_innvkat","personer"
"2006","09","befolkningen_ellers","48245","sysselsatte_innvkat","personer"
"2006","09","innvandrere","2561","sysselsatte_innvkat","personer"
"2006","10","alle","80503","sysselsatte_innvkat","personer"
"2006","10","befolkningen_ellers","75009","sysselsatte_innvkat","personer"
"2006","10","innvandrere","5494","sysselsatte_innvkat","personer"
"2006","11","alle","211677","sysselsatte_innvkat","personer"
"2006","11","befolkningen_ellers","195766","sysselsatte_innvkat","personer"
"2006","11","innvandrere","15911","sysselsatte_innvkat","personer"
"2006","12","alle","234618","sysselsatte_innvkat","personer"
"2006","12","befolkningen_ellers","220751","sysselsatte_innvkat","personer"
"2006","12","innvandrere","13867","sysselsatte_innvkat","personer"
"2006","14","alle","55157","sysselsatte_innvkat","personer"
"2006","14","befolkningen_ellers","52773","sysselsatte_innvkat","personer"
"2006","14","innvandrere","2384","sysselsatte_innvkat","personer"
"2006","15","alle","125793","sysselsatte_innvkat","personer"
"2006","15","befolkningen_ellers","120433","sysselsatte_innvkat","personer"
"2006","15","innvandrere","5360","sysselsatte_innvkat","personer"
"2006","16","alle","144020","sysselsatte_innvkat","personer"
"2006","16","befolkningen_ellers","136485","sysselsatte_innvkat","personer"
"2006","16","innvandrere","7535","sysselsatte_innvkat","personer"
"2006","17","alle","63558","sysselsatte_innvkat","personer"
"2006","17","befolkningen_ellers","61799","sysselsatte_innvkat","personer"
"2006","17","innvandrere","1759","sysselsatte_innvkat","personer"
"2006","18","alle","114524","sysselsatte_innvkat","personer"
"2006","18","befolkningen_ellers","110515","sysselsatte_innvkat","personer"
"2006","18","innvandrere","4009","sysselsatte_innvkat","personer"
"2006","19","alle","79037","sysselsatte_innvkat","personer"
"2006","19","befolkningen_ellers","74996","sysselsatte_innvkat","personer"
"2006","19","innvandrere","4041","sysselsatte_innvkat","personer"
"2006","20","alle","36464","sysselsatte_innvkat","personer"
"2006","20","befolkningen_ellers","34037","sysselsatte_innvkat","personer"
"2006","20","innvandrere","2427","sysselsatte_innvkat","personer"
"2007","00","alle","2483703","sysselsatte_innvkat","personer"
"2007","00","befolkningen_ellers","2270595","sysselsatte_innvkat","personer"
"2007","00","innvandrere","213108","sysselsatte_innvkat","personer"
"2007","01","alle","132237","sysselsatte_innvkat","personer"
"2007","01","befolkningen_ellers","121871","sysselsatte_innvkat","personer"
"2007","01","innvandrere","10366","sysselsatte_innvkat","personer"
"2007","02","alle","277140","sysselsatte_innvkat","personer"
"2007","02","befolkningen_ellers","248280","sysselsatte_innvkat","personer"
"2007","02","innvandrere","28860","sysselsatte_innvkat","personer"
"2007","03","alle","307404","sysselsatte_innvkat","personer"
"2007","03","befolkningen_ellers","248044","sysselsatte_innvkat","personer"
"2007","03","innvandrere","59360","sysselsatte_innvkat","personer"
"2007","04","alle","94179","sysselsatte_innvkat","personer"
"2007","04","befolkningen_ellers","89736","sysselsatte_innvkat","personer"
"2007","04","innvandrere","4443","sysselsatte_innvkat","personer"
"2007","05","alle","95542","sysselsatte_innvkat","personer"
"2007","05","befolkningen_ellers","91050","sysselsatte_innvkat","personer"
"2007","05","innvandrere","4492","sysselsatte_innvkat","personer"
"2007","06","alle","133121","sysselsatte_innvkat","personer"
"2007","06","befolkningen_ellers","120858","sysselsatte_innvkat","personer"
"2007","06","innvandrere","12263","sysselsatte_innvkat","personer"
"2007","07","alle","114904","sysselsatte_innvkat","personer"
"2007","07","befolkningen_ellers","106349","sysselsatte_innvkat","personer"
"2007","07","innvandrere","8555","sysselsatte_innvkat","personer"
"2007","08","alle","83403","sysselsatte_innvkat","personer"
"2007","08","befolkningen_ellers","78308","sysselsatte_innvkat","personer"
"2007","08","innvandrere","5095","sysselsatte_innvkat","personer"
"2007","09","alle","53370","sysselsatte_innvkat","personer"
"2007","09","befolkningen_ellers","50175","sysselsatte_innvkat","personer"
"2007","09","innvandrere","3195","sysselsatte_innvkat","personer"
"2007","10","alle","84716","sysselsatte_innvkat","personer"
"2007","10","befolkningen_ellers","78150","sysselsatte_innvkat","personer"
"2007","10","innvandrere","6566","sysselsatte_innvkat","personer"
"2007","11","alle","222959","sysselsatte_innvkat","personer"
"2007","11","befolkningen_ellers","202929","sysselsatte_innvkat","personer"
"2007","11","innvandrere","20030","sysselsatte_innvkat","personer"
"2007","12","alle","244073","sysselsatte_innvkat","personer"
"2007","12","befolkningen_ellers","227238","sysselsatte_innvkat","personer"
"2007","12","innvandrere","16835","sysselsatte_innvkat","personer"
"2007","14","alle","56705","sysselsatte_innvkat","personer"
"2007","14","befolkningen_ellers","53855","sysselsatte_innvkat","personer"
"2007","14","innvandrere","2850","sysselsatte_innvkat","personer"
"2007","15","alle","130668","sysselsatte_innvkat","personer"
"2007","15","befolkningen_ellers","123933","sysselsatte_innvkat","personer"
"2007","15","innvandrere","6735","sysselsatte_innvkat","personer"
"2007","16","alle","150021","sysselsatte_innvkat","personer"
"2007","16","befolkningen_ellers","140851","sysselsatte_innvkat","personer"
"2007","16","innvandrere","9170","sysselsatte_innvkat","personer"
"2007","17","alle","66160","sysselsatte_innvkat","personer"
"2007","17","befolkningen_ellers","63830","sysselsatte_innvkat","personer"
"2007","17","innvandrere","2330","sysselsatte_innvkat","personer"
"2007","18","alle","118372","sysselsatte_innvkat","personer"
"2007","18","befolkningen_ellers","113663","sysselsatte_innvkat","personer"
"2007","18","innvandrere","4709","sysselsatte_innvkat","personer"
"2007","19","alle","81295","sysselsatte_innvkat","personer"
