tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_3,kjonn,utd_5,enhet,tabellvariabel
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,grunnskole,personer,113722
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,grunnskole,prosent,8.03
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,ingen,personer,2620
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,ingen,prosent,0.18
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,personer,319089
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,prosent,22.52
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,uoppgitt,personer,20971
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,uoppgitt,prosent,1.48
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,vgs,personer,231034
utdanningsniva,2012,00,NULL,NULL,NULL,alle,0,vgs,prosent,16.31
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,grunnskole,personer,133988
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,grunnskole,prosent,9.46
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,ingen,personer,1525
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,ingen,prosent,0.11
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,personer,241686
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,prosent,17.06
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,uoppgitt,personer,38906
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,uoppgitt,prosent,2.75
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,vgs,personer,313265
utdanningsniva,2012,00,NULL,NULL,NULL,alle,1,vgs,prosent,22.11
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,grunnskole,personer,247710
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,grunnskole,prosent,17.48
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,ingen,personer,4145
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,ingen,prosent,0.29
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,personer,560775
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,prosent,39.58
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,uoppgitt,personer,59877
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,uoppgitt,prosent,4.23
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,vgs,personer,544299
utdanningsniva,2012,00,NULL,NULL,NULL,alle,alle,vgs,prosent,38.42
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,grunnskole,personer,85067
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,grunnskole,prosent,6
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,ingen,personer,18
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,ingen,prosent,0
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,universitet_og_hogskole,personer,270950
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,universitet_og_hogskole,prosent,19.12
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,uoppgitt,personer,1284
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,uoppgitt,prosent,0.09
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,vgs,personer,202900
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,0,vgs,prosent,14.32
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,grunnskole,personer,106393
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,grunnskole,prosent,7.51
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,ingen,personer,23
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,ingen,prosent,0
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,universitet_og_hogskole,personer,199514
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,universitet_og_hogskole,prosent,14.08
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,uoppgitt,personer,2176
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,uoppgitt,prosent,0.15
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,vgs,personer,272731
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,1,vgs,prosent,19.25
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,grunnskole,personer,191460
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,grunnskole,prosent,13.51
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,ingen,personer,41
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,ingen,prosent,0
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,universitet_og_hogskole,personer,470464
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,universitet_og_hogskole,prosent,33.21
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,uoppgitt,personer,3460
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,uoppgitt,prosent,0.24
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,vgs,personer,475631
utdanningsniva,2012,00,NULL,NULL,NULL,befolkningen_ellers,alle,vgs,prosent,33.57
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,grunnskole,personer,28655
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,grunnskole,prosent,2.02
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,ingen,personer,2602
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,ingen,prosent,0.18
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,universitet_og_hogskole,personer,48139
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,universitet_og_hogskole,prosent,3.4
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,uoppgitt,personer,19687
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,uoppgitt,prosent,1.39
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,vgs,personer,28134
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,0,vgs,prosent,1.99
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,grunnskole,personer,27595
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,grunnskole,prosent,1.95
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,ingen,personer,1502
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,ingen,prosent,0.11
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,universitet_og_hogskole,personer,42172
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,universitet_og_hogskole,prosent,2.98
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,uoppgitt,personer,36730
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,uoppgitt,prosent,2.59
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,vgs,personer,40534
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,1,vgs,prosent,2.86
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,grunnskole,personer,56250
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,grunnskole,prosent,3.97
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,ingen,personer,4104
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,ingen,prosent,0.29
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,universitet_og_hogskole,personer,90311
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,universitet_og_hogskole,prosent,6.37
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,uoppgitt,personer,56417
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,uoppgitt,prosent,3.98
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,vgs,personer,68668
utdanningsniva,2012,00,NULL,NULL,NULL,innvandrere,alle,vgs,prosent,4.85
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,grunnskole,personer,8471
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,grunnskole,prosent,10.95
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,ingen,personer,163
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,ingen,prosent,0.21
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,universitet_og_hogskole,personer,14189
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,universitet_og_hogskole,prosent,18.34
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,uoppgitt,personer,1038
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,uoppgitt,prosent,1.34
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,vgs,personer,14062
utdanningsniva,2012,01,NULL,NULL,NULL,alle,0,vgs,prosent,18.18
utdanningsniva,2012,01,NULL,NULL,NULL,alle,1,grunnskole,personer,9720
utdanningsniva,2012,01,NULL,NULL,NULL,alle,1,grunnskole,prosent,12.56
utdanningsniva,2012,01,NULL,NULL,NULL,alle,1,ingen,personer,88
utdanningsniva,2012,01,NULL,NULL,NULL,alle,1,ingen,prosent,0.11
