aar,naringsregion_nr,botid_5,tabellvariabel,tabell_navn,enhet
2006,01,0_4,135,sysselsatte_botid,personer
2006,01,10+,521,sysselsatte_botid,personer
2006,01,5_9,177,sysselsatte_botid,personer
2006,01,alle,833,sysselsatte_botid,personer
2006,02,0_4,431,sysselsatte_botid,personer
2006,02,10+,1017,sysselsatte_botid,personer
2006,02,5_9,412,sysselsatte_botid,personer
2006,02,alle,1860,sysselsatte_botid,personer
2006,03,0_4,418,sysselsatte_botid,personer
2006,03,10+,1252,sysselsatte_botid,personer
2006,03,5_9,350,sysselsatte_botid,personer
2006,03,alle,2020,sysselsatte_botid,personer
2006,04,0_4,888,sysselsatte_botid,personer
2006,04,10+,2335,sysselsatte_botid,personer
2006,04,5_9,991,sysselsatte_botid,personer
2006,04,alle,4214,sysselsatte_botid,personer
2006,05,0_4,2429,sysselsatte_botid,personer
2006,05,10+,5178,sysselsatte_botid,personer
2006,05,5_9,1834,sysselsatte_botid,personer
2006,05,alle,9441,sysselsatte_botid,personer
2006,06,0_4,1119,sysselsatte_botid,personer
2006,06,10+,3313,sysselsatte_botid,personer
2006,06,5_9,1040,sysselsatte_botid,personer
2006,06,alle,5472,sysselsatte_botid,personer
2006,07,0_4,1437,sysselsatte_botid,personer
2006,07,10+,4517,sysselsatte_botid,personer
2006,07,5_9,1464,sysselsatte_botid,personer
2006,07,alle,7418,sysselsatte_botid,personer
2006,08,0_4,677,sysselsatte_botid,personer
2006,08,10+,1385,sysselsatte_botid,personer
2006,08,5_9,635,sysselsatte_botid,personer
2006,08,alle,2697,sysselsatte_botid,personer
2006,09,0_4,13129,sysselsatte_botid,personer
2006,09,10+,28991,sysselsatte_botid,personer
2006,09,5_9,10507,sysselsatte_botid,personer
2006,09,alle,52627,sysselsatte_botid,personer
2006,10,0_4,92,sysselsatte_botid,personer
2006,10,10+,120,sysselsatte_botid,personer
2006,10,5_9,97,sysselsatte_botid,personer
2006,10,alle,309,sysselsatte_botid,personer
2006,11,0_4,215,sysselsatte_botid,personer
2006,11,10+,609,sysselsatte_botid,personer
2006,11,5_9,230,sysselsatte_botid,personer
2006,11,alle,1054,sysselsatte_botid,personer
2006,12,0_4,517,sysselsatte_botid,personer
2006,12,10+,962,sysselsatte_botid,personer
2006,12,5_9,347,sysselsatte_botid,personer
2006,12,alle,1826,sysselsatte_botid,personer
2006,13,0_4,170,sysselsatte_botid,personer
2006,13,10+,372,sysselsatte_botid,personer
2006,13,5_9,164,sysselsatte_botid,personer
2006,13,alle,706,sysselsatte_botid,personer
2006,14,0_4,360,sysselsatte_botid,personer
2006,14,10+,758,sysselsatte_botid,personer
2006,14,5_9,361,sysselsatte_botid,personer
2006,14,alle,1479,sysselsatte_botid,personer
