aar,kommune_nr,vreg_9,tabellvariabel,tabell_navn,enhet
2006,0121,eu_ost_europa,0,sysselsatte_land,personer
2006,0127,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0423,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0425,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,0426,ost_europa_ellers,0,sysselsatte_land,personer
2006,0429,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,0434,afrika,0,sysselsatte_land,personer
2006,0439,afrika,0,sysselsatte_land,personer
2006,0439,eu_ost_europa,0,sysselsatte_land,personer
2006,0513,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,0519,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0534,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0540,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0618,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,0621,afrika,0,sysselsatte_land,personer
2006,0631,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0631,ost_europa_ellers,0,sysselsatte_land,personer
2006,0633,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0714,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0819,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0827,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0827,vest_europa,0,sysselsatte_land,personer
2006,0829,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0834,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0834,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,0911,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0919,nord_amerika_oseania,0,sysselsatte_land,personer
2006,0928,afrika,0,sysselsatte_land,personer
2006,0929,afrika,0,sysselsatte_land,personer
2006,0938,afrika,0,sysselsatte_land,personer
2006,0938,ost_europa_ellers,0,sysselsatte_land,personer
2006,0940,afrika,0,sysselsatte_land,personer
2006,1026,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1029,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1046,afrika,0,sysselsatte_land,personer
2006,1145,asia,0,sysselsatte_land,personer
2006,1145,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1223,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1233,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1234,afrika,0,sysselsatte_land,personer
2006,1252,eu_ost_europa,0,sysselsatte_land,personer
2006,1252,ost_europa_ellers,0,sysselsatte_land,personer
2006,1252,vest_europa,0,sysselsatte_land,personer
2006,1265,asia,0,sysselsatte_land,personer
2006,1265,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1411,afrika,0,sysselsatte_land,personer
2006,1412,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1413,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1416,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1417,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1418,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1428,ost_europa_ellers,0,sysselsatte_land,personer
2006,1430,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1438,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1441,afrika,0,sysselsatte_land,personer
2006,1441,eu_ost_europa,0,sysselsatte_land,personer
2006,1441,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1511,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1517,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1531,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1545,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1556,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1557,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1567,eu_ost_europa,0,sysselsatte_land,personer
2006,1571,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1573,afrika,0,sysselsatte_land,personer
2006,1573,ost_europa_ellers,0,sysselsatte_land,personer
2006,1573,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1576,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1613,asia,0,sysselsatte_land,personer
2006,1621,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1624,afrika,0,sysselsatte_land,personer
2006,1627,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1632,norden,0,sysselsatte_land,personer
2006,1636,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1644,afrika,0,sysselsatte_land,personer
2006,1711,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1717,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1717,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1718,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1723,asia,0,sysselsatte_land,personer
2006,1723,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1723,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1725,asia,0,sysselsatte_land,personer
2006,1725,eu_ost_europa,0,sysselsatte_land,personer
2006,1725,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1736,ost_europa_ellers,0,sysselsatte_land,personer
2006,1738,asia,0,sysselsatte_land,personer
2006,1738,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1738,vest_europa,0,sysselsatte_land,personer
2006,1739,vest_europa,0,sysselsatte_land,personer
2006,1742,afrika,0,sysselsatte_land,personer
2006,1749,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1751,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1751,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1755,norden,0,sysselsatte_land,personer
2006,1755,ost_europa_ellers,0,sysselsatte_land,personer
2006,1811,norden,0,sysselsatte_land,personer
2006,1812,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,1813,nord_amerika_oseania,0,sysselsatte_land,personer
2006,1816,asia,0,sysselsatte_land,personer
