tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_4,kjonn,enhet,tabellvariabel
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,alle,alle,personer,225733
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,alle,alle,prosent,37.36
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,alle,1,personer,121239
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,alle,1,prosent,39.04
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,alle,0,personer,104494
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,alle,0,prosent,35.59
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,198978
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,38.6
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,106878
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,40.3
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,92100
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,36.81
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,innvandrere,alle,personer,17847
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,innvandrere,alle,prosent,26.54
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,innvandrere,1,personer,9707
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,innvandrere,1,prosent,28.33
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,innvandrere,0,personer,8140
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,innvandrere,0,prosent,24.69
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,8907
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,41.46
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,4653
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,42.05
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,4254
videregaende_deltakelse,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,40.83
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,alle,alle,personer,12777
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,alle,alle,prosent,39.55
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,alle,1,personer,6734
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,alle,1,prosent,40.32
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,alle,0,personer,6043
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,alle,0,prosent,38.72
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,10887
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,40.06
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,5715
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,40.91
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,5172
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,39.16
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,innvandrere,alle,personer,1356
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,innvandrere,alle,prosent,33.9
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,innvandrere,1,personer,721
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,innvandrere,1,prosent,34.39
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,innvandrere,0,personer,635
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,innvandrere,0,prosent,33.37
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,533
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,47.28
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,298
videregaende_deltakelse,2012-2014,01,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,47
