aar,bydel_nr,innvkat_3,kjonn,aldersinndeling_etter_grskole,tabellvariabel,tabell_navn,enhet
2006,00,alle,0,16_25,93621,ikke_arbutd_innvkat_alder,personer
2006,00,alle,0,26_66,52840,ikke_arbutd_innvkat_alder,personer
2006,00,alle,0,alle,146461,ikke_arbutd_innvkat_alder,personer
2006,00,alle,1,16_25,82255,ikke_arbutd_innvkat_alder,personer
2006,00,alle,1,26_66,34790,ikke_arbutd_innvkat_alder,personer
2006,00,alle,1,alle,117045,ikke_arbutd_innvkat_alder,personer
2006,00,alle,alle,16_25,175876,ikke_arbutd_innvkat_alder,personer
2006,00,alle,alle,26_66,87630,ikke_arbutd_innvkat_alder,personer
2006,00,alle,alle,alle,263506,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,0,16_25,84487,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,0,26_66,45724,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,0,alle,130211,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,1,16_25,74544,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,1,26_66,29516,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,1,alle,104060,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,alle,16_25,159031,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,alle,26_66,75240,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,alle,alle,234271,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,0,16_25,4345,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,0,26_66,5111,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,0,alle,9456,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,1,16_25,3633,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,1,26_66,3782,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,1,alle,7415,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,alle,16_25,7978,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,alle,26_66,8893,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,alle,alle,16871,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,0,16_25,1001,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,0,26_66,999,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,0,alle,2000,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,1,16_25,800,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,1,26_66,721,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,1,alle,1521,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,alle,16_25,1801,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,alle,26_66,1720,ikke_arbutd_innvkat_alder,personer
2006,030101,alle,alle,alle,3521,ikke_arbutd_innvkat_alder,personer
2006,030101,befolkningen_ellers,0,16_25,802,ikke_arbutd_innvkat_alder,personer
2006,030101,befolkningen_ellers,0,26_66,808,ikke_arbutd_innvkat_alder,personer
2006,030101,befolkningen_ellers,0,alle,1610,ikke_arbutd_innvkat_alder,personer
2006,030101,befolkningen_ellers,1,16_25,661,ikke_arbutd_innvkat_alder,personer
