aar,bydel_nr,botid_5,tabellvariabel,tabell_navn,enhet
2006,00,0_4,49727,sysselsatte_botid,personer
2006,00,10+,94311,sysselsatte_botid,personer
2006,00,5_9,37373,sysselsatte_botid,personer
2006,00,alle,181411,sysselsatte_botid,personer
2006,030101,0_4,1402,sysselsatte_botid,personer
2006,030101,10+,2249,sysselsatte_botid,personer
2006,030101,5_9,1007,sysselsatte_botid,personer
2006,030101,alle,4658,sysselsatte_botid,personer
2006,030102,0_4,1067,sysselsatte_botid,personer
2006,030102,10+,2035,sysselsatte_botid,personer
2006,030102,5_9,824,sysselsatte_botid,personer
2006,030102,alle,3926,sysselsatte_botid,personer
2006,030103,0_4,1386,sysselsatte_botid,personer
2006,030103,10+,2671,sysselsatte_botid,personer
2006,030103,5_9,1035,sysselsatte_botid,personer
2006,030103,alle,5092,sysselsatte_botid,personer
2006,030104,0_4,1369,sysselsatte_botid,personer
2006,030104,10+,2387,sysselsatte_botid,personer
2006,030104,5_9,1016,sysselsatte_botid,personer
2006,030104,alle,4772,sysselsatte_botid,personer
2006,030105,0_4,1044,sysselsatte_botid,personer
2006,030105,10+,1924,sysselsatte_botid,personer
2006,030105,5_9,710,sysselsatte_botid,personer
2006,030105,alle,3678,sysselsatte_botid,personer
2006,030106,0_4,954,sysselsatte_botid,personer
2006,030106,10+,2104,sysselsatte_botid,personer
2006,030106,5_9,802,sysselsatte_botid,personer
2006,030106,alle,3860,sysselsatte_botid,personer
2006,030107,0_4,822,sysselsatte_botid,personer
2006,030107,10+,1885,sysselsatte_botid,personer
2006,030107,5_9,604,sysselsatte_botid,personer
2006,030107,alle,3311,sysselsatte_botid,personer
2006,030108,0_4,1211,sysselsatte_botid,personer
2006,030108,10+,1723,sysselsatte_botid,personer
2006,030108,5_9,732,sysselsatte_botid,personer
2006,030108,alle,3666,sysselsatte_botid,personer
2006,030109,0_4,608,sysselsatte_botid,personer
2006,030109,10+,1563,sysselsatte_botid,personer
2006,030109,5_9,502,sysselsatte_botid,personer
2006,030109,alle,2673,sysselsatte_botid,personer
2006,030110,0_4,648,sysselsatte_botid,personer
2006,030110,10+,1726,sysselsatte_botid,personer
2006,030110,5_9,664,sysselsatte_botid,personer
2006,030110,alle,3038,sysselsatte_botid,personer
2006,030111,0_4,395,sysselsatte_botid,personer
2006,030111,10+,1065,sysselsatte_botid,personer
2006,030111,5_9,298,sysselsatte_botid,personer
2006,030111,alle,1758,sysselsatte_botid,personer
2006,030112,0_4,330,sysselsatte_botid,personer
2006,030112,10+,792,sysselsatte_botid,personer
2006,030112,5_9,255,sysselsatte_botid,personer
2006,030112,alle,1377,sysselsatte_botid,personer
2006,030113,0_4,376,sysselsatte_botid,personer
2006,030113,10+,1157,sysselsatte_botid,personer
2006,030113,5_9,386,sysselsatte_botid,personer
2006,030113,alle,1919,sysselsatte_botid,personer
2006,030114,0_4,230,sysselsatte_botid,personer
2006,030114,10+,803,sysselsatte_botid,personer
2006,030114,5_9,225,sysselsatte_botid,personer
2006,030114,alle,1258,sysselsatte_botid,personer
2006,030115,0_4,225,sysselsatte_botid,personer
2006,030115,10+,841,sysselsatte_botid,personer
2006,030115,5_9,238,sysselsatte_botid,personer
2006,030115,alle,1304,sysselsatte_botid,personer
2006,030116,0_4,129,sysselsatte_botid,personer
2006,030116,10+,690,sysselsatte_botid,personer
2006,030116,5_9,193,sysselsatte_botid,personer
2006,030116,alle,1012,sysselsatte_botid,personer
2006,030117,0_4,261,sysselsatte_botid,personer
2006,030117,10+,1167,sysselsatte_botid,personer
2006,030117,5_9,368,sysselsatte_botid,personer
2006,030117,alle,1796,sysselsatte_botid,personer
2006,030199,0_4,257,sysselsatte_botid,personer
2006,030199,10+,134,sysselsatte_botid,personer
2006,030199,5_9,84,sysselsatte_botid,personer
2006,030199,alle,475,sysselsatte_botid,personer
2007,00,0_4,68538,sysselsatte_botid,personer
2007,00,10+,101126,sysselsatte_botid,personer
2007,00,5_9,43444,sysselsatte_botid,personer
2007,00,alle,213108,sysselsatte_botid,personer
2007,030101,0_4,1877,sysselsatte_botid,personer
2007,030101,10+,2464,sysselsatte_botid,personer
2007,030101,5_9,1149,sysselsatte_botid,personer
2007,030101,alle,5490,sysselsatte_botid,personer
2007,030102,0_4,1350,sysselsatte_botid,personer
2007,030102,10+,2090,sysselsatte_botid,personer
2007,030102,5_9,884,sysselsatte_botid,personer
2007,030102,alle,4324,sysselsatte_botid,personer
2007,030103,0_4,1740,sysselsatte_botid,personer
2007,030103,10+,2885,sysselsatte_botid,personer
2007,030103,5_9,1143,sysselsatte_botid,personer
2007,030103,alle,5768,sysselsatte_botid,personer
2007,030104,0_4,1757,sysselsatte_botid,personer
2007,030104,10+,2586,sysselsatte_botid,personer
2007,030104,5_9,1118,sysselsatte_botid,personer
2007,030104,alle,5461,sysselsatte_botid,personer
2007,030105,0_4,1359,sysselsatte_botid,personer
2007,030105,10+,2112,sysselsatte_botid,personer
2007,030105,5_9,816,sysselsatte_botid,personer
2007,030105,alle,4287,sysselsatte_botid,personer
2007,030106,0_4,1356,sysselsatte_botid,personer
2007,030106,10+,2213,sysselsatte_botid,personer
2007,030106,5_9,856,sysselsatte_botid,personer
2007,030106,alle,4425,sysselsatte_botid,personer
2007,030107,0_4,1003,sysselsatte_botid,personer
2007,030107,10+,2001,sysselsatte_botid,personer
2007,030107,5_9,696,sysselsatte_botid,personer
2007,030107,alle,3700,sysselsatte_botid,personer
2007,030108,0_4,1478,sysselsatte_botid,personer
2007,030108,10+,1855,sysselsatte_botid,personer
2007,030108,5_9,836,sysselsatte_botid,personer
2007,030108,alle,4169,sysselsatte_botid,personer
2007,030109,0_4,702,sysselsatte_botid,personer
2007,030109,10+,1656,sysselsatte_botid,personer
2007,030109,5_9,599,sysselsatte_botid,personer
2007,030109,alle,2957,sysselsatte_botid,personer
2007,030110,0_4,774,sysselsatte_botid,personer
2007,030110,10+,1820,sysselsatte_botid,personer
2007,030110,5_9,740,sysselsatte_botid,personer
2007,030110,alle,3334,sysselsatte_botid,personer
2007,030111,0_4,506,sysselsatte_botid,personer
2007,030111,10+,1071,sysselsatte_botid,personer
2007,030111,5_9,350,sysselsatte_botid,personer
2007,030111,alle,1927,sysselsatte_botid,personer
2007,030112,0_4,446,sysselsatte_botid,personer
2007,030112,10+,851,sysselsatte_botid,personer
2007,030112,5_9,307,sysselsatte_botid,personer
2007,030112,alle,1604,sysselsatte_botid,personer
2007,030113,0_4,446,sysselsatte_botid,personer
2007,030113,10+,1203,sysselsatte_botid,personer
2007,030113,5_9,483,sysselsatte_botid,personer
2007,030113,alle,2132,sysselsatte_botid,personer
2007,030114,0_4,257,sysselsatte_botid,personer
2007,030114,10+,883,sysselsatte_botid,personer
2007,030114,5_9,289,sysselsatte_botid,personer
2007,030114,alle,1429,sysselsatte_botid,personer
2007,030115,0_4,221,sysselsatte_botid,personer
2007,030115,10+,936,sysselsatte_botid,personer
2007,030115,5_9,302,sysselsatte_botid,personer
2007,030115,alle,1459,sysselsatte_botid,personer
2007,030116,0_4,129,sysselsatte_botid,personer
2007,030116,10+,754,sysselsatte_botid,personer
2007,030116,5_9,217,sysselsatte_botid,personer
2007,030116,alle,1100,sysselsatte_botid,personer
2007,030117,0_4,317,sysselsatte_botid,personer
2007,030117,10+,1228,sysselsatte_botid,personer
2007,030117,5_9,401,sysselsatte_botid,personer
2007,030117,alle,1946,sysselsatte_botid,personer
2007,030199,0_4,223,sysselsatte_botid,personer
2007,030199,10+,149,sysselsatte_botid,personer
2007,030199,5_9,94,sysselsatte_botid,personer
2007,030199,alle,466,sysselsatte_botid,personer
2008,00,0_4,85751,sysselsatte_botid,personer
2008,00,10+,108140,sysselsatte_botid,personer
2008,00,5_9,47124,sysselsatte_botid,personer
2008,00,alle,241015,sysselsatte_botid,personer
2008,030101,0_4,2413,sysselsatte_botid,personer
2008,030101,10+,2684,sysselsatte_botid,personer
2008,030101,5_9,1157,sysselsatte_botid,personer
2008,030101,alle,6254,sysselsatte_botid,personer
2008,030102,0_4,1857,sysselsatte_botid,personer
2008,030102,10+,2272,sysselsatte_botid,personer
2008,030102,5_9,937,sysselsatte_botid,personer
2008,030102,alle,5066,sysselsatte_botid,personer
2008,030103,0_4,2113,sysselsatte_botid,personer
2008,030103,10+,3003,sysselsatte_botid,personer
2008,030103,5_9,1150,sysselsatte_botid,personer
2008,030103,alle,6266,sysselsatte_botid,personer
2008,030104,0_4,2086,sysselsatte_botid,personer
2008,030104,10+,2762,sysselsatte_botid,personer
2008,030104,5_9,1163,sysselsatte_botid,personer
2008,030104,alle,6011,sysselsatte_botid,personer
2008,030105,0_4,1726,sysselsatte_botid,personer
2008,030105,10+,2294,sysselsatte_botid,personer
2008,030105,5_9,890,sysselsatte_botid,personer
2008,030105,alle,4910,sysselsatte_botid,personer
2008,030106,0_4,1637,sysselsatte_botid,personer
2008,030106,10+,2281,sysselsatte_botid,personer
2008,030106,5_9,886,sysselsatte_botid,personer
2008,030106,alle,4804,sysselsatte_botid,personer
2008,030107,0_4,1258,sysselsatte_botid,personer
2008,030107,10+,2138,sysselsatte_botid,personer
2008,030107,5_9,719,sysselsatte_botid,personer
2008,030107,alle,4115,sysselsatte_botid,personer
2008,030108,0_4,1827,sysselsatte_botid,personer
2008,030108,10+,1989,sysselsatte_botid,personer
2008,030108,5_9,854,sysselsatte_botid,personer
2008,030108,alle,4670,sysselsatte_botid,personer
2008,030109,0_4,915,sysselsatte_botid,personer
2008,030109,10+,1775,sysselsatte_botid,personer
2008,030109,5_9,599,sysselsatte_botid,personer
2008,030109,alle,3289,sysselsatte_botid,personer
2008,030110,0_4,783,sysselsatte_botid,personer
2008,030110,10+,1914,sysselsatte_botid,personer
2008,030110,5_9,687,sysselsatte_botid,personer
2008,030110,alle,3384,sysselsatte_botid,personer
2008,030111,0_4,622,sysselsatte_botid,personer
2008,030111,10+,1179,sysselsatte_botid,personer
2008,030111,5_9,367,sysselsatte_botid,personer
2008,030111,alle,2168,sysselsatte_botid,personer
2008,030112,0_4,529,sysselsatte_botid,personer
2008,030112,10+,875,sysselsatte_botid,personer
2008,030112,5_9,323,sysselsatte_botid,personer
2008,030112,alle,1727,sysselsatte_botid,personer
2008,030113,0_4,555,sysselsatte_botid,personer
2008,030113,10+,1308,sysselsatte_botid,personer
2008,030113,5_9,507,sysselsatte_botid,personer
2008,030113,alle,2370,sysselsatte_botid,personer
2008,030114,0_4,297,sysselsatte_botid,personer
2008,030114,10+,992,sysselsatte_botid,personer
2008,030114,5_9,327,sysselsatte_botid,personer
2008,030114,alle,1616,sysselsatte_botid,personer
2008,030115,0_4,275,sysselsatte_botid,personer
2008,030115,10+,1018,sysselsatte_botid,personer
2008,030115,5_9,335,sysselsatte_botid,personer
2008,030115,alle,1628,sysselsatte_botid,personer
2008,030116,0_4,180,sysselsatte_botid,personer
2008,030116,10+,781,sysselsatte_botid,personer
2008,030116,5_9,220,sysselsatte_botid,personer
2008,030116,alle,1181,sysselsatte_botid,personer
2008,030117,0_4,316,sysselsatte_botid,personer
