aar,kommune_nr,innvkat_2,tabellvariabel,tabell_navn,enhet
2006,0000,alle,2388660,sysselsatte_innvkat,personer
2006,0000,befolkningen_ellers,2207249,sysselsatte_innvkat,personer
2006,0000,innvandrere,181411,sysselsatte_innvkat,personer
2006,0101,alle,13148,sysselsatte_innvkat,personer
2006,0101,befolkningen_ellers,12315,sysselsatte_innvkat,personer
2006,0101,innvandrere,833,sysselsatte_innvkat,personer
2006,0104,alle,13887,sysselsatte_innvkat,personer
2006,0104,befolkningen_ellers,12572,sysselsatte_innvkat,personer
2006,0104,innvandrere,1315,sysselsatte_innvkat,personer
2006,0105,alle,24306,sysselsatte_innvkat,personer
2006,0105,befolkningen_ellers,22522,sysselsatte_innvkat,personer
2006,0105,innvandrere,1784,sysselsatte_innvkat,personer
2006,0106,alle,34292,sysselsatte_innvkat,personer
2006,0106,befolkningen_ellers,31918,sysselsatte_innvkat,personer
2006,0106,innvandrere,2374,sysselsatte_innvkat,personer
2006,0111,alle,1964,sysselsatte_innvkat,personer
2006,0111,befolkningen_ellers,1908,sysselsatte_innvkat,personer
2006,0111,innvandrere,56,sysselsatte_innvkat,personer
2006,0118,alle,720,sysselsatte_innvkat,personer
2006,0118,befolkningen_ellers,701,sysselsatte_innvkat,personer
2006,0118,innvandrere,19,sysselsatte_innvkat,personer
2006,0119,alle,1735,sysselsatte_innvkat,personer
2006,0119,befolkningen_ellers,1650,sysselsatte_innvkat,personer
2006,0119,innvandrere,85,sysselsatte_innvkat,personer
2006,0121,alle,321,sysselsatte_innvkat,personer
2006,0121,befolkningen_ellers,302,sysselsatte_innvkat,personer
2006,0121,innvandrere,19,sysselsatte_innvkat,personer
2006,0122,alle,2593,sysselsatte_innvkat,personer
2006,0122,befolkningen_ellers,2478,sysselsatte_innvkat,personer
2006,0122,innvandrere,115,sysselsatte_innvkat,personer
2006,0123,alle,2552,sysselsatte_innvkat,personer
2006,0123,befolkningen_ellers,2458,sysselsatte_innvkat,personer
2006,0123,innvandrere,94,sysselsatte_innvkat,personer
2006,0124,alle,6977,sysselsatte_innvkat,personer
2006,0124,befolkningen_ellers,6219,sysselsatte_innvkat,personer
2006,0124,innvandrere,758,sysselsatte_innvkat,personer
2006,0125,alle,5186,sysselsatte_innvkat,personer
2006,0125,befolkningen_ellers,4869,sysselsatte_innvkat,personer
2006,0125,innvandrere,317,sysselsatte_innvkat,personer
2006,0127,alle,1786,sysselsatte_innvkat,personer
2006,0127,befolkningen_ellers,1640,sysselsatte_innvkat,personer
2006,0127,innvandrere,146,sysselsatte_innvkat,personer
2006,0128,alle,3742,sysselsatte_innvkat,personer
2006,0128,befolkningen_ellers,3591,sysselsatte_innvkat,personer
2006,0128,innvandrere,151,sysselsatte_innvkat,personer
2006,0135,alle,3411,sysselsatte_innvkat,personer
2006,0135,befolkningen_ellers,3285,sysselsatte_innvkat,personer
2006,0135,innvandrere,126,sysselsatte_innvkat,personer
2006,0136,alle,6872,sysselsatte_innvkat,personer
2006,0136,befolkningen_ellers,6410,sysselsatte_innvkat,personer
2006,0136,innvandrere,462,sysselsatte_innvkat,personer
2006,0137,alle,2217,sysselsatte_innvkat,personer
2006,0137,befolkningen_ellers,2100,sysselsatte_innvkat,personer
2006,0137,innvandrere,117,sysselsatte_innvkat,personer
2006,0138,alle,2386,sysselsatte_innvkat,personer
2006,0138,befolkningen_ellers,2230,sysselsatte_innvkat,personer
2006,0138,innvandrere,156,sysselsatte_innvkat,personer
2006,0211,alle,7241,sysselsatte_innvkat,personer
2006,0211,befolkningen_ellers,6661,sysselsatte_innvkat,personer
2006,0211,innvandrere,580,sysselsatte_innvkat,personer
2006,0213,alle,14312,sysselsatte_innvkat,personer
2006,0213,befolkningen_ellers,13014,sysselsatte_innvkat,personer
2006,0213,innvandrere,1298,sysselsatte_innvkat,personer
2006,0214,alle,7661,sysselsatte_innvkat,personer
2006,0214,befolkningen_ellers,6786,sysselsatte_innvkat,personer
2006,0214,innvandrere,875,sysselsatte_innvkat,personer
2006,0215,alle,7162,sysselsatte_innvkat,personer
2006,0215,befolkningen_ellers,6658,sysselsatte_innvkat,personer
2006,0215,innvandrere,504,sysselsatte_innvkat,personer
2006,0216,alle,8554,sysselsatte_innvkat,personer
2006,0216,befolkningen_ellers,7758,sysselsatte_innvkat,personer
