kommune_nr,botid_5,aar,tabellvariabel,tabellnavn,enhet
0101,0_4,2006,135,sysselsatte_botid,personer
0101,10+,2006,1477,sysselsatte_botid,personer
0101,5_9,2006,179,sysselsatte_botid,personer
0101,alle,2006,1791,sysselsatte_botid,personer
0104,0_4,2006,280,sysselsatte_botid,personer
0104,10+,2006,1926,sysselsatte_botid,personer
0104,5_9,2006,229,sysselsatte_botid,personer
0104,alle,2006,2435,sysselsatte_botid,personer
0105,0_4,2006,461,sysselsatte_botid,personer
0105,10+,2006,2274,sysselsatte_botid,personer
0105,5_9,2006,365,sysselsatte_botid,personer
0105,alle,2006,3100,sysselsatte_botid,personer
0106,0_4,2006,420,sysselsatte_botid,personer
0106,10+,2006,3256,sysselsatte_botid,personer
0106,5_9,2006,618,sysselsatte_botid,personer
0106,alle,2006,4294,sysselsatte_botid,personer
0111,0_4,2006,9,sysselsatte_botid,personer
0111,10+,2006,119,sysselsatte_botid,personer
0111,5_9,2006,14,sysselsatte_botid,personer
0111,alle,2006,142,sysselsatte_botid,personer
0118,0_4,2006,3,sysselsatte_botid,personer
0118,10+,2006,58,sysselsatte_botid,personer
0118,alle,2006,63,sysselsatte_botid,personer
0119,0_4,2006,17,sysselsatte_botid,personer
0119,10+,2006,127,sysselsatte_botid,personer
0119,5_9,2006,23,sysselsatte_botid,personer
0119,alle,2006,167,sysselsatte_botid,personer
0121,10+,2006,32,sysselsatte_botid,personer
0121,5_9,2006,6,sysselsatte_botid,personer
0121,alle,2006,40,sysselsatte_botid,personer
0122,0_4,2006,32,sysselsatte_botid,personer
0122,10+,2006,163,sysselsatte_botid,personer
0122,5_9,2006,28,sysselsatte_botid,personer
0122,alle,2006,223,sysselsatte_botid,personer
0123,0_4,2006,17,sysselsatte_botid,personer
0123,10+,2006,186,sysselsatte_botid,personer
0123,5_9,2006,22,sysselsatte_botid,personer
0123,alle,2006,225,sysselsatte_botid,personer
0124,0_4,2006,125,sysselsatte_botid,personer
0124,10+,2006,876,sysselsatte_botid,personer
0124,5_9,2006,163,sysselsatte_botid,personer
0124,alle,2006,1164,sysselsatte_botid,personer
0125,0_4,2006,68,sysselsatte_botid,personer
0125,10+,2006,377,sysselsatte_botid,personer
0125,5_9,2006,89,sysselsatte_botid,personer
0125,alle,2006,534,sysselsatte_botid,personer
0127,0_4,2006,96,sysselsatte_botid,personer
0127,10+,2006,98,sysselsatte_botid,personer
0127,5_9,2006,18,sysselsatte_botid,personer
0127,alle,2006,212,sysselsatte_botid,personer
0128,0_4,2006,39,sysselsatte_botid,personer
0128,10+,2006,212,sysselsatte_botid,personer
0128,5_9,2006,33,sysselsatte_botid,personer
0128,alle,2006,284,sysselsatte_botid,personer
0135,0_4,2006,40,sysselsatte_botid,personer
0135,10+,2006,214,sysselsatte_botid,personer
0135,5_9,2006,21,sysselsatte_botid,personer
0135,alle,2006,275,sysselsatte_botid,personer
0136,0_4,2006,71,sysselsatte_botid,personer
0136,10+,2006,777,sysselsatte_botid,personer
0136,5_9,2006,87,sysselsatte_botid,personer
0136,alle,2006,935,sysselsatte_botid,personer
0137,0_4,2006,30,sysselsatte_botid,personer
0137,10+,2006,181,sysselsatte_botid,personer
0137,5_9,2006,17,sysselsatte_botid,personer
