aar,fylke_nr,innvkat_2,arbeidsalder_18_69,tabellvariabel,tabell_navn,enhet
2006,00,alle,18_29,508863,sysselsatte_innvkat_alder,personer
2006,00,alle,30_54,1388102,sysselsatte_innvkat_alder,personer
2006,00,alle,55_69,433717,sysselsatte_innvkat_alder,personer
2006,00,alle,alle,2388660,sysselsatte_innvkat_alder,personer
2006,00,befolkningen_ellers,18_29,465256,sysselsatte_innvkat_alder,personer
2006,00,befolkningen_ellers,30_54,1270607,sysselsatte_innvkat_alder,personer
2006,00,befolkningen_ellers,55_69,415181,sysselsatte_innvkat_alder,personer
2006,00,befolkningen_ellers,alle,2207249,sysselsatte_innvkat_alder,personer
2006,00,innvandrere,18_29,43607,sysselsatte_innvkat_alder,personer
2006,00,innvandrere,30_54,117495,sysselsatte_innvkat_alder,personer
2006,00,innvandrere,55_69,18536,sysselsatte_innvkat_alder,personer
2006,00,innvandrere,alle,181411,sysselsatte_innvkat_alder,personer
2006,01,alle,18_29,25637,sysselsatte_innvkat_alder,personer
2006,01,alle,30_54,74971,sysselsatte_innvkat_alder,personer
2006,01,alle,55_69,24347,sysselsatte_innvkat_alder,personer
2006,01,alle,alle,128095,sysselsatte_innvkat_alder,personer
2006,01,befolkningen_ellers,18_29,23592,sysselsatte_innvkat_alder,personer
2006,01,befolkningen_ellers,30_54,69270,sysselsatte_innvkat_alder,personer
2006,01,befolkningen_ellers,55_69,23273,sysselsatte_innvkat_alder,personer
2006,01,befolkningen_ellers,alle,119168,sysselsatte_innvkat_alder,personer
2006,01,innvandrere,18_29,2045,sysselsatte_innvkat_alder,personer
2006,01,innvandrere,30_54,5701,sysselsatte_innvkat_alder,personer
2006,01,innvandrere,55_69,1074,sysselsatte_innvkat_alder,personer
2006,01,innvandrere,alle,8927,sysselsatte_innvkat_alder,personer
2006,02,alle,18_29,47470,sysselsatte_innvkat_alder,personer
2006,02,alle,30_54,163035,sysselsatte_innvkat_alder,personer
2006,02,alle,55_69,49749,sysselsatte_innvkat_alder,personer
2006,02,alle,alle,266713,sysselsatte_innvkat_alder,personer
2006,02,befolkningen_ellers,18_29,42378,sysselsatte_innvkat_alder,personer
2006,02,befolkningen_ellers,30_54,146303,sysselsatte_innvkat_alder,personer
2006,02,befolkningen_ellers,55_69,46795,sysselsatte_innvkat_alder,personer
2006,02,befolkningen_ellers,alle,241685,sysselsatte_innvkat_alder,personer
2006,02,innvandrere,18_29,5092,sysselsatte_innvkat_alder,personer
2006,02,innvandrere,30_54,16732,sysselsatte_innvkat_alder,personer
2006,02,innvandrere,55_69,2954,sysselsatte_innvkat_alder,personer
2006,02,innvandrere,alle,25028,sysselsatte_innvkat_alder,personer
2006,03,alle,18_29,75100,sysselsatte_innvkat_alder,personer
2006,03,alle,30_54,170103,sysselsatte_innvkat_alder,personer
2006,03,alle,55_69,43961,sysselsatte_innvkat_alder,personer
2006,03,alle,alle,293422,sysselsatte_innvkat_alder,personer
2006,03,befolkningen_ellers,18_29,60340,sysselsatte_innvkat_alder,personer
2006,03,befolkningen_ellers,30_54,136931,sysselsatte_innvkat_alder,personer
2006,03,befolkningen_ellers,55_69,39651,sysselsatte_innvkat_alder,personer
2006,03,befolkningen_ellers,alle,240795,sysselsatte_innvkat_alder,personer
2006,03,innvandrere,18_29,14760,sysselsatte_innvkat_alder,personer
2006,03,innvandrere,30_54,33172,sysselsatte_innvkat_alder,personer
2006,03,innvandrere,55_69,4310,sysselsatte_innvkat_alder,personer
2006,03,innvandrere,alle,52627,sysselsatte_innvkat_alder,personer
2006,04,alle,18_29,17351,sysselsatte_innvkat_alder,personer
2006,04,alle,30_54,52906,sysselsatte_innvkat_alder,personer
2006,04,alle,55_69,19283,sysselsatte_innvkat_alder,personer
2006,04,alle,alle,91809,sysselsatte_innvkat_alder,personer
2006,04,befolkningen_ellers,18_29,16527,sysselsatte_innvkat_alder,personer
2006,04,befolkningen_ellers,30_54,50419,sysselsatte_innvkat_alder,personer
2006,04,befolkningen_ellers,55_69,18761,sysselsatte_innvkat_alder,personer
2006,04,befolkningen_ellers,alle,87914,sysselsatte_innvkat_alder,personer
2006,04,innvandrere,18_29,824,sysselsatte_innvkat_alder,personer
2006,04,innvandrere,30_54,2487,sysselsatte_innvkat_alder,personer
2006,04,innvandrere,55_69,522,sysselsatte_innvkat_alder,personer
2006,04,innvandrere,alle,3895,sysselsatte_innvkat_alder,personer
2006,05,alle,18_29,17784,sysselsatte_innvkat_alder,personer
2006,05,alle,30_54,53614,sysselsatte_innvkat_alder,personer
2006,05,alle,55_69,19246,sysselsatte_innvkat_alder,personer
2006,05,alle,alle,93253,sysselsatte_innvkat_alder,personer
2006,05,befolkningen_ellers,18_29,16927,sysselsatte_innvkat_alder,personer
2006,05,befolkningen_ellers,30_54,51148,sysselsatte_innvkat_alder,personer
2006,05,befolkningen_ellers,55_69,18791,sysselsatte_innvkat_alder,personer
2006,05,befolkningen_ellers,alle,89425,sysselsatte_innvkat_alder,personer
2006,05,innvandrere,18_29,857,sysselsatte_innvkat_alder,personer
2006,05,innvandrere,30_54,2466,sysselsatte_innvkat_alder,personer
2006,05,innvandrere,55_69,455,sysselsatte_innvkat_alder,personer
2006,05,innvandrere,alle,3828,sysselsatte_innvkat_alder,personer
2006,06,alle,18_29,24814,sysselsatte_innvkat_alder,personer
2006,06,alle,30_54,74507,sysselsatte_innvkat_alder,personer
2006,06,alle,55_69,25278,sysselsatte_innvkat_alder,personer
2006,06,alle,alle,127944,sysselsatte_innvkat_alder,personer
2006,06,befolkningen_ellers,18_29,22445,sysselsatte_innvkat_alder,personer
2006,06,befolkningen_ellers,30_54,67688,sysselsatte_innvkat_alder,personer
2006,06,befolkningen_ellers,55_69,24159,sysselsatte_innvkat_alder,personer
2006,06,befolkningen_ellers,alle,117518,sysselsatte_innvkat_alder,personer
2006,06,innvandrere,18_29,2369,sysselsatte_innvkat_alder,personer
2006,06,innvandrere,30_54,6819,sysselsatte_innvkat_alder,personer
2006,06,innvandrere,55_69,1119,sysselsatte_innvkat_alder,personer
2006,06,innvandrere,alle,10426,sysselsatte_innvkat_alder,personer
2006,07,alle,18_29,21945,sysselsatte_innvkat_alder,personer
2006,07,alle,30_54,64296,sysselsatte_innvkat_alder,personer
2006,07,alle,55_69,20854,sysselsatte_innvkat_alder,personer
2006,07,alle,alle,110169,sysselsatte_innvkat_alder,personer
2006,07,befolkningen_ellers,18_29,20405,sysselsatte_innvkat_alder,personer
2006,07,befolkningen_ellers,30_54,59804,sysselsatte_innvkat_alder,personer
2006,07,befolkningen_ellers,55_69,20004,sysselsatte_innvkat_alder,personer
2006,07,befolkningen_ellers,alle,103174,sysselsatte_innvkat_alder,personer
2006,07,innvandrere,18_29,1540,sysselsatte_innvkat_alder,personer
2006,07,innvandrere,30_54,4492,sysselsatte_innvkat_alder,personer
2006,07,innvandrere,55_69,850,sysselsatte_innvkat_alder,personer
2006,07,innvandrere,alle,6995,sysselsatte_innvkat_alder,personer
2006,08,alle,18_29,16212,sysselsatte_innvkat_alder,personer
2006,08,alle,30_54,46716,sysselsatte_innvkat_alder,personer
2006,08,alle,55_69,16070,sysselsatte_innvkat_alder,personer
2006,08,alle,alle,81098,sysselsatte_innvkat_alder,personer
2006,08,befolkningen_ellers,18_29,15277,sysselsatte_innvkat_alder,personer
2006,08,befolkningen_ellers,30_54,43924,sysselsatte_innvkat_alder,personer
2006,08,befolkningen_ellers,55_69,15530,sysselsatte_innvkat_alder,personer
2006,08,befolkningen_ellers,alle,76761,sysselsatte_innvkat_alder,personer
2006,08,innvandrere,18_29,935,sysselsatte_innvkat_alder,personer
2006,08,innvandrere,30_54,2792,sysselsatte_innvkat_alder,personer
2006,08,innvandrere,55_69,540,sysselsatte_innvkat_alder,personer
2006,08,innvandrere,alle,4337,sysselsatte_innvkat_alder,personer
2006,09,alle,18_29,10678,sysselsatte_innvkat_alder,personer
2006,09,alle,30_54,29114,sysselsatte_innvkat_alder,personer
2006,09,alle,55_69,9596,sysselsatte_innvkat_alder,personer
2006,09,alle,alle,50806,sysselsatte_innvkat_alder,personer
2006,09,befolkningen_ellers,18_29,10171,sysselsatte_innvkat_alder,personer
2006,09,befolkningen_ellers,30_54,27468,sysselsatte_innvkat_alder,personer
2006,09,befolkningen_ellers,55_69,9227,sysselsatte_innvkat_alder,personer
2006,09,befolkningen_ellers,alle,48245,sysselsatte_innvkat_alder,personer
2006,09,innvandrere,18_29,507,sysselsatte_innvkat_alder,personer
2006,09,innvandrere,30_54,1646,sysselsatte_innvkat_alder,personer
2006,09,innvandrere,55_69,369,sysselsatte_innvkat_alder,personer
2006,09,innvandrere,alle,2561,sysselsatte_innvkat_alder,personer
2006,10,alle,18_29,18466,sysselsatte_innvkat_alder,personer
2006,10,alle,30_54,45726,sysselsatte_innvkat_alder,personer
2006,10,alle,55_69,13907,sysselsatte_innvkat_alder,personer
2006,10,alle,alle,80503,sysselsatte_innvkat_alder,personer
2006,10,befolkningen_ellers,18_29,17190,sysselsatte_innvkat_alder,personer
2006,10,befolkningen_ellers,30_54,42245,sysselsatte_innvkat_alder,personer
2006,10,befolkningen_ellers,55_69,13249,sysselsatte_innvkat_alder,personer
2006,10,befolkningen_ellers,alle,75009,sysselsatte_innvkat_alder,personer
2006,10,innvandrere,18_29,1276,sysselsatte_innvkat_alder,personer
2006,10,innvandrere,30_54,3481,sysselsatte_innvkat_alder,personer
2006,10,innvandrere,55_69,658,sysselsatte_innvkat_alder,personer
2006,10,innvandrere,alle,5494,sysselsatte_innvkat_alder,personer
2006,11,alle,18_29,50012,sysselsatte_innvkat_alder,personer
2006,11,alle,30_54,122400,sysselsatte_innvkat_alder,personer
2006,11,alle,55_69,33438,sysselsatte_innvkat_alder,personer
2006,11,alle,alle,211677,sysselsatte_innvkat_alder,personer
2006,11,befolkningen_ellers,18_29,46326,sysselsatte_innvkat_alder,personer
2006,11,befolkningen_ellers,30_54,111884,sysselsatte_innvkat_alder,personer
2006,11,befolkningen_ellers,55_69,31853,sysselsatte_innvkat_alder,personer
2006,11,befolkningen_ellers,alle,195766,sysselsatte_innvkat_alder,personer
2006,11,innvandrere,18_29,3686,sysselsatte_innvkat_alder,personer
2006,11,innvandrere,30_54,10516,sysselsatte_innvkat_alder,personer
2006,11,innvandrere,55_69,1585,sysselsatte_innvkat_alder,personer
2006,11,innvandrere,alle,15911,sysselsatte_innvkat_alder,personer
2006,12,alle,18_29,53594,sysselsatte_innvkat_alder,personer
2006,12,alle,30_54,134202,sysselsatte_innvkat_alder,personer
2006,12,alle,55_69,41286,sysselsatte_innvkat_alder,personer
2006,12,alle,alle,234618,sysselsatte_innvkat_alder,personer
2006,12,befolkningen_ellers,18_29,50238,sysselsatte_innvkat_alder,personer
2006,12,befolkningen_ellers,30_54,125138,sysselsatte_innvkat_alder,personer
2006,12,befolkningen_ellers,55_69,39951,sysselsatte_innvkat_alder,personer
2006,12,befolkningen_ellers,alle,220751,sysselsatte_innvkat_alder,personer
2006,12,innvandrere,18_29,3356,sysselsatte_innvkat_alder,personer
2006,12,innvandrere,30_54,9064,sysselsatte_innvkat_alder,personer
2006,12,innvandrere,55_69,1335,sysselsatte_innvkat_alder,personer
2006,12,innvandrere,alle,13867,sysselsatte_innvkat_alder,personer
2006,14,alle,18_29,11307,sysselsatte_innvkat_alder,personer
2006,14,alle,30_54,31097,sysselsatte_innvkat_alder,personer
2006,14,alle,55_69,10910,sysselsatte_innvkat_alder,personer
2006,14,alle,alle,55157,sysselsatte_innvkat_alder,personer
2006,14,befolkningen_ellers,18_29,10836,sysselsatte_innvkat_alder,personer
2006,14,befolkningen_ellers,30_54,29441,sysselsatte_innvkat_alder,personer
2006,14,befolkningen_ellers,55_69,10675,sysselsatte_innvkat_alder,personer
2006,14,befolkningen_ellers,alle,52773,sysselsatte_innvkat_alder,personer
2006,14,innvandrere,18_29,471,sysselsatte_innvkat_alder,personer
2006,14,innvandrere,30_54,1656,sysselsatte_innvkat_alder,personer
2006,14,innvandrere,55_69,235,sysselsatte_innvkat_alder,personer
2006,14,innvandrere,alle,2384,sysselsatte_innvkat_alder,personer
2006,15,alle,18_29,26230,sysselsatte_innvkat_alder,personer
2006,15,alle,30_54,71439,sysselsatte_innvkat_alder,personer
2006,15,alle,55_69,24667,sysselsatte_innvkat_alder,personer
2006,15,alle,alle,125793,sysselsatte_innvkat_alder,personer
2006,15,befolkningen_ellers,18_29,25020,sysselsatte_innvkat_alder,personer
2006,15,befolkningen_ellers,30_54,67847,sysselsatte_innvkat_alder,personer
2006,15,befolkningen_ellers,55_69,24156,sysselsatte_innvkat_alder,personer
2006,15,befolkningen_ellers,alle,120433,sysselsatte_innvkat_alder,personer
2006,15,innvandrere,18_29,1210,sysselsatte_innvkat_alder,personer
2006,15,innvandrere,30_54,3592,sysselsatte_innvkat_alder,personer
2006,15,innvandrere,55_69,511,sysselsatte_innvkat_alder,personer
2006,15,innvandrere,alle,5360,sysselsatte_innvkat_alder,personer
2006,16,alle,18_29,32236,sysselsatte_innvkat_alder,personer
2006,16,alle,30_54,83427,sysselsatte_innvkat_alder,personer
2006,16,alle,55_69,25544,sysselsatte_innvkat_alder,personer
2006,16,alle,alle,144020,sysselsatte_innvkat_alder,personer
2006,16,befolkningen_ellers,18_29,30242,sysselsatte_innvkat_alder,personer
2006,16,befolkningen_ellers,30_54,78624,sysselsatte_innvkat_alder,personer
2006,16,befolkningen_ellers,55_69,24876,sysselsatte_innvkat_alder,personer
2006,16,befolkningen_ellers,alle,136485,sysselsatte_innvkat_alder,personer
2006,16,innvandrere,18_29,1994,sysselsatte_innvkat_alder,personer
2006,16,innvandrere,30_54,4803,sysselsatte_innvkat_alder,personer
2006,16,innvandrere,55_69,668,sysselsatte_innvkat_alder,personer
2006,16,innvandrere,alle,7535,sysselsatte_innvkat_alder,personer
2006,17,alle,18_29,12683,sysselsatte_innvkat_alder,personer
2006,17,alle,30_54,36527,sysselsatte_innvkat_alder,personer
2006,17,alle,55_69,12881,sysselsatte_innvkat_alder,personer
2006,17,alle,alle,63558,sysselsatte_innvkat_alder,personer
2006,17,befolkningen_ellers,18_29,12313,sysselsatte_innvkat_alder,personer
2006,17,befolkningen_ellers,30_54,35336,sysselsatte_innvkat_alder,personer
2006,17,befolkningen_ellers,55_69,12693,sysselsatte_innvkat_alder,personer
2006,17,befolkningen_ellers,alle,61799,sysselsatte_innvkat_alder,personer
2006,17,innvandrere,18_29,370,sysselsatte_innvkat_alder,personer
2006,17,innvandrere,30_54,1191,sysselsatte_innvkat_alder,personer
2006,17,innvandrere,55_69,188,sysselsatte_innvkat_alder,personer
2006,17,innvandrere,alle,1759,sysselsatte_innvkat_alder,personer
2006,18,alle,18_29,22971,sysselsatte_innvkat_alder,personer
2006,18,alle,30_54,66813,sysselsatte_innvkat_alder,personer
2006,18,alle,55_69,21727,sysselsatte_innvkat_alder,personer
2006,18,alle,alle,114524,sysselsatte_innvkat_alder,personer
2006,18,befolkningen_ellers,18_29,22114,sysselsatte_innvkat_alder,personer
2006,18,befolkningen_ellers,30_54,64162,sysselsatte_innvkat_alder,personer
2006,18,befolkningen_ellers,55_69,21268,sysselsatte_innvkat_alder,personer
2006,18,befolkningen_ellers,alle,110515,sysselsatte_innvkat_alder,personer
2006,18,innvandrere,18_29,857,sysselsatte_innvkat_alder,personer
2006,18,innvandrere,30_54,2651,sysselsatte_innvkat_alder,personer
2006,18,innvandrere,55_69,459,sysselsatte_innvkat_alder,personer
2006,18,innvandrere,alle,4009,sysselsatte_innvkat_alder,personer
2006,19,alle,18_29,16937,sysselsatte_innvkat_alder,personer
2006,19,alle,30_54,45843,sysselsatte_innvkat_alder,personer
2006,19,alle,55_69,14347,sysselsatte_innvkat_alder,personer
2006,19,alle,alle,79037,sysselsatte_innvkat_alder,personer
2006,19,befolkningen_ellers,18_29,15986,sysselsatte_innvkat_alder,personer
2006,19,befolkningen_ellers,30_54,43186,sysselsatte_innvkat_alder,personer
2006,19,befolkningen_ellers,55_69,13957,sysselsatte_innvkat_alder,personer
2006,19,befolkningen_ellers,alle,74996,sysselsatte_innvkat_alder,personer
2006,19,innvandrere,18_29,951,sysselsatte_innvkat_alder,personer
2006,19,innvandrere,30_54,2657,sysselsatte_innvkat_alder,personer
2006,19,innvandrere,55_69,390,sysselsatte_innvkat_alder,personer
2006,19,innvandrere,alle,4041,sysselsatte_innvkat_alder,personer
2006,20,alle,18_29,7436,sysselsatte_innvkat_alder,personer
2006,20,alle,30_54,21366,sysselsatte_innvkat_alder,personer
2006,20,alle,55_69,6626,sysselsatte_innvkat_alder,personer
2006,20,alle,alle,36464,sysselsatte_innvkat_alder,personer
2006,20,befolkningen_ellers,18_29,6929,sysselsatte_innvkat_alder,personer
2006,20,befolkningen_ellers,30_54,19789,sysselsatte_innvkat_alder,personer
2006,20,befolkningen_ellers,55_69,6312,sysselsatte_innvkat_alder,personer
2006,20,befolkningen_ellers,alle,34037,sysselsatte_innvkat_alder,personer
2006,20,innvandrere,18_29,507,sysselsatte_innvkat_alder,personer
2006,20,innvandrere,30_54,1577,sysselsatte_innvkat_alder,personer
2006,20,innvandrere,55_69,314,sysselsatte_innvkat_alder,personer
2006,20,innvandrere,alle,2427,sysselsatte_innvkat_alder,personer
2007,00,alle,18_29,541745,sysselsatte_innvkat_alder,personer
2007,00,alle,30_54,1407287,sysselsatte_innvkat_alder,personer
2007,00,alle,55_69,456121,sysselsatte_innvkat_alder,personer
2007,00,alle,alle,2483703,sysselsatte_innvkat_alder,personer
2007,00,befolkningen_ellers,18_29,488031,sysselsatte_innvkat_alder,personer
2007,00,befolkningen_ellers,30_54,1270666,sysselsatte_innvkat_alder,personer
2007,00,befolkningen_ellers,55_69,435870,sysselsatte_innvkat_alder,personer
2007,00,befolkningen_ellers,alle,2270595,sysselsatte_innvkat_alder,personer
2007,00,innvandrere,18_29,53714,sysselsatte_innvkat_alder,personer
