tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_3,kjonn,enhet,tabellvariabel
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,alle,alle,personer,21348
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,alle,alle,prosent,100
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,alle,1,personer,9546
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,alle,1,prosent,44.72
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,alle,0,personer,11802
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,alle,0,prosent,55.28
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,personer,15349
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,71.9
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,befolkningen_ellers,1,personer,7252
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,befolkningen_ellers,1,prosent,33.97
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,befolkningen_ellers,0,personer,8097
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,befolkningen_ellers,0,prosent,37.93
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,innvandrere,alle,personer,5999
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,innvandrere,alle,prosent,28.1
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,innvandrere,1,personer,2294
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,innvandrere,1,prosent,10.75
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,innvandrere,0,personer,3705
voksne_videregaende,2012/2013,00,NULL,NULL,NULL,innvandrere,0,prosent,17.36
voksne_videregaende,2012/2013,01,NULL,NULL,NULL,alle,alle,personer,933
voksne_videregaende,2012/2013,01,NULL,NULL,NULL,alle,alle,prosent,4.37
voksne_videregaende,2012/2013,01,NULL,NULL,NULL,alle,1,personer,392
voksne_videregaende,2012/2013,01,NULL,NULL,NULL,alle,1,prosent,1.84
voksne_videregaende,2012/2013,01,NULL,NULL,NULL,alle,0,personer,541
voksne_videregaende,2012/2013,01,NULL,NULL,NULL,alle,0,prosent,2.53
