tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_3,kjonn,utd_5,enhet,tabellvariabel
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,grunnskole,personer,117150
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,grunnskole,prosent,8.35
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,ingen,personer,2444
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,ingen,prosent,0.17
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,personer,308485
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,prosent,22
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,uoppgitt,personer,18695
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,uoppgitt,prosent,1.33
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,vgs,personer,234993
utdanningsniva,2011,00,NULL,NULL,NULL,alle,0,vgs,prosent,16.76
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,grunnskole,personer,135121
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,grunnskole,prosent,9.64
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,ingen,personer,1395
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,ingen,prosent,0.1
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,personer,235494
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,prosent,16.79
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,uoppgitt,personer,33560
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,uoppgitt,prosent,2.39
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,vgs,personer,314844
utdanningsniva,2011,00,NULL,NULL,NULL,alle,1,vgs,prosent,22.45
utdanningsniva,2011,00,NULL,NULL,NULL,alle,alle,grunnskole,personer,252271
utdanningsniva,2011,00,NULL,NULL,NULL,alle,alle,grunnskole,prosent,17.99
utdanningsniva,2011,00,NULL,NULL,NULL,alle,alle,ingen,personer,3839
utdanningsniva,2011,00,NULL,NULL,NULL,alle,alle,ingen,prosent,0.27
utdanningsniva,2011,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,personer,543979
