bydel_nr,innvgrunn_6,kjonn,aar,tabellvariabel,tabellnavn,enhet
alle,alle,0,2006,75584,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2006,92779,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2006,168363,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2006,382,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2006,422,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2006,804,sysselsatte_innvandringsgrunn,personer
alle,arbeid,0,2006,17689,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2006,34262,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2006,51951,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2006,33334,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2006,22677,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2006,56011,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2006,19025,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2006,31810,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2006,50835,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2007,62868,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2007,84299,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2007,147167,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2007,200,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2007,237,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2007,437,sysselsatte_innvandringsgrunn,personer
alle,arbeid,0,2007,7802,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2007,30843,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2007,38645,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2007,28212,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2007,14971,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2007,43183,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2007,21653,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2007,35422,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2007,57075,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2008,106072,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2008,134963,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2008,241035,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2008,229,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2008,261,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2008,490,sysselsatte_innvandringsgrunn,personer
alle,arbeid,0,2008,11203,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2008,42430,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2008,53633,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2008,27920,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2008,13162,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2008,41082,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2008,29051,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2008,40867,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2008,69918,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2009,91290,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2009,116418,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2009,207708,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2009,237,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2009,263,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2009,500,sysselsatte_innvandringsgrunn,personer
