aar,bydel_nr,vreg_3,botid_5,tabellvariabel,tabell_navn,enhet
2006,00,1,0_4,27253,sysselsatte_botid_land,personer
2006,00,1,10+,38127,sysselsatte_botid_land,personer
2006,00,1,5_9,14513,sysselsatte_botid_land,personer
2006,00,1,alle,79893,sysselsatte_botid_land,personer
2006,00,2,0_4,22474,sysselsatte_botid_land,personer
2006,00,2,10+,56184,sysselsatte_botid_land,personer
2006,00,2,5_9,22860,sysselsatte_botid_land,personer
2006,00,2,alle,101518,sysselsatte_botid_land,personer
2006,00,alle,0_4,49727,sysselsatte_botid_land,personer
2006,00,alle,10+,94311,sysselsatte_botid_land,personer
2006,00,alle,5_9,37373,sysselsatte_botid_land,personer
2006,00,alle,alle,181411,sysselsatte_botid_land,personer
2006,030101,1,0_4,843,sysselsatte_botid_land,personer
2006,030101,1,10+,840,sysselsatte_botid_land,personer
2006,030101,1,5_9,413,sysselsatte_botid_land,personer
2006,030101,1,alle,2096,sysselsatte_botid_land,personer
2006,030101,2,0_4,559,sysselsatte_botid_land,personer
2006,030101,2,10+,1409,sysselsatte_botid_land,personer
2006,030101,2,5_9,594,sysselsatte_botid_land,personer
2006,030101,2,alle,2562,sysselsatte_botid_land,personer
2006,030101,alle,0_4,1402,sysselsatte_botid_land,personer
2006,030101,alle,10+,2249,sysselsatte_botid_land,personer
2006,030101,alle,5_9,1007,sysselsatte_botid_land,personer
2006,030101,alle,alle,4658,sysselsatte_botid_land,personer
2006,030102,1,0_4,650,sysselsatte_botid_land,personer
2006,030102,1,10+,725,sysselsatte_botid_land,personer
2006,030102,1,5_9,363,sysselsatte_botid_land,personer
2006,030102,1,alle,1738,sysselsatte_botid_land,personer
2006,030102,2,0_4,417,sysselsatte_botid_land,personer
2006,030102,2,10+,1310,sysselsatte_botid_land,personer
2006,030102,2,5_9,461,sysselsatte_botid_land,personer
2006,030102,2,alle,2188,sysselsatte_botid_land,personer
2006,030102,alle,0_4,1067,sysselsatte_botid_land,personer
