tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_3,kjonn,utd_5,enhet,tabellvariabel
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,vgs,personer,535008
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,vgs,prosent,37.48
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,uoppgitt,personer,72396
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,uoppgitt,prosent,5.07
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,personer,573145
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,prosent,40.15
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,ingen,personer,4047
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,ingen,prosent,0.28
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,grunnskole,personer,242829
utdanningsniva,2013,00,NULL,NULL,NULL,alle,alle,grunnskole,prosent,17.01
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,vgs,personer,309267
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,vgs,prosent,21.67
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,uoppgitt,personer,46428
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,uoppgitt,prosent,3.25
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,personer,245965
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,prosent,17.23
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,ingen,personer,1509
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,ingen,prosent,0.11
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,grunnskole,personer,132614
utdanningsniva,2013,00,NULL,NULL,NULL,alle,1,grunnskole,prosent,9.29
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,vgs,personer,225741
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,vgs,prosent,15.81
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,uoppgitt,personer,25968
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,uoppgitt,prosent,1.82
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,personer,327180
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,prosent,22.92
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,ingen,personer,2538
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,ingen,prosent,0.18
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,grunnskole,personer,110215
utdanningsniva,2013,00,NULL,NULL,NULL,alle,0,grunnskole,prosent,7.72
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,vgs,personer,464744
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,vgs,prosent,32.56
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,uoppgitt,personer,3274
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,uoppgitt,prosent,0.23
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,universitet_og_hogskole,personer,477318
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,universitet_og_hogskole,prosent,33.44
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,ingen,personer,38
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,ingen,prosent,0
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,grunnskole,personer,184046
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,grunnskole,prosent,12.89
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,vgs,personer,268106
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,vgs,prosent,18.78
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,uoppgitt,personer,2059
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,uoppgitt,prosent,0.14
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,universitet_og_hogskole,personer,201543
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,universitet_og_hogskole,prosent,14.12
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,ingen,personer,22
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,ingen,prosent,0
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,grunnskole,personer,103510
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,grunnskole,prosent,7.25
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,0,vgs,personer,196638
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,0,vgs,prosent,13.78
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,0,uoppgitt,personer,1215
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,0,uoppgitt,prosent,0.09
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,0,universitet_og_hogskole,personer,275775
utdanningsniva,2013,00,NULL,NULL,NULL,befolkningen_ellers,0,universitet_og_hogskole,prosent,19.32
