tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_3,kjonn,utd_5,enhet,tabellvariabel
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,vgs,personer,553042
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,vgs,prosent,38.53
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,uoppgitt,personer,8460
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,uoppgitt,prosent,0.59
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,personer,615566
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,prosent,42.88
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,ingen,personer,5368
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,ingen,prosent,0.37
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,grunnskole,personer,252956
utdanningsniva,2014,00,NULL,NULL,NULL,alle,alle,grunnskole,prosent,17.62
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,vgs,personer,325822
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,vgs,prosent,22.7
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,uoppgitt,personer,5205
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,uoppgitt,prosent,0.36
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,personer,267550
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,prosent,18.64
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,ingen,personer,2013
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,ingen,prosent,0.14
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,grunnskole,personer,139714
utdanningsniva,2014,00,NULL,NULL,NULL,alle,1,grunnskole,prosent,9.73
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,vgs,personer,227220
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,vgs,prosent,15.83
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,uoppgitt,personer,3255
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,uoppgitt,prosent,0.23
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,personer,348016
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,prosent,24.25
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,ingen,personer,3355
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,ingen,prosent,0.23
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,grunnskole,personer,113242
utdanningsniva,2014,00,NULL,NULL,NULL,alle,0,grunnskole,prosent,7.89
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,vgs,personer,451852
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,vgs,prosent,31.48
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,uoppgitt,personer,3412
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,uoppgitt,prosent,0.24
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,universitet_og_hogskole,personer,483335
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,universitet_og_hogskole,prosent,33.67
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,ingen,personer,35
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,ingen,prosent,0
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,grunnskole,personer,177819
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,grunnskole,prosent,12.39
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,vgs,personer,262252
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,vgs,prosent,18.27
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,uoppgitt,personer,2137
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,uoppgitt,prosent,0.15
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,universitet_og_hogskole,personer,202910
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,universitet_og_hogskole,prosent,14.14
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,ingen,personer,21
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,ingen,prosent,0
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,grunnskole,personer,101222
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,grunnskole,prosent,7.05
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,vgs,personer,189600
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,vgs,prosent,13.21
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,uoppgitt,personer,1275
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,uoppgitt,prosent,0.09
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,universitet_og_hogskole,personer,280425
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,universitet_og_hogskole,prosent,19.54
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,ingen,personer,14
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,ingen,prosent,0
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,grunnskole,personer,76597
utdanningsniva,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,grunnskole,prosent,5.34
