tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_5,kjonn,enhet,tabellvariabel
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,alle,alle,personer,130671
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,alle,alle,prosent,70.62
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,alle,1,personer,62818
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,alle,1,prosent,65.8
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,alle,0,personer,67853
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,alle,0,prosent,75.74
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,121239
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,71.63
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,58572
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,67.12
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,62667
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,76.42
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,personer,125415
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,71.46
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,befolkningen_ellers,1,personer,60458
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,befolkningen_ellers,1,prosent,66.82
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,befolkningen_ellers,0,personer,64957
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,befolkningen_ellers,0,prosent,76.39
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,innvandrere,alle,personer,5256
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,innvandrere,alle,prosent,55.15
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,innvandrere,1,personer,2360
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,innvandrere,1,prosent,47.37
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,innvandrere,0,personer,2896
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,innvandrere,0,prosent,63.66
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,4176
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,66.77
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,1886
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,58.55
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,2290
videregaende_fullfort,2012-2014,00,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,75.5
videregaende_fullfort,2012-2014,01,NULL,NULL,NULL,alle,alle,personer,6177
