aar,naringsregion_nr,vreg_9,tabellvariabel,tabell_navn,enhet
2006,66,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,68,nord_amerika_oseania,0,sysselsatte_land,personer
2006,70,sor_og_mellom_amerika,0,sysselsatte_land,personer
2007,66,sor_og_mellom_amerika,0,sysselsatte_land,personer
2008,17,sor_og_mellom_amerika,0,sysselsatte_land,personer
2008,59,sor_og_mellom_amerika,0,sysselsatte_land,personer
2008,66,sor_og_mellom_amerika,0,sysselsatte_land,personer
2008,68,nord_amerika_oseania,0,sysselsatte_land,personer
2009,17,sor_og_mellom_amerika,0,sysselsatte_land,personer
2009,59,sor_og_mellom_amerika,0,sysselsatte_land,personer
2010,17,sor_og_mellom_amerika,0,sysselsatte_land,personer
2010,68,nord_amerika_oseania,0,sysselsatte_land,personer
2011,17,sor_og_mellom_amerika,0,sysselsatte_land,personer
2011,59,sor_og_mellom_amerika,0,sysselsatte_land,personer
2011,68,nord_amerika_oseania,0,sysselsatte_land,personer
2012,17,sor_og_mellom_amerika,0,sysselsatte_land,personer
2012,68,nord_amerika_oseania,0,sysselsatte_land,personer
2013,17,sor_og_mellom_amerika,0,sysselsatte_land,personer
2014,65,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,48,nord_amerika_oseania,0,sysselsatte_land,personer
2006,70,afrika,0,sysselsatte_land,personer
2006,70,nord_amerika_oseania,0,sysselsatte_land,personer
2006,80,sor_og_mellom_amerika,0,sysselsatte_land,personer
2006,82,nord_amerika_oseania,0,sysselsatte_land,personer
2007,17,sor_og_mellom_amerika,0,sysselsatte_land,personer
2007,48,nord_amerika_oseania,0,sysselsatte_land,personer
2007,68,nord_amerika_oseania,0,sysselsatte_land,personer
2007,70,afrika,0,sysselsatte_land,personer
2007,70,nord_amerika_oseania,0,sysselsatte_land,personer
2007,70,sor_og_mellom_amerika,0,sysselsatte_land,personer
2008,48,nord_amerika_oseania,0,sysselsatte_land,personer
2008,65,sor_og_mellom_amerika,0,sysselsatte_land,personer
2008,70,afrika,0,sysselsatte_land,personer
2008,70,nord_amerika_oseania,0,sysselsatte_land,personer
2008,70,sor_og_mellom_amerika,0,sysselsatte_land,personer
2009,48,nord_amerika_oseania,0,sysselsatte_land,personer
2009,65,sor_og_mellom_amerika,0,sysselsatte_land,personer
2009,66,sor_og_mellom_amerika,0,sysselsatte_land,personer
2009,68,nord_amerika_oseania,0,sysselsatte_land,personer
2009,70,nord_amerika_oseania,0,sysselsatte_land,personer
2009,70,sor_og_mellom_amerika,0,sysselsatte_land,personer
2010,59,sor_og_mellom_amerika,0,sysselsatte_land,personer
2010,65,sor_og_mellom_amerika,0,sysselsatte_land,personer
2010,66,sor_og_mellom_amerika,0,sysselsatte_land,personer
2010,70,nord_amerika_oseania,0,sysselsatte_land,personer
2011,65,sor_og_mellom_amerika,0,sysselsatte_land,personer
2011,66,sor_og_mellom_amerika,0,sysselsatte_land,personer
2011,70,sor_og_mellom_amerika,0,sysselsatte_land,personer
2012,59,nord_amerika_oseania,0,sysselsatte_land,personer
2012,59,sor_og_mellom_amerika,0,sysselsatte_land,personer
2012,66,sor_og_mellom_amerika,0,sysselsatte_land,personer
2012,70,sor_og_mellom_amerika,0,sysselsatte_land,personer
2013,65,sor_og_mellom_amerika,0,sysselsatte_land,personer
2013,68,nord_amerika_oseania,0,sysselsatte_land,personer
2013,70,afrika,0,sysselsatte_land,personer
2013,70,nord_amerika_oseania,0,sysselsatte_land,personer
2014,17,sor_og_mellom_amerika,0,sysselsatte_land,personer
2014,59,sor_og_mellom_amerika,0,sysselsatte_land,personer
2014,70,nord_amerika_oseania,0,sysselsatte_land,personer
2006,17,afrika,0,sysselsatte_land,personer
2006,65,afrika,0,sysselsatte_land,personer
2006,65,nord_amerika_oseania,0,sysselsatte_land,personer
2006,66,nord_amerika_oseania,0,sysselsatte_land,personer
2006,80,nord_amerika_oseania,0,sysselsatte_land,personer
2007,17,afrika,0,sysselsatte_land,personer
2007,66,nord_amerika_oseania,0,sysselsatte_land,personer
2007,67,sor_og_mellom_amerika,0,sysselsatte_land,personer
2007,80,sor_og_mellom_amerika,0,sysselsatte_land,personer
2007,82,nord_amerika_oseania,0,sysselsatte_land,personer
2008,65,nord_amerika_oseania,0,sysselsatte_land,personer
2008,80,sor_og_mellom_amerika,0,sysselsatte_land,personer
2009,59,nord_amerika_oseania,0,sysselsatte_land,personer
2010,48,nord_amerika_oseania,0,sysselsatte_land,personer
2010,59,nord_amerika_oseania,0,sysselsatte_land,personer
2010,70,sor_og_mellom_amerika,0,sysselsatte_land,personer
2010,80,nord_amerika_oseania,0,sysselsatte_land,personer
2011,48,nord_amerika_oseania,0,sysselsatte_land,personer
2011,59,nord_amerika_oseania,0,sysselsatte_land,personer
2011,70,nord_amerika_oseania,0,sysselsatte_land,personer
2012,65,nord_amerika_oseania,0,sysselsatte_land,personer
2012,65,sor_og_mellom_amerika,0,sysselsatte_land,personer
2012,70,afrika,0,sysselsatte_land,personer
2012,70,nord_amerika_oseania,0,sysselsatte_land,personer
2013,59,nord_amerika_oseania,0,sysselsatte_land,personer
2013,59,sor_og_mellom_amerika,0,sysselsatte_land,personer
2013,65,nord_amerika_oseania,0,sysselsatte_land,personer
2013,66,sor_og_mellom_amerika,0,sysselsatte_land,personer
2013,80,nord_amerika_oseania,0,sysselsatte_land,personer
2014,17,nord_amerika_oseania,0,sysselsatte_land,personer
