tabell_navn;aar;naringsregion_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2013-2014;01;alle;alle;NULL;NULL;grunnskolepoeng;39,4
grunnskolepoeng;2013-2014;01;alle;alle;NULL;NULL;person;323
grunnskolepoeng;2013-2014;01;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40
grunnskolepoeng;2013-2014;01;alle;bef_u_innv_og_norskf;NULL;NULL;person;280
grunnskolepoeng;2013-2014;01;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;39,8
grunnskolepoeng;2013-2014;01;alle;befolkningen_ellers;NULL;NULL;person;298
grunnskolepoeng;2013-2014;01;alle;innvandrere;1;0_6;grunnskolepoeng;33,6
grunnskolepoeng;2013-2014;01;alle;innvandrere;1;0_6;person;3
grunnskolepoeng;2013-2014;01;alle;innvandrere;1;7+;grunnskolepoeng;35,8
grunnskolepoeng;2013-2014;01;alle;innvandrere;1;7+;person;6
grunnskolepoeng;2013-2014;01;alle;innvandrere;1;alle;grunnskolepoeng;35
grunnskolepoeng;2013-2014;01;alle;innvandrere;1;alle;person;9
grunnskolepoeng;2013-2014;01;alle;innvandrere;2;0_6;grunnskolepoeng;37,8
grunnskolepoeng;2013-2014;01;alle;innvandrere;2;0_6;person;8
grunnskolepoeng;2013-2014;01;alle;innvandrere;2;7+;grunnskolepoeng;32,4
grunnskolepoeng;2013-2014;01;alle;innvandrere;2;7+;person;8
grunnskolepoeng;2013-2014;01;alle;innvandrere;2;alle;grunnskolepoeng;35
grunnskolepoeng;2013-2014;01;alle;innvandrere;2;alle;person;16
grunnskolepoeng;2013-2014;01;alle;innvandrere;alle;0_6;grunnskolepoeng;36,6
grunnskolepoeng;2013-2014;01;alle;innvandrere;alle;0_6;person;11
grunnskolepoeng;2013-2014;01;alle;innvandrere;alle;7+;grunnskolepoeng;33,8
grunnskolepoeng;2013-2014;01;alle;innvandrere;alle;7+;person;14
grunnskolepoeng;2013-2014;01;alle;innvandrere;alle;alle;grunnskolepoeng;35
grunnskolepoeng;2013-2014;01;alle;innvandrere;alle;alle;person;25
grunnskolepoeng;2013-2014;01;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;37
grunnskolepoeng;2013-2014;01;alle;norskfodte_m_innvf;NULL;NULL;person;18
grunnskolepoeng;2013-2014;01;1;alle;NULL;NULL;grunnskolepoeng;37,6
grunnskolepoeng;2013-2014;01;1;alle;NULL;NULL;person;162
grunnskolepoeng;2013-2014;01;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;37,8
grunnskolepoeng;2013-2014;01;1;bef_u_innv_og_norskf;NULL;NULL;person;143
grunnskolepoeng;2013-2014;01;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;37,6
grunnskolepoeng;2013-2014;01;1;befolkningen_ellers;NULL;NULL;person;151
grunnskolepoeng;2013-2014;01;1;innvandrere;1;0_6;grunnskolepoeng;36,8
grunnskolepoeng;2013-2014;01;1;innvandrere;1;0_6;person;3
grunnskolepoeng;2013-2014;01;1;innvandrere;1;7+;grunnskolepoeng;0
grunnskolepoeng;2013-2014;01;1;innvandrere;1;7+;person;0
grunnskolepoeng;2013-2014;01;1;innvandrere;1;alle;grunnskolepoeng;32,4
grunnskolepoeng;2013-2014;01;1;innvandrere;1;alle;person;3
grunnskolepoeng;2013-2014;01;1;innvandrere;2;0_6;grunnskolepoeng;38,6
grunnskolepoeng;2013-2014;01;1;innvandrere;2;0_6;person;4
grunnskolepoeng;2013-2014;01;1;innvandrere;2;7+;grunnskolepoeng;35,2
grunnskolepoeng;2013-2014;01;1;innvandrere;2;7+;person;4
grunnskolepoeng;2013-2014;01;1;innvandrere;2;alle;grunnskolepoeng;36,8
grunnskolepoeng;2013-2014;01;1;innvandrere;2;alle;person;8
grunnskolepoeng;2013-2014;01;1;innvandrere;alle;0_6;grunnskolepoeng;38
grunnskolepoeng;2013-2014;01;1;innvandrere;alle;0_6;person;6
grunnskolepoeng;2013-2014;01;1;innvandrere;alle;7+;grunnskolepoeng;33
grunnskolepoeng;2013-2014;01;1;innvandrere;alle;7+;person;5
grunnskolepoeng;2013-2014;01;1;innvandrere;alle;alle;grunnskolepoeng;35,6
grunnskolepoeng;2013-2014;01;1;innvandrere;alle;alle;person;11
grunnskolepoeng;2013-2014;01;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;34
grunnskolepoeng;2013-2014;01;1;norskfodte_m_innvf;NULL;NULL;person;8
grunnskolepoeng;2013-2014;01;0;alle;NULL;NULL;grunnskolepoeng;41,4
grunnskolepoeng;2013-2014;01;0;alle;NULL;NULL;person;161
grunnskolepoeng;2013-2014;01;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;42,2
grunnskolepoeng;2013-2014;01;0;bef_u_innv_og_norskf;NULL;NULL;person;137
grunnskolepoeng;2013-2014;01;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;42
grunnskolepoeng;2013-2014;01;0;befolkningen_ellers;NULL;NULL;person;147
grunnskolepoeng;2013-2014;01;0;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2013-2014;01;0;innvandrere;1;0_6;person;0
grunnskolepoeng;2013-2014;01;0;innvandrere;1;7+;grunnskolepoeng;38,2
grunnskolepoeng;2013-2014;01;0;innvandrere;1;7+;person;5
grunnskolepoeng;2013-2014;01;0;innvandrere;1;alle;grunnskolepoeng;36,4
grunnskolepoeng;2013-2014;01;0;innvandrere;1;alle;person;6
grunnskolepoeng;2013-2014;01;0;innvandrere;2;0_6;grunnskolepoeng;37
grunnskolepoeng;2013-2014;01;0;innvandrere;2;0_6;person;4
grunnskolepoeng;2013-2014;01;0;innvandrere;2;7+;grunnskolepoeng;29,4
grunnskolepoeng;2013-2014;01;0;innvandrere;2;7+;person;4
grunnskolepoeng;2013-2014;01;0;innvandrere;2;alle;grunnskolepoeng;33,2
grunnskolepoeng;2013-2014;01;0;innvandrere;2;alle;person;8
grunnskolepoeng;2013-2014;01;0;innvandrere;alle;0_6;grunnskolepoeng;35
grunnskolepoeng;2013-2014;01;0;innvandrere;alle;0_6;person;5
grunnskolepoeng;2013-2014;01;0;innvandrere;alle;7+;grunnskolepoeng;34,2
grunnskolepoeng;2013-2014;01;0;innvandrere;alle;7+;person;9
grunnskolepoeng;2013-2014;01;0;innvandrere;alle;alle;grunnskolepoeng;34,6
grunnskolepoeng;2013-2014;01;0;innvandrere;alle;alle;person;14
grunnskolepoeng;2013-2014;01;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;39,4
grunnskolepoeng;2013-2014;01;0;norskfodte_m_innvf;NULL;NULL;person;10
grunnskolepoeng;2013-2014;02;alle;alle;NULL;NULL;grunnskolepoeng;39,6
grunnskolepoeng;2013-2014;02;alle;alle;NULL;NULL;person;729
grunnskolepoeng;2013-2014;02;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40
grunnskolepoeng;2013-2014;02;alle;bef_u_innv_og_norskf;NULL;NULL;person;632
grunnskolepoeng;2013-2014;02;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;39,8
grunnskolepoeng;2013-2014;02;alle;befolkningen_ellers;NULL;NULL;person;665
grunnskolepoeng;2013-2014;02;alle;innvandrere;1;0_6;grunnskolepoeng;37
grunnskolepoeng;2013-2014;02;alle;innvandrere;1;0_6;person;6
grunnskolepoeng;2013-2014;02;alle;innvandrere;1;7+;grunnskolepoeng;37,2
grunnskolepoeng;2013-2014;02;alle;innvandrere;1;7+;person;23
grunnskolepoeng;2013-2014;02;alle;innvandrere;1;alle;grunnskolepoeng;37,2
grunnskolepoeng;2013-2014;02;alle;innvandrere;1;alle;person;27
