tabell_navn,aar,kommune_nr,fylke_nr,bydel_nr,naringsregion_nr,innvkat_3,kjonn,enhet,tabellvariabel
sosialhjelp,2013,NULL,0,NULL,NULL,alle,alle,person,117988
sosialhjelp,2013,NULL,0,NULL,NULL,alle,alle,prosent,2.96
sosialhjelp,2013,NULL,0,NULL,NULL,alle,1,person,65072
sosialhjelp,2013,NULL,0,NULL,NULL,alle,1,prosent,3.27
sosialhjelp,2013,NULL,0,NULL,NULL,alle,0,person,52916
sosialhjelp,2013,NULL,0,NULL,NULL,alle,0,prosent,2.66
sosialhjelp,2013,NULL,0,NULL,NULL,befolkningen_ellers,alle,person,76079
sosialhjelp,2013,NULL,0,NULL,NULL,befolkningen_ellers,alle,prosent,2.23
sosialhjelp,2013,NULL,0,NULL,NULL,befolkningen_ellers,1,person,42253
sosialhjelp,2013,NULL,0,NULL,NULL,befolkningen_ellers,1,prosent,2.50
sosialhjelp,2013,NULL,0,NULL,NULL,befolkningen_ellers,0,person,33826
sosialhjelp,2013,NULL,0,NULL,NULL,befolkningen_ellers,0,prosent,1.96
sosialhjelp,2013,NULL,0,NULL,NULL,innvandrere,alle,person,41909
sosialhjelp,2013,NULL,0,NULL,NULL,innvandrere,alle,prosent,7.39
sosialhjelp,2013,NULL,0,NULL,NULL,innvandrere,1,person,22819
sosialhjelp,2013,NULL,0,NULL,NULL,innvandrere,1,prosent,7.67
sosialhjelp,2013,NULL,0,NULL,NULL,innvandrere,0,person,19090
sosialhjelp,2013,NULL,0,NULL,NULL,innvandrere,0,prosent,7.09
sosialhjelp,2013,NULL,01,NULL,NULL,alle,alle,person,8501
sosialhjelp,2013,NULL,01,NULL,NULL,alle,alle,prosent,3.80
sosialhjelp,2013,NULL,01,NULL,NULL,alle,1,person,4623
sosialhjelp,2013,NULL,01,NULL,NULL,alle,1,prosent,4.18
sosialhjelp,2013,NULL,01,NULL,NULL,alle,0,person,3878
sosialhjelp,2013,NULL,01,NULL,NULL,alle,0,prosent,3.43
sosialhjelp,2013,NULL,01,NULL,NULL,befolkningen_ellers,alle,person,5540
sosialhjelp,2013,NULL,01,NULL,NULL,befolkningen_ellers,alle,prosent,2.86
sosialhjelp,2013,NULL,01,NULL,NULL,befolkningen_ellers,1,person,2992
sosialhjelp,2013,NULL,01,NULL,NULL,befolkningen_ellers,1,prosent,3.15
sosialhjelp,2013,NULL,01,NULL,NULL,befolkningen_ellers,0,person,2548
sosialhjelp,2013,NULL,01,NULL,NULL,befolkningen_ellers,0,prosent,2.58
sosialhjelp,2013,NULL,01,NULL,NULL,innvandrere,alle,person,2961
sosialhjelp,2013,NULL,01,NULL,NULL,innvandrere,alle,prosent,9.88
sosialhjelp,2013,NULL,01,NULL,NULL,innvandrere,1,person,1631
sosialhjelp,2013,NULL,01,NULL,NULL,innvandrere,1,prosent,10.46
sosialhjelp,2013,NULL,01,NULL,NULL,innvandrere,0,person,1330
sosialhjelp,2013,NULL,01,NULL,NULL,innvandrere,0,prosent,9.25
sosialhjelp,2013,NULL,02,NULL,NULL,alle,alle,person,10049
sosialhjelp,2013,NULL,02,NULL,NULL,alle,alle,prosent,2.30
sosialhjelp,2013,NULL,02,NULL,NULL,alle,1,person,5450
sosialhjelp,2013,NULL,02,NULL,NULL,alle,1,prosent,2.51
sosialhjelp,2013,NULL,02,NULL,NULL,alle,0,person,4599
sosialhjelp,2013,NULL,02,NULL,NULL,alle,0,prosent,2.08
sosialhjelp,2013,NULL,02,NULL,NULL,befolkningen_ellers,alle,person,5797
sosialhjelp,2013,NULL,02,NULL,NULL,befolkningen_ellers,alle,prosent,1.59
sosialhjelp,2013,NULL,02,NULL,NULL,befolkningen_ellers,1,person,3208
sosialhjelp,2013,NULL,02,NULL,NULL,befolkningen_ellers,1,prosent,1.79
sosialhjelp,2013,NULL,02,NULL,NULL,befolkningen_ellers,0,person,2589
sosialhjelp,2013,NULL,02,NULL,NULL,befolkningen_ellers,0,prosent,1.40
sosialhjelp,2013,NULL,02,NULL,NULL,innvandrere,alle,person,4252
sosialhjelp,2013,NULL,02,NULL,NULL,innvandrere,alle,prosent,5.83
sosialhjelp,2013,NULL,02,NULL,NULL,innvandrere,1,person,2242
sosialhjelp,2013,NULL,02,NULL,NULL,innvandrere,1,prosent,5.94
sosialhjelp,2013,NULL,02,NULL,NULL,innvandrere,0,person,2010
sosialhjelp,2013,NULL,02,NULL,NULL,innvandrere,0,prosent,5.72
sosialhjelp,2013,NULL,03,NULL,NULL,alle,alle,person,16911
sosialhjelp,2013,NULL,03,NULL,NULL,alle,alle,prosent,3.32
sosialhjelp,2013,NULL,03,NULL,NULL,alle,1,person,9411
sosialhjelp,2013,NULL,03,NULL,NULL,alle,1,prosent,3.73
sosialhjelp,2013,NULL,03,NULL,NULL,alle,0,person,7500
sosialhjelp,2013,NULL,03,NULL,NULL,alle,0,prosent,2.92
sosialhjelp,2013,NULL,03,NULL,NULL,befolkningen_ellers,alle,person,7029
sosialhjelp,2013,NULL,03,NULL,NULL,befolkningen_ellers,alle,prosent,1.92
sosialhjelp,2013,NULL,03,NULL,NULL,befolkningen_ellers,1,person,4115
sosialhjelp,2013,NULL,03,NULL,NULL,befolkningen_ellers,1,prosent,2.32
sosialhjelp,2013,NULL,03,NULL,NULL,befolkningen_ellers,0,person,2914
sosialhjelp,2013,NULL,03,NULL,NULL,befolkningen_ellers,0,prosent,1.54
sosialhjelp,2013,NULL,03,NULL,NULL,innvandrere,alle,person,9882
sosialhjelp,2013,NULL,03,NULL,NULL,innvandrere,alle,prosent,6.95
sosialhjelp,2013,NULL,03,NULL,NULL,innvandrere,1,person,5296
sosialhjelp,2013,NULL,03,NULL,NULL,innvandrere,1,prosent,7.11
sosialhjelp,2013,NULL,03,NULL,NULL,innvandrere,0,person,4586
sosialhjelp,2013,NULL,03,NULL,NULL,innvandrere,0,prosent,6.76
sosialhjelp,2013,NULL,04,NULL,NULL,alle,alle,person,5599
sosialhjelp,2013,NULL,04,NULL,NULL,alle,alle,prosent,3.60
sosialhjelp,2013,NULL,04,NULL,NULL,alle,1,person,2972
sosialhjelp,2013,NULL,04,NULL,NULL,alle,1,prosent,3.88
sosialhjelp,2013,NULL,04,NULL,NULL,alle,0,person,2627
sosialhjelp,2013,NULL,04,NULL,NULL,alle,0,prosent,3.34
sosialhjelp,2013,NULL,04,NULL,NULL,befolkningen_ellers,alle,person,4236
sosialhjelp,2013,NULL,04,NULL,NULL,befolkningen_ellers,alle,prosent,2.97
sosialhjelp,2013,NULL,04,NULL,NULL,befolkningen_ellers,1,person,2241
sosialhjelp,2013,NULL,04,NULL,NULL,befolkningen_ellers,1,prosent,3.19
sosialhjelp,2013,NULL,04,NULL,NULL,befolkningen_ellers,0,person,1995
sosialhjelp,2013,NULL,04,NULL,NULL,befolkningen_ellers,0,prosent,2.76
sosialhjelp,2013,NULL,04,NULL,NULL,innvandrere,alle,person,1363
sosialhjelp,2013,NULL,04,NULL,NULL,innvandrere,alle,prosent,10.68
sosialhjelp,2013,NULL,04,NULL,NULL,innvandrere,1,person,731
sosialhjelp,2013,NULL,04,NULL,NULL,innvandrere,1,prosent,11.37
sosialhjelp,2013,NULL,04,NULL,NULL,innvandrere,0,person,632
sosialhjelp,2013,NULL,04,NULL,NULL,innvandrere,0,prosent,9.98
sosialhjelp,2013,NULL,05,NULL,NULL,alle,alle,person,4501
sosialhjelp,2013,NULL,05,NULL,NULL,alle,alle,prosent,3.00
sosialhjelp,2013,NULL,05,NULL,NULL,alle,1,person,2362
sosialhjelp,2013,NULL,05,NULL,NULL,alle,1,prosent,3.17
sosialhjelp,2013,NULL,05,NULL,NULL,alle,0,person,2139
sosialhjelp,2013,NULL,05,NULL,NULL,alle,0,prosent,2.84
sosialhjelp,2013,NULL,05,NULL,NULL,befolkningen_ellers,alle,person,3207
sosialhjelp,2013,NULL,05,NULL,NULL,befolkningen_ellers,alle,prosent,2.33
sosialhjelp,2013,NULL,05,NULL,NULL,befolkningen_ellers,1,person,1667
sosialhjelp,2013,NULL,05,NULL,NULL,befolkningen_ellers,1,prosent,2.45
sosialhjelp,2013,NULL,05,NULL,NULL,befolkningen_ellers,0,person,1540
sosialhjelp,2013,NULL,05,NULL,NULL,befolkningen_ellers,0,prosent,2.22
sosialhjelp,2013,NULL,05,NULL,NULL,innvandrere,alle,person,1294
sosialhjelp,2013,NULL,05,NULL,NULL,innvandrere,alle,prosent,10.36
sosialhjelp,2013,NULL,05,NULL,NULL,innvandrere,1,person,695
sosialhjelp,2013,NULL,05,NULL,NULL,innvandrere,1,prosent,10.68
sosialhjelp,2013,NULL,05,NULL,NULL,innvandrere,0,person,599
sosialhjelp,2013,NULL,05,NULL,NULL,innvandrere,0,prosent,10.02
sosialhjelp,2013,NULL,06,NULL,NULL,alle,alle,person,6647
sosialhjelp,2013,NULL,06,NULL,NULL,alle,alle,prosent,3.12
sosialhjelp,2013,NULL,06,NULL,NULL,alle,1,person,3535
sosialhjelp,2013,NULL,06,NULL,NULL,alle,1,prosent,3.33
sosialhjelp,2013,NULL,06,NULL,NULL,alle,0,person,3112
sosialhjelp,2013,NULL,06,NULL,NULL,alle,0,prosent,2.91
sosialhjelp,2013,NULL,06,NULL,NULL,befolkningen_ellers,alle,person,4232
sosialhjelp,2013,NULL,06,NULL,NULL,befolkningen_ellers,alle,prosent,2.35
sosialhjelp,2013,NULL,06,NULL,NULL,befolkningen_ellers,1,person,2281
sosialhjelp,2013,NULL,06,NULL,NULL,befolkningen_ellers,1,prosent,2.57
sosialhjelp,2013,NULL,06,NULL,NULL,befolkningen_ellers,0,person,1951
sosialhjelp,2013,NULL,06,NULL,NULL,befolkningen_ellers,0,prosent,2.14
sosialhjelp,2013,NULL,06,NULL,NULL,innvandrere,alle,person,2415
sosialhjelp,2013,NULL,06,NULL,NULL,innvandrere,alle,prosent,7.30
sosialhjelp,2013,NULL,06,NULL,NULL,innvandrere,1,person,1254
sosialhjelp,2013,NULL,06,NULL,NULL,innvandrere,1,prosent,7.25
sosialhjelp,2013,NULL,06,NULL,NULL,innvandrere,0,person,1161
sosialhjelp,2013,NULL,06,NULL,NULL,innvandrere,0,prosent,7.35
