"aar","bydel_nr","innvkat_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","kommune_nr","naringsregion_nr"
"2013","000301","alle","alle","prosent","13.7","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","000301","innvandrere","1","prosent","19.6","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","000301","innvandrere","2","prosent","31","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","prosent","27.2","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","prosent","10","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","20.5","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030101","innvandrere","1","prosent","22.3","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030101","innvandrere","2","prosent","40.4","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","prosent","35.1","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","prosent","15.1","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030102","alle","alle","prosent","18.4","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030102","innvandrere","1","prosent","23.6","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030102","innvandrere","2","prosent","37.1","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030102","innvandrere","alle","prosent","31.8","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","alle","prosent","14","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030103","alle","alle","prosent","15.7","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030103","innvandrere","1","prosent","19.4","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030103","innvandrere","2","prosent","37.3","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030103","innvandrere","alle","prosent","30.5","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030103","befolkningen_ellers","alle","prosent","12.3","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030104","alle","alle","prosent","17.1","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030104","innvandrere","1","prosent","22","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030104","innvandrere","2","prosent","35.9","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030104","innvandrere","alle","prosent","28.6","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030104","befolkningen_ellers","alle","prosent","14.4","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030105","alle","alle","prosent","14.3","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030105","innvandrere","1","prosent","17.1","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030105","innvandrere","2","prosent","29.8","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030105","innvandrere","alle","prosent","22.3","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030105","befolkningen_ellers","alle","prosent","12.3","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030106","alle","alle","prosent","7.1","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030106","innvandrere","1","prosent","14.9","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030106","innvandrere","2","prosent","24.9","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030106","innvandrere","alle","prosent","19","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030106","befolkningen_ellers","alle","prosent","5.4","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030107","alle","alle","prosent","7.8","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030107","innvandrere","1","prosent","17.4","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030107","innvandrere","2","prosent","30.9","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030107","innvandrere","alle","prosent","22.7","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030107","befolkningen_ellers","alle","prosent","5.8","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030108","alle","alle","prosent","8.5","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030108","innvandrere","1","prosent","20.1","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030108","innvandrere","2","prosent","38.8","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030108","innvandrere","alle","prosent","29","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030108","befolkningen_ellers","alle","prosent","5.9","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030109","alle","alle","prosent","16","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030109","innvandrere","1","prosent","25.2","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030109","innvandrere","2","prosent","32.2","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030109","innvandrere","alle","prosent","30.5","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030109","befolkningen_ellers","alle","prosent","10.3","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030110","alle","alle","prosent","15.6","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030110","innvandrere","1","prosent","21.3","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030110","innvandrere","2","prosent","26.2","vedvarende_lavinntekt","NULL","NULL","NULL"
"2013","030110","innvandrere","alle","prosent","25.4","vedvarende_lavinntekt","NULL","NULL","NULL"
