tabell_navn;aar;kommune_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2014-2015;0101;alle;alle;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;0101;alle;alle;NULL;NULL;person;350
grunnskolepoeng;2014-2015;0101;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;0101;alle;bef_u_innv_og_norskf;NULL;NULL;person;294
grunnskolepoeng;2014-2015;0101;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;39,4
grunnskolepoeng;2014-2015;0101;alle;befolkningen_ellers;NULL;NULL;person;315
grunnskolepoeng;2014-2015;0101;alle;innvandrere;1;0_6;grunnskolepoeng;29,8
grunnskolepoeng;2014-2015;0101;alle;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;0101;alle;innvandrere;1;7+;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;0101;alle;innvandrere;1;7+;person;7
grunnskolepoeng;2014-2015;0101;alle;innvandrere;1;alle;grunnskolepoeng;34,8
grunnskolepoeng;2014-2015;0101;alle;innvandrere;1;alle;person;9
grunnskolepoeng;2014-2015;0101;alle;innvandrere;2;0_6;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;0101;alle;innvandrere;2;0_6;person;12
grunnskolepoeng;2014-2015;0101;alle;innvandrere;2;7+;grunnskolepoeng;30,2
grunnskolepoeng;2014-2015;0101;alle;innvandrere;2;7+;person;14
grunnskolepoeng;2014-2015;0101;alle;innvandrere;2;alle;grunnskolepoeng;34
grunnskolepoeng;2014-2015;0101;alle;innvandrere;2;alle;person;26
grunnskolepoeng;2014-2015;0101;alle;innvandrere;alle;0_6;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;0101;alle;innvandrere;alle;0_6;person;14
grunnskolepoeng;2014-2015;0101;alle;innvandrere;alle;7+;grunnskolepoeng;32,2
grunnskolepoeng;2014-2015;0101;alle;innvandrere;alle;7+;person;21
grunnskolepoeng;2014-2015;0101;alle;innvandrere;alle;alle;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;0101;alle;innvandrere;alle;alle;person;35
grunnskolepoeng;2014-2015;0101;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;0101;alle;norskfodte_m_innvf;NULL;NULL;person;21
grunnskolepoeng;2014-2015;0101;1;alle;NULL;NULL;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;0101;1;alle;NULL;NULL;person;183
grunnskolepoeng;2014-2015;0101;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;0101;1;bef_u_innv_og_norskf;NULL;NULL;person;155
grunnskolepoeng;2014-2015;0101;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;0101;1;befolkningen_ellers;NULL;NULL;person;163
grunnskolepoeng;2014-2015;0101;1;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;0101;1;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;0101;1;innvandrere;1;7+;grunnskolepoeng;29,4
grunnskolepoeng;2014-2015;0101;1;innvandrere;1;7+;person;3
grunnskolepoeng;2014-2015;0101;1;innvandrere;1;alle;grunnskolepoeng;29,6
grunnskolepoeng;2014-2015;0101;1;innvandrere;1;alle;person;4
grunnskolepoeng;2014-2015;0101;1;innvandrere;2;0_6;grunnskolepoeng;34,8
grunnskolepoeng;2014-2015;0101;1;innvandrere;2;0_6;person;6
grunnskolepoeng;2014-2015;0101;1;innvandrere;2;7+;grunnskolepoeng;31,2
grunnskolepoeng;2014-2015;0101;1;innvandrere;2;7+;person;10
grunnskolepoeng;2014-2015;0101;1;innvandrere;2;alle;grunnskolepoeng;32,6
grunnskolepoeng;2014-2015;0101;1;innvandrere;2;alle;person;16
grunnskolepoeng;2014-2015;0101;1;innvandrere;alle;0_6;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;0101;1;innvandrere;alle;0_6;person;7
grunnskolepoeng;2014-2015;0101;1;innvandrere;alle;7+;grunnskolepoeng;30,8
