"aar","fylke_nr","spraak","undervisning_grskole","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2013","00","alle","alle","personer","10071","voksne_grunnskole","NULL","NULL"
"2013","00","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","00","alle","kun_grunnskoleoppl","personer","6417","voksne_grunnskole","NULL","NULL"
"2013","00","alle","kun_grunnskoleoppl","prosent","0.63717605","voksne_grunnskole","NULL","NULL"
"2013","00","alle","kun_spesialund","personer","3486","voksne_grunnskole","NULL","NULL"
"2013","00","alle","kun_spesialund","prosent","0.346142389","voksne_grunnskole","NULL","NULL"
"2013","00","alle","grskole_og_spesial","personer","168","voksne_grunnskole","NULL","NULL"
"2013","00","alle","grskole_og_spesial","prosent","0.016681561","voksne_grunnskole","NULL","NULL"
"2013","00","minoritet","alle","personer","6429","voksne_grunnskole","NULL","NULL"
"2013","00","minoritet","alle","prosent","63.8","voksne_grunnskole","NULL","NULL"
"2013","00","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","00","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","00","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","00","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","00","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","00","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","00","ikke_minoritet","alle","personer","3642","voksne_grunnskole","NULL","NULL"
"2013","00","ikke_minoritet","alle","prosent","36.16324099","voksne_grunnskole","NULL","NULL"
"2013","00","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","00","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","00","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","00","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","00","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","00","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","01","alle","alle","personer","250","voksne_grunnskole","NULL","NULL"
"2013","01","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","01","alle","kun_grunnskoleoppl","personer","200","voksne_grunnskole","NULL","NULL"
"2013","01","alle","kun_grunnskoleoppl","prosent","0.8","voksne_grunnskole","NULL","NULL"
"2013","01","alle","kun_spesialund","personer","45","voksne_grunnskole","NULL","NULL"
"2013","01","alle","kun_spesialund","prosent","0.18","voksne_grunnskole","NULL","NULL"
"2013","01","alle","grskole_og_spesial","personer","5","voksne_grunnskole","NULL","NULL"
"2013","01","alle","grskole_og_spesial","prosent","0.02","voksne_grunnskole","NULL","NULL"
"2013","01","minoritet","alle","personer","202","voksne_grunnskole","NULL","NULL"
