tabell_navn;aar;bydel_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2013-2014;030101;alle;alle;NULL;NULL;grunnskolepoeng;39,2
grunnskolepoeng;2013-2014;030101;alle;alle;NULL;NULL;person;252
grunnskolepoeng;2013-2014;030101;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;44,6
grunnskolepoeng;2013-2014;030101;alle;bef_u_innv_og_norskf;NULL;NULL;person;104
grunnskolepoeng;2013-2014;030101;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,4
grunnskolepoeng;2013-2014;030101;alle;befolkningen_ellers;NULL;NULL;person;206
grunnskolepoeng;2013-2014;030101;alle;innvandrere;1;0_6;grunnskolepoeng;38,6
grunnskolepoeng;2013-2014;030101;alle;innvandrere;1;0_6;person;3
grunnskolepoeng;2013-2014;030101;alle;innvandrere;1;7+;grunnskolepoeng;31,2
grunnskolepoeng;2013-2014;030101;alle;innvandrere;1;7+;person;6
grunnskolepoeng;2013-2014;030101;alle;innvandrere;1;alle;grunnskolepoeng;33
grunnskolepoeng;2013-2014;030101;alle;innvandrere;1;alle;person;8
grunnskolepoeng;2013-2014;030101;alle;innvandrere;2;0_6;grunnskolepoeng;35,8
grunnskolepoeng;2013-2014;030101;alle;innvandrere;2;0_6;person;22
grunnskolepoeng;2013-2014;030101;alle;innvandrere;2;7+;grunnskolepoeng;30,6
grunnskolepoeng;2013-2014;030101;alle;innvandrere;2;7+;person;16
grunnskolepoeng;2013-2014;030101;alle;innvandrere;2;alle;grunnskolepoeng;33,6
grunnskolepoeng;2013-2014;030101;alle;innvandrere;2;alle;person;38
grunnskolepoeng;2013-2014;030101;alle;innvandrere;alle;0_6;grunnskolepoeng;36
grunnskolepoeng;2013-2014;030101;alle;innvandrere;alle;0_6;person;24
grunnskolepoeng;2013-2014;030101;alle;innvandrere;alle;7+;grunnskolepoeng;30,8
grunnskolepoeng;2013-2014;030101;alle;innvandrere;alle;7+;person;22
grunnskolepoeng;2013-2014;030101;alle;innvandrere;alle;alle;grunnskolepoeng;33,4
grunnskolepoeng;2013-2014;030101;alle;innvandrere;alle;alle;person;46
