tabell_navn;aar;naringsregion_id;innvgrunn_6;kjonn;enhet;tabellvariabel;
befolkning_innvandringsgrunn;2006;01; ;alle;personer;27722;
befolkning_innvandringsgrunn;2006;01;alle;alle;personer;1900;
befolkning_innvandringsgrunn;2006;01;arbeid;alle;personer;47;
befolkning_innvandringsgrunn;2006;01;flukt;alle;personer;781;
befolkning_innvandringsgrunn;2006;01;familie;alle;personer;239;
befolkning_innvandringsgrunn;2006;01;annet;alle;personer;58;
befolkning_innvandringsgrunn;2006;01;uoppgitt;alle;personer;775;
befolkning_innvandringsgrunn;2006;01;alle;1;personer;908;
befolkning_innvandringsgrunn;2006;01;arbeid;1;personer;35;
befolkning_innvandringsgrunn;2006;01;flukt;1;personer;396;
befolkning_innvandringsgrunn;2006;01;familie;1;personer;61;
befolkning_innvandringsgrunn;2006;01;annet;1;personer;20;
befolkning_innvandringsgrunn;2006;01;uoppgitt;1;personer;396;
befolkning_innvandringsgrunn;2006;01;alle;0;personer;992;
befolkning_innvandringsgrunn;2006;01;arbeid;0;personer;12;
befolkning_innvandringsgrunn;2006;01;flukt;0;personer;385;
befolkning_innvandringsgrunn;2006;01;familie;0;personer;178;
befolkning_innvandringsgrunn;2006;01;annet;0;personer;38;
befolkning_innvandringsgrunn;2006;01;uoppgitt;0;personer;379;
befolkning_innvandringsgrunn;2007;01; ;alle;personer;27835;
befolkning_innvandringsgrunn;2007;01;alle;alle;personer;1954;
befolkning_innvandringsgrunn;2007;01;arbeid;alle;personer;59;
befolkning_innvandringsgrunn;2007;01;flukt;alle;personer;833;
befolkning_innvandringsgrunn;2007;01;familie;alle;personer;251;
befolkning_innvandringsgrunn;2007;01;annet;alle;personer;43;
befolkning_innvandringsgrunn;2007;01;uoppgitt;alle;personer;768;
befolkning_innvandringsgrunn;2007;01;alle;1;personer;925;
befolkning_innvandringsgrunn;2007;01;arbeid;1;personer;37;
befolkning_innvandringsgrunn;2007;01;flukt;1;personer;411;
befolkning_innvandringsgrunn;2007;01;familie;1;personer;64;
befolkning_innvandringsgrunn;2007;01;annet;1;personer;18;
befolkning_innvandringsgrunn;2007;01;uoppgitt;1;personer;395;
befolkning_innvandringsgrunn;2007;01;alle;0;personer;1029;
befolkning_innvandringsgrunn;2007;01;arbeid;0;personer;22;
befolkning_innvandringsgrunn;2007;01;flukt;0;personer;422;
befolkning_innvandringsgrunn;2007;01;familie;0;personer;187;
befolkning_innvandringsgrunn;2007;01;annet;0;personer;25;
befolkning_innvandringsgrunn;2007;01;uoppgitt;0;personer;373;
befolkning_innvandringsgrunn;2008;01; ;alle;personer;28092;
befolkning_innvandringsgrunn;2008;01;alle;alle;personer;2037;
befolkning_innvandringsgrunn;2008;01;arbeid;alle;personer;84;
befolkning_innvandringsgrunn;2008;01;flukt;alle;personer;869;
befolkning_innvandringsgrunn;2008;01;familie;alle;personer;289;
befolkning_innvandringsgrunn;2008;01;annet;alle;personer;44;
befolkning_innvandringsgrunn;2008;01;uoppgitt;alle;personer;751;
befolkning_innvandringsgrunn;2008;01;alle;1;personer;971;
befolkning_innvandringsgrunn;2008;01;arbeid;1;personer;58;
befolkning_innvandringsgrunn;2008;01;flukt;1;personer;433;
befolkning_innvandringsgrunn;2008;01;familie;1;personer;78;
befolkning_innvandringsgrunn;2008;01;annet;1;personer;17;
befolkning_innvandringsgrunn;2008;01;uoppgitt;1;personer;385;
befolkning_innvandringsgrunn;2008;01;alle;0;personer;1066;
befolkning_innvandringsgrunn;2008;01;arbeid;0;personer;26;
befolkning_innvandringsgrunn;2008;01;flukt;0;personer;436;
befolkning_innvandringsgrunn;2008;01;familie;0;personer;211;
befolkning_innvandringsgrunn;2008;01;annet;0;personer;27;
befolkning_innvandringsgrunn;2008;01;uoppgitt;0;personer;366;
befolkning_innvandringsgrunn;2009;01; ;alle;personer;28389;
befolkning_innvandringsgrunn;2009;01;alle;alle;personer;2165;
befolkning_innvandringsgrunn;2009;01;arbeid;alle;personer;113;
befolkning_innvandringsgrunn;2009;01;flukt;alle;personer;935;
befolkning_innvandringsgrunn;2009;01;familie;alle;personer;322;
befolkning_innvandringsgrunn;2009;01;annet;alle;personer;62;
befolkning_innvandringsgrunn;2009;01;uoppgitt;alle;personer;733;
befolkning_innvandringsgrunn;2009;01;alle;1;personer;1022;
befolkning_innvandringsgrunn;2009;01;arbeid;1;personer;78;
befolkning_innvandringsgrunn;2009;01;flukt;1;personer;470;
befolkning_innvandringsgrunn;2009;01;familie;1;personer;77;
befolkning_innvandringsgrunn;2009;01;annet;1;personer;20;
befolkning_innvandringsgrunn;2009;01;uoppgitt;1;personer;377;
befolkning_innvandringsgrunn;2009;01;alle;0;personer;1143;
befolkning_innvandringsgrunn;2009;01;arbeid;0;personer;35;
befolkning_innvandringsgrunn;2009;01;flukt;0;personer;465;
befolkning_innvandringsgrunn;2009;01;familie;0;personer;245;
befolkning_innvandringsgrunn;2009;01;annet;0;personer;42;
befolkning_innvandringsgrunn;2009;01;uoppgitt;0;personer;356;
befolkning_innvandringsgrunn;2010;01; ;alle;personer;28776;
befolkning_innvandringsgrunn;2010;01;alle;alle;personer;2294;
befolkning_innvandringsgrunn;2010;01;arbeid;alle;personer;168;
befolkning_innvandringsgrunn;2010;01;flukt;alle;personer;943;
befolkning_innvandringsgrunn;2010;01;familie;alle;personer;360;
befolkning_innvandringsgrunn;2010;01;annet;alle;personer;73;
befolkning_innvandringsgrunn;2010;01;uoppgitt;alle;personer;750;
befolkning_innvandringsgrunn;2010;01;alle;1;personer;1100;
befolkning_innvandringsgrunn;2010;01;arbeid;1;personer;117;
befolkning_innvandringsgrunn;2010;01;flukt;1;personer;481;
befolkning_innvandringsgrunn;2010;01;familie;1;personer;92;
befolkning_innvandringsgrunn;2010;01;annet;1;personer;21;
befolkning_innvandringsgrunn;2010;01;uoppgitt;1;personer;389;
befolkning_innvandringsgrunn;2010;01;alle;0;personer;1194;
befolkning_innvandringsgrunn;2010;01;arbeid;0;personer;51;
befolkning_innvandringsgrunn;2010;01;flukt;0;personer;462;
befolkning_innvandringsgrunn;2010;01;familie;0;personer;268;
befolkning_innvandringsgrunn;2010;01;annet;0;personer;52;
befolkning_innvandringsgrunn;2010;01;uoppgitt;0;personer;361;
befolkning_innvandringsgrunn;2011;01; ;alle;personer;29220;
befolkning_innvandringsgrunn;2011;01;alle;alle;personer;2486;
befolkning_innvandringsgrunn;2011;01;arbeid;alle;personer;230;
befolkning_innvandringsgrunn;2011;01;flukt;alle;personer;975;
befolkning_innvandringsgrunn;2011;01;familie;alle;personer;410;
befolkning_innvandringsgrunn;2011;01;annet;alle;personer;93;
befolkning_innvandringsgrunn;2011;01;uoppgitt;alle;personer;778;
befolkning_innvandringsgrunn;2011;01;alle;1;personer;1219;
befolkning_innvandringsgrunn;2011;01;arbeid;1;personer;162;
