tabell_navn;aar;bydel_id;innvkat_3;kjonn;alder_grupper;enhet;tabellvariabel;
befolkning_alder;2006;01;alle;alle;0-5;personer;3283;
befolkning_alder;2006;01;alle;alle;6-15;personer;2676;
befolkning_alder;2006;01;alle;alle;16-19;personer;974;
befolkning_alder;2006;01;alle;alle;20-29;personer;8027;
befolkning_alder;2006;01;alle;alle;30-54;personer;16178;
befolkning_alder;2006;01;alle;alle;55-66;personer;3105;
befolkning_alder;2006;01;alle;alle;67+;personer;2314;
befolkning_alder;2006;01;innvandrere;alle;0-5;personer;113;
befolkning_alder;2006;01;innvandrere;alle;6-15;personer;412;
befolkning_alder;2006;01;innvandrere;alle;16-19;personer;348;
befolkning_alder;2006;01;innvandrere;alle;20-29;personer;2158;
befolkning_alder;2006;01;innvandrere;alle;30-54;personer;4792;
befolkning_alder;2006;01;innvandrere;alle;55-66;personer;811;
befolkning_alder;2006;01;innvandrere;alle;67+;personer;293;
befolkning_alder;2006;01;befolkningen_ellers;alle;0-5;personer;3170;
befolkning_alder;2006;01;befolkningen_ellers;alle;6-15;personer;2264;
befolkning_alder;2006;01;befolkningen_ellers;alle;16-19;personer;626;
befolkning_alder;2006;01;befolkningen_ellers;alle;20-29;personer;5869;
befolkning_alder;2006;01;befolkningen_ellers;alle;30-54;personer;11386;
befolkning_alder;2006;01;befolkningen_ellers;alle;55-66;personer;2294;
befolkning_alder;2006;01;befolkningen_ellers;alle;67+;personer;2021;
befolkning_alder;2006;01;alle;1;0-5;personer;1602;
befolkning_alder;2006;01;alle;1;6-15;personer;1359;
befolkning_alder;2006;01;alle;1;16-19;personer;477;
befolkning_alder;2006;01;alle;1;20-29;personer;3698;
befolkning_alder;2006;01;alle;1;30-54;personer;8945;
befolkning_alder;2006;01;alle;1;55-66;personer;1654;
befolkning_alder;2006;01;alle;1;67+;personer;847;
befolkning_alder;2006;01;innvandrere;1;0-5;personer;57;
befolkning_alder;2006;01;innvandrere;1;6-15;personer;220;
befolkning_alder;2006;01;innvandrere;1;16-19;personer;159;
befolkning_alder;2006;01;innvandrere;1;20-29;personer;971;
befolkning_alder;2006;01;innvandrere;1;30-54;personer;2796;
befolkning_alder;2006;01;innvandrere;1;55-66;personer;476;
befolkning_alder;2006;01;innvandrere;1;67+;personer;135;
befolkning_alder;2006;01;befolkningen_ellers;1;0-5;personer;1545;
befolkning_alder;2006;01;befolkningen_ellers;1;6-15;personer;1139;
befolkning_alder;2006;01;befolkningen_ellers;1;16-19;personer;318;
befolkning_alder;2006;01;befolkningen_ellers;1;20-29;personer;2727;
befolkning_alder;2006;01;befolkningen_ellers;1;30-54;personer;6149;
befolkning_alder;2006;01;befolkningen_ellers;1;55-66;personer;1178;
befolkning_alder;2006;01;befolkningen_ellers;1;67+;personer;712;
befolkning_alder;2006;01;alle;0;0-5;personer;1681;
befolkning_alder;2006;01;alle;0;6-15;personer;1317;
befolkning_alder;2006;01;alle;0;16-19;personer;497;
befolkning_alder;2006;01;alle;0;20-29;personer;4329;
befolkning_alder;2006;01;alle;0;30-54;personer;7233;
befolkning_alder;2006;01;alle;0;55-66;personer;1451;
befolkning_alder;2006;01;alle;0;67+;personer;1467;
befolkning_alder;2006;01;innvandrere;0;0-5;personer;56;
befolkning_alder;2006;01;innvandrere;0;6-15;personer;192;
befolkning_alder;2006;01;innvandrere;0;16-19;personer;189;
befolkning_alder;2006;01;innvandrere;0;20-29;personer;1187;
befolkning_alder;2006;01;innvandrere;0;30-54;personer;1996;
befolkning_alder;2006;01;innvandrere;0;55-66;personer;335;
befolkning_alder;2006;01;innvandrere;0;67+;personer;158;
befolkning_alder;2006;01;befolkningen_ellers;0;0-5;personer;1625;
befolkning_alder;2006;01;befolkningen_ellers;0;6-15;personer;1125;
befolkning_alder;2006;01;befolkningen_ellers;0;16-19;personer;308;
befolkning_alder;2006;01;befolkningen_ellers;0;20-29;personer;3142;
befolkning_alder;2006;01;befolkningen_ellers;0;30-54;personer;5237;
befolkning_alder;2006;01;befolkningen_ellers;0;55-66;personer;1116;
befolkning_alder;2006;01;befolkningen_ellers;0;67+;personer;1309;
befolkning_alder;2007;01;alle;alle;0-5;personer;3453;
befolkning_alder;2007;01;alle;alle;6-15;personer;2789;
befolkning_alder;2007;01;alle;alle;16-19;personer;973;
befolkning_alder;2007;01;alle;alle;20-29;personer;8302;
befolkning_alder;2007;01;alle;alle;30-54;personer;16798;
befolkning_alder;2007;01;alle;alle;55-66;personer;3193;
befolkning_alder;2007;01;alle;alle;67+;personer;2209;
