tabell_navn;aar;naringsregion_id;innvkat_5;kjonn;enhet;tabellvariabel;
befolkning_hovedgruppe;2015;01;alle;alle;person;30328;
befolkning_hovedgruppe;2015;01;innvandrere;alle;person;3096;
befolkning_hovedgruppe;2015;01;befolkningen_ellers;alle;person;27232;
befolkning_hovedgruppe;2015;01;norskfodte_m_innvf;alle;person;812;
befolkning_hovedgruppe;2015;01;bef_u_innv_og_norskf;alle;person;26420;
befolkning_hovedgruppe;2015;01;alle;1;person;15170;
befolkning_hovedgruppe;2015;01;innvandrere;1;person;1541;
befolkning_hovedgruppe;2015;01;befolkningen_ellers;1;person;13629;
befolkning_hovedgruppe;2015;01;norskfodte_m_innvf;1;person;428;
befolkning_hovedgruppe;2015;01;bef_u_innv_og_norskf;1;person;13201;
befolkning_hovedgruppe;2015;01;alle;0;person;15158;
befolkning_hovedgruppe;2015;01;innvandrere;0;person;1555;
befolkning_hovedgruppe;2015;01;befolkningen_ellers;0;person;13603;
befolkning_hovedgruppe;2015;01;norskfodte_m_innvf;0;person;384;
befolkning_hovedgruppe;2015;01;bef_u_innv_og_norskf;0;person;13219;
befolkning_hovedgruppe;2015;02;alle;alle;person;60689;
befolkning_hovedgruppe;2015;02;innvandrere;alle;person;7265;
befolkning_hovedgruppe;2015;02;befolkningen_ellers;alle;person;53424;
befolkning_hovedgruppe;2015;02;norskfodte_m_innvf;alle;person;1538;
befolkning_hovedgruppe;2015;02;bef_u_innv_og_norskf;alle;person;51886;
befolkning_hovedgruppe;2015;02;alle;1;person;30547;
befolkning_hovedgruppe;2015;02;innvandrere;1;person;3817;
befolkning_hovedgruppe;2015;02;befolkningen_ellers;1;person;26730;
befolkning_hovedgruppe;2015;02;norskfodte_m_innvf;1;person;803;
befolkning_hovedgruppe;2015;02;bef_u_innv_og_norskf;1;person;25927;
befolkning_hovedgruppe;2015;02;alle;0;person;30142;
befolkning_hovedgruppe;2015;02;innvandrere;0;person;3448;
befolkning_hovedgruppe;2015;02;befolkningen_ellers;0;person;26694;
befolkning_hovedgruppe;2015;02;norskfodte_m_innvf;0;person;735;
befolkning_hovedgruppe;2015;02;bef_u_innv_og_norskf;0;person;25959;
befolkning_hovedgruppe;2015;03;alle;alle;person;59350;
befolkning_hovedgruppe;2015;03;innvandrere;alle;person;7631;
befolkning_hovedgruppe;2015;03;befolkningen_ellers;alle;person;51719;
befolkning_hovedgruppe;2015;03;norskfodte_m_innvf;alle;person;1882;
befolkning_hovedgruppe;2015;03;bef_u_innv_og_norskf;alle;person;49837;
befolkning_hovedgruppe;2015;03;alle;1;person;29705;
befolkning_hovedgruppe;2015;03;innvandrere;1;person;3996;
befolkning_hovedgruppe;2015;03;befolkningen_ellers;1;person;25709;
befolkning_hovedgruppe;2015;03;norskfodte_m_innvf;1;person;1012;
befolkning_hovedgruppe;2015;03;bef_u_innv_og_norskf;1;person;24697;
befolkning_hovedgruppe;2015;03;alle;0;person;29645;
befolkning_hovedgruppe;2015;03;innvandrere;0;person;3635;
befolkning_hovedgruppe;2015;03;befolkningen_ellers;0;person;26010;
befolkning_hovedgruppe;2015;03;norskfodte_m_innvf;0;person;870;
befolkning_hovedgruppe;2015;03;bef_u_innv_og_norskf;0;person;25140;
befolkning_hovedgruppe;2015;04;alle;alle;person;136831;
befolkning_hovedgruppe;2015;04;innvandrere;alle;person;17035;
befolkning_hovedgruppe;2015;04;befolkningen_ellers;alle;person;119796;
befolkning_hovedgruppe;2015;04;norskfodte_m_innvf;alle;person;4266;
befolkning_hovedgruppe;2015;04;bef_u_innv_og_norskf;alle;person;115530;
befolkning_hovedgruppe;2015;04;alle;1;person;68040;
befolkning_hovedgruppe;2015;04;innvandrere;1;person;8819;
befolkning_hovedgruppe;2015;04;befolkningen_ellers;1;person;59221;
befolkning_hovedgruppe;2015;04;norskfodte_m_innvf;1;person;2237;
befolkning_hovedgruppe;2015;04;bef_u_innv_og_norskf;1;person;56984;
befolkning_hovedgruppe;2015;04;alle;0;person;68791;
befolkning_hovedgruppe;2015;04;innvandrere;0;person;8216;
befolkning_hovedgruppe;2015;04;befolkningen_ellers;0;person;60575;
befolkning_hovedgruppe;2015;04;norskfodte_m_innvf;0;person;2029;
befolkning_hovedgruppe;2015;04;bef_u_innv_og_norskf;0;person;58546;
befolkning_hovedgruppe;2015;05;alle;alle;person;180256;
befolkning_hovedgruppe;2015;05;innvandrere;alle;person;29376;
befolkning_hovedgruppe;2015;05;befolkningen_ellers;alle;person;150880;
befolkning_hovedgruppe;2015;05;norskfodte_m_innvf;alle;person;5419;
befolkning_hovedgruppe;2015;05;bef_u_innv_og_norskf;alle;person;145461;
befolkning_hovedgruppe;2015;05;alle;1;person;89154;
befolkning_hovedgruppe;2015;05;innvandrere;1;person;14813;
befolkning_hovedgruppe;2015;05;befolkningen_ellers;1;person;74341;
befolkning_hovedgruppe;2015;05;norskfodte_m_innvf;1;person;2740;
befolkning_hovedgruppe;2015;05;bef_u_innv_og_norskf;1;person;71601;
befolkning_hovedgruppe;2015;05;alle;0;person;91102;
befolkning_hovedgruppe;2015;05;innvandrere;0;person;14563;
befolkning_hovedgruppe;2015;05;befolkningen_ellers;0;person;76539;
befolkning_hovedgruppe;2015;05;norskfodte_m_innvf;0;person;2679;
befolkning_hovedgruppe;2015;05;bef_u_innv_og_norskf;0;person;73860;
befolkning_hovedgruppe;2015;06;alle;alle;person;135956;
befolkning_hovedgruppe;2015;06;innvandrere;alle;person;17146;
befolkning_hovedgruppe;2015;06;befolkningen_ellers;alle;person;118810;
befolkning_hovedgruppe;2015;06;norskfodte_m_innvf;alle;person;3377;
befolkning_hovedgruppe;2015;06;bef_u_innv_og_norskf;alle;person;115433;
befolkning_hovedgruppe;2015;06;alle;1;person;67774;
befolkning_hovedgruppe;2015;06;innvandrere;1;person;8857;
befolkning_hovedgruppe;2015;06;befolkningen_ellers;1;person;58917;
befolkning_hovedgruppe;2015;06;norskfodte_m_innvf;1;person;1764;
befolkning_hovedgruppe;2015;06;bef_u_innv_og_norskf;1;person;57153;
befolkning_hovedgruppe;2015;06;alle;0;person;68182;
befolkning_hovedgruppe;2015;06;innvandrere;0;person;8289;
befolkning_hovedgruppe;2015;06;befolkningen_ellers;0;person;59893;
befolkning_hovedgruppe;2015;06;norskfodte_m_innvf;0;person;1613;
befolkning_hovedgruppe;2015;06;bef_u_innv_og_norskf;0;person;58280;
befolkning_hovedgruppe;2015;07;alle;alle;person;170769;
befolkning_hovedgruppe;2015;07;innvandrere;alle;person;26398;
befolkning_hovedgruppe;2015;07;befolkningen_ellers;alle;person;144371;
befolkning_hovedgruppe;2015;07;norskfodte_m_innvf;alle;person;7846;
