tabell_navn;aar;kommune_id;botid_3;forste_bosettingskommune;enhet;tabellvariabel;
flyktning_botid_flytting;2015;0101;alle;alle;person;1152;
flyktning_botid_flytting;2015;0101;0-4;alle;person;100;
flyktning_botid_flytting;2015;0101;5+;alle;person;1052;
flyktning_botid_flytting;2015;0101;0-4;ja;person;47;
flyktning_botid_flytting;2015;0101;0-4;nei;person;24;
flyktning_botid_flytting;2015;0101;0-4;uoppgitt;person;29;
flyktning_botid_flytting;2015;0101;5+;ja;person;177;
flyktning_botid_flytting;2015;0101;5+;nei;person;683;
flyktning_botid_flytting;2015;0101;5+;uoppgitt;person;192;
flyktning_botid_flytting;2015;0104;alle;alle;person;1709;
flyktning_botid_flytting;2015;0104;0-4;alle;person;267;
flyktning_botid_flytting;2015;0104;5+;alle;person;1442;
flyktning_botid_flytting;2015;0104;0-4;ja;person;159;
flyktning_botid_flytting;2015;0104;0-4;nei;person;44;
flyktning_botid_flytting;2015;0104;0-4;uoppgitt;person;64;
flyktning_botid_flytting;2015;0104;5+;ja;person;275;
flyktning_botid_flytting;2015;0104;5+;nei;person;731;
flyktning_botid_flytting;2015;0104;5+;uoppgitt;person;436;
flyktning_botid_flytting;2015;0105;alle;alle;person;3302;
flyktning_botid_flytting;2015;0105;0-4;alle;person;363;
flyktning_botid_flytting;2015;0105;5+;alle;person;2939;
flyktning_botid_flytting;2015;0105;0-4;ja;person;235;
flyktning_botid_flytting;2015;0105;0-4;nei;person;50;
flyktning_botid_flytting;2015;0105;0-4;uoppgitt;person;78;
flyktning_botid_flytting;2015;0105;5+;ja;person;473;
flyktning_botid_flytting;2015;0105;5+;nei;person;1911;
flyktning_botid_flytting;2015;0105;5+;uoppgitt;person;555;
flyktning_botid_flytting;2015;0106;alle;alle;person;4419;
flyktning_botid_flytting;2015;0106;0-4;alle;person;467;
flyktning_botid_flytting;2015;0106;5+;alle;person;3952;
flyktning_botid_flytting;2015;0106;0-4;ja;person;261;
flyktning_botid_flytting;2015;0106;0-4;nei;person;69;
flyktning_botid_flytting;2015;0106;0-4;uoppgitt;person;137;
flyktning_botid_flytting;2015;0106;5+;ja;person;778;
flyktning_botid_flytting;2015;0106;5+;nei;person;2544;
flyktning_botid_flytting;2015;0106;5+;uoppgitt;person;630;
flyktning_botid_flytting;2015;0111;alle;alle;person;60;
flyktning_botid_flytting;2015;0111;0-4;alle;person;31;
flyktning_botid_flytting;2015;0111;5+;alle;person;29;
flyktning_botid_flytting;2015;0111;0-4;ja;person;31;
flyktning_botid_flytting;2015;0111;0-4;nei;person;0;
flyktning_botid_flytting;2015;0111;0-4;uoppgitt;person;0;
flyktning_botid_flytting;2015;0111;5+;ja;person;15;
flyktning_botid_flytting;2015;0111;5+;nei;person;7;
flyktning_botid_flytting;2015;0111;5+;uoppgitt;person;7;
flyktning_botid_flytting;2015;0119;alle;alle;person;85;
flyktning_botid_flytting;2015;0119;0-4;alle;person;16;
flyktning_botid_flytting;2015;0119;5+;alle;person;69;
flyktning_botid_flytting;2015;0119;0-4;ja;person;13;
flyktning_botid_flytting;2015;0119;0-4;nei;person;0;
flyktning_botid_flytting;2015;0119;0-4;uoppgitt;person;3;
flyktning_botid_flytting;2015;0119;5+;ja;person;37;
flyktning_botid_flytting;2015;0119;5+;nei;person;28;
flyktning_botid_flytting;2015;0119;5+;uoppgitt;person;4;
flyktning_botid_flytting;2015;0122;alle;alle;person;64;
flyktning_botid_flytting;2015;0122;0-4;alle;person;29;
flyktning_botid_flytting;2015;0122;5+;alle;person;35;
flyktning_botid_flytting;2015;0122;0-4;ja;person;25;
flyktning_botid_flytting;2015;0122;0-4;nei;person;4;
flyktning_botid_flytting;2015;0122;0-4;uoppgitt;person;0;
flyktning_botid_flytting;2015;0122;5+;ja;person;19;
flyktning_botid_flytting;2015;0122;5+;nei;person;7;
flyktning_botid_flytting;2015;0122;5+;uoppgitt;person;9;
flyktning_botid_flytting;2015;0123;alle;alle;person;208;
flyktning_botid_flytting;2015;0123;0-4;alle;person;78;
flyktning_botid_flytting;2015;0123;5+;alle;person;130;
flyktning_botid_flytting;2015;0123;0-4;ja;person;35;
flyktning_botid_flytting;2015;0123;0-4;nei;person;27;
flyktning_botid_flytting;2015;0123;0-4;uoppgitt;person;16;
flyktning_botid_flytting;2015;0123;5+;ja;person;62;
flyktning_botid_flytting;2015;0123;5+;nei;person;54;
flyktning_botid_flytting;2015;0123;5+;uoppgitt;person;14;
flyktning_botid_flytting;2015;0124;alle;alle;person;943;
flyktning_botid_flytting;2015;0124;0-4;alle;person;70;
flyktning_botid_flytting;2015;0124;5+;alle;person;873;
flyktning_botid_flytting;2015;0124;0-4;ja;person;39;
flyktning_botid_flytting;2015;0124;0-4;nei;person;13;
flyktning_botid_flytting;2015;0124;0-4;uoppgitt;person;18;
flyktning_botid_flytting;2015;0124;5+;ja;person;188;
flyktning_botid_flytting;2015;0124;5+;nei;person;504;
