tabell_navn;aar;bydel_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2006;01;101;alle;personer;229;
befolkning_opprinnelsesland;2006;01;102;alle;personer;4;
befolkning_opprinnelsesland;2006;01;103;alle;personer;96;
befolkning_opprinnelsesland;2006;01;104;alle;personer;:;
befolkning_opprinnelsesland;2006;01;105;alle;personer;41;
befolkning_opprinnelsesland;2006;01;106;alle;personer;535;
befolkning_opprinnelsesland;2006;01;111;alle;personer;5;
befolkning_opprinnelsesland;2006;01;112;alle;personer;7;
befolkning_opprinnelsesland;2006;01;113;alle;personer;20;
befolkning_opprinnelsesland;2006;01;114;alle;personer;.;
befolkning_opprinnelsesland;2006;01;115;alle;personer;21;
befolkning_opprinnelsesland;2006;01;117;alle;personer;51;
befolkning_opprinnelsesland;2006;01;118;alle;personer;.;
befolkning_opprinnelsesland;2006;01;119;alle;personer;7;
befolkning_opprinnelsesland;2006;01;120;alle;personer;:;
befolkning_opprinnelsesland;2006;01;121;alle;personer;8;
befolkning_opprinnelsesland;2006;01;122;alle;personer;49;
befolkning_opprinnelsesland;2006;01;123;alle;personer;34;
befolkning_opprinnelsesland;2006;01;124;alle;personer;12;
befolkning_opprinnelsesland;2006;01;126;alle;personer;.;
befolkning_opprinnelsesland;2006;01;127;alle;personer;22;
befolkning_opprinnelsesland;2006;01;128;alle;personer;.;
befolkning_opprinnelsesland;2006;01;129;alle;personer;.;
befolkning_opprinnelsesland;2006;01;130;alle;personer;.;
befolkning_opprinnelsesland;2006;01;131;alle;personer;231;
befolkning_opprinnelsesland;2006;01;132;alle;personer;14;
befolkning_opprinnelsesland;2006;01;133;alle;personer;18;
befolkning_opprinnelsesland;2006;01;134;alle;personer;.;
befolkning_opprinnelsesland;2006;01;136;alle;personer;38;
befolkning_opprinnelsesland;2006;01;137;alle;personer;41;
befolkning_opprinnelsesland;2006;01;138;alle;personer;:;
befolkning_opprinnelsesland;2006;01;139;alle;personer;104;
befolkning_opprinnelsesland;2006;01;140;alle;personer;80;
befolkning_opprinnelsesland;2006;01;141;alle;personer;13;
befolkning_opprinnelsesland;2006;01;143;alle;personer;320;
befolkning_opprinnelsesland;2006;01;144;alle;personer;115;
befolkning_opprinnelsesland;2006;01;146;alle;personer;7;
befolkning_opprinnelsesland;2006;01;148;alle;personer;12;
befolkning_opprinnelsesland;2006;01;152;alle;personer;20;
befolkning_opprinnelsesland;2006;01;153;alle;personer;12;
befolkning_opprinnelsesland;2006;01;154;alle;personer;.;
befolkning_opprinnelsesland;2006;01;155;alle;personer;137;
befolkning_opprinnelsesland;2006;01;156;alle;personer;189;
befolkning_opprinnelsesland;2006;01;157;alle;personer;7;
befolkning_opprinnelsesland;2006;01;158;alle;personer;25;
befolkning_opprinnelsesland;2006;01;159;alle;personer;.;
befolkning_opprinnelsesland;2006;01;160;alle;personer;.;
befolkning_opprinnelsesland;2006;01;161;alle;personer;.;
befolkning_opprinnelsesland;2006;01;162;alle;personer;.;
befolkning_opprinnelsesland;2006;01;163;alle;personer;.;
befolkning_opprinnelsesland;2006;01;164;alle;personer;.;
befolkning_opprinnelsesland;2006;01;203;alle;personer;64;
befolkning_opprinnelsesland;2006;01;204;alle;personer;:;
befolkning_opprinnelsesland;2006;01;205;alle;personer;.;
befolkning_opprinnelsesland;2006;01;209;alle;personer;.;
befolkning_opprinnelsesland;2006;01;213;alle;personer;.;
befolkning_opprinnelsesland;2006;01;216;alle;personer;:;
befolkning_opprinnelsesland;2006;01;220;alle;personer;.;
befolkning_opprinnelsesland;2006;01;229;alle;personer;.;
befolkning_opprinnelsesland;2006;01;235;alle;personer;.;
befolkning_opprinnelsesland;2006;01;239;alle;personer;:;
